"Time","41460.mode"
2019-02-03 03:00:00,19170527
2019-02-04 03:00:00,19232883
2019-02-05 03:00:00,19342768
2019-02-06 03:00:00,19356635
2019-02-07 03:00:00,19448212
2019-02-08 03:00:00,19527698
2019-02-09 03:00:00,19671247
2019-02-10 03:00:00,19772836
2019-02-11 03:00:00,19801468
2019-02-12 03:00:00,19872118
2019-02-13 03:00:00,19973916
2019-02-14 03:00:00,20065681
2019-02-15 03:00:00,5049
2019-02-16 03:00:00,28073
2019-02-17 03:00:00,120769
2019-02-18 03:00:00,185141
2019-02-19 03:00:00,271217
2019-02-21 03:00:00,471399
2019-02-22 03:00:00,550048
2019-02-23 03:00:00,636003
2019-02-24 03:00:00,716626
2019-02-25 03:00:00,802731
2019-02-26 03:00:00,907045
2019-02-27 03:00:00,962899
2019-02-28 03:00:00,1050501
2019-03-01 03:00:00,1194020
2019-03-02 03:00:00,1222830
2019-03-03 03:00:00,1303156
2019-03-04 03:00:00,75491
2019-03-05 03:00:00,98373
2019-03-06 03:00:00,200044
2019-03-07 03:00:00,280847
2019-03-08 03:00:00,372405
2019-03-09 03:00:00,452709
2019-03-10 03:00:00,551422
2019-03-11 03:00:00,624890
2019-03-12 03:00:00,735162
2019-03-13 03:00:00,786946
2019-03-14 03:00:00,936033
2019-03-15 03:00:00,980509
2019-03-16 03:00:00,1118215
2019-03-17 03:00:00,1159696
2019-03-18 03:00:00,1238642
2019-03-19 03:00:00,1319235
2019-03-20 03:00:00,1389526
2019-03-21 03:00:00,1515225
2019-03-22 03:00:00,1577281
2019-03-23 03:00:00,1668777
2019-03-24 03:00:00,1760751
2019-03-25 03:00:00,1841105
2019-03-26 03:00:00,1921609
2019-03-27 03:00:00,2019094
2019-03-28 03:00:00,2099088
2019-03-29 03:00:00,2185492
2019-03-30 03:00:00,2265906
2019-03-31 03:00:00,2363271
2019-04-01 03:00:00,2437905
2019-04-02 03:00:00,2529879
2019-04-03 03:00:00,2615567
2019-04-04 03:00:00,2701641
2019-04-05 03:00:00,2787925
2019-04-06 03:00:00,2879600
2019-04-07 03:00:00,2965285
2019-04-08 03:00:00,3046083
2019-04-09 03:00:00,3132277
2019-04-10 03:00:00,3212122
2019-04-11 03:00:00,3299694
2019-04-12 03:00:00,3395741
2019-04-13 03:00:00,3269833
2019-04-14 03:00:00,3270073
2019-04-15 03:00:00,3648337
2019-04-16 03:00:00,3758281
2019-04-17 03:00:00,3826379
2019-04-18 03:00:00,3918136
2019-04-19 03:00:00,4003761
2019-04-20 03:00:00,4089805
2019-04-21 03:00:00,4160278
2019-04-22 03:00:00,4280463
2019-04-23 03:00:00,4353870
2019-04-24 03:00:00,4418471
2019-04-25 03:00:00,4538797
2019-04-26 03:00:00,4594545
2019-04-28 03:00:00,4825772
2019-04-29 03:00:00,4854402
2019-04-30 03:00:00,4997980
2019-05-01 03:00:00,5042426
2019-05-02 03:00:00,5128107
2019-05-03 03:00:00,5198577
2019-05-04 03:00:00,5294714
2019-05-05 03:00:00,5380848
2019-05-06 03:00:00,5457341
2019-05-07 03:00:00,5545481
2019-05-08 03:00:00,5628800
2019-05-09 03:00:00,5718828
2019-05-10 03:00:00,5807208
2019-05-11 03:00:00,5936021
2019-05-12 03:00:00,5994391
2019-05-13 03:00:00,6069204
2019-05-14 03:00:00,6161088
2019-05-15 03:00:00,6246983
2019-05-16 03:00:00,6333146
2019-05-17 03:00:00,6418981
2019-05-18 03:00:00,6492388
2019-05-19 03:00:00,6577983
2019-05-20 03:00:00,6664057
2019-05-21 03:00:00,6750191
2019-05-22 03:00:00,6836235
2019-05-23 03:00:00,6922310
2019-05-24 03:00:00,7017638
2019-05-25 03:00:00,7094368
2019-05-26 03:00:00,7199131
