"Time","40379.median"
2019-01-05 03:00:00,395743
2019-01-06 03:00:00,395743
2019-01-07 03:00:00,395743
2019-01-08 03:00:00,395747
2019-01-09 03:00:00,395747
2019-01-10 03:00:00,395747
2019-01-11 03:00:00,395747
2019-01-12 03:00:00,395755
2019-01-13 03:00:00,395755
2019-01-14 03:00:00,395759
2019-01-15 03:00:00,395759
2019-01-16 03:00:00,395755
2019-01-17 03:00:00,395755
2019-01-18 03:00:00,395763
2019-01-19 03:00:00,395763
2019-01-20 03:00:00,395759
2019-01-21 03:00:00,395763
2019-01-22 03:00:00,395763
2019-01-23 03:00:00,395767
2019-01-24 03:00:00,395767
2019-01-25 03:00:00,395767
2019-01-26 03:00:00,395767
2019-01-27 03:00:00,395767
2019-01-28 03:00:00,395767
2019-01-29 03:00:00,395771
2019-01-30 03:00:00,395771
2019-01-31 03:00:00,395776
2019-02-01 03:00:00,395776
2019-02-02 03:00:00,395776
2019-02-03 03:00:00,395776
2019-02-04 03:00:00,395776
2019-02-05 03:00:00,395649
2019-02-06 03:00:00,395649
2019-02-07 03:00:00,395653
2019-02-08 03:00:00,395653
2019-02-09 03:00:00,395653
2019-02-10 03:00:00,395653
2019-02-11 03:00:00,395657
2019-02-12 03:00:00,395657
2019-02-13 03:00:00,395661
2019-02-14 03:00:00,395661
2019-02-15 03:00:00,395661
2019-02-16 03:00:00,395661
2019-02-17 03:00:00,395661
2019-02-18 03:00:00,395665
2019-02-19 03:00:00,395665
2019-02-20 03:00:00,395669
2019-02-21 03:00:00,395669
2019-02-22 03:00:00,395673
2019-02-23 03:00:00,395673
2019-02-24 03:00:00,395673
2019-02-25 03:00:00,395673
2019-02-26 03:00:00,395681
2019-02-27 03:00:00,395681
2019-02-28 03:00:00,395681
2019-03-01 03:00:00,395681
2019-03-02 03:00:00,395685
2019-03-03 03:00:00,395689
2019-03-04 03:00:00,395689
2019-03-05 03:00:00,395694
2019-03-06 03:00:00,395694
2019-03-07 03:00:00,395698
2019-03-08 03:00:00,395698
2019-03-09 03:00:00,395698
2019-03-10 03:00:00,395698
2019-03-11 03:00:00,395702
2019-03-12 03:00:00,395702
2019-03-13 03:00:00,395702
2019-03-14 03:00:00,395710
2019-03-15 03:00:00,395710
2019-03-16 03:00:00,395710
2019-03-17 03:00:00,395710
2019-03-18 03:00:00,395714
2019-03-19 03:00:00,395714
2019-03-20 03:00:00,395714
2019-03-21 03:00:00,395714
2019-03-22 03:00:00,395714
2019-03-23 03:00:00,395714
2019-03-24 03:00:00,395718
2019-03-25 03:00:00,395718
2019-03-26 03:00:00,395718
2019-03-27 03:00:00,395718
