"Time","available non-volatile memory"
2019-06-27 03:00:00,42634617
2019-07-04 03:00:00,42461760
2019-07-11 03:00:00,42339150
2019-07-18 03:00:00,42306483
2019-07-25 03:00:00,42173087
2019-08-01 03:00:00,41976531
2019-08-08 03:00:00,41901909
2019-08-15 03:00:00,41112025
2019-08-22 03:00:00,40910136
2019-08-29 03:00:00,40566784
2019-09-05 03:00:00,41106432
2019-09-19 03:00:00,40214528
2019-10-10 03:00:00,40308736
2019-10-17 03:00:00,40310511
2019-11-14 03:00:00,39600128
2019-12-26 03:00:00,38182912
2020-01-02 03:00:00,38101639
2020-01-23 03:00:00,37527040
2020-01-30 03:00:00,37226906
2020-02-06 03:00:00,37052416
2020-02-27 03:00:00,36341493
2020-03-05 03:00:00,36274859
2020-03-12 03:00:00,35945751
2020-03-19 03:00:00,35790360
2020-03-26 03:00:00,35554200
2020-04-02 03:00:00,35305244
2020-04-09 03:00:00,35146138
2020-04-16 03:00:00,34814511
2020-04-30 03:00:00,34340864
2020-05-07 03:00:00,34257827
2020-05-14 03:00:00,33955840
2020-05-21 03:00:00,33815211
2020-05-28 03:00:00,33644544
2020-06-04 03:00:00,33365197
2020-06-11 03:00:00,33218219
2020-06-18 03:00:00,32996011
2020-06-25 03:00:00,32750538
2020-07-02 03:00:00,32583680
2020-07-09 03:00:00,32579584
2020-07-16 03:00:00,32268834
2020-07-23 03:00:00,32051386
2020-07-30 03:00:00,31781632
2020-08-06 03:00:00,31588079
2020-08-13 03:00:00,31368260
2020-08-20 03:00:00,31160010
2020-08-27 03:00:00,31047875
2020-09-03 03:00:00,30837165
2020-09-10 03:00:00,30673684
2020-09-17 03:00:00,30419084
2020-09-24 03:00:00,30112914
2020-10-01 03:00:00,29935909
2020-10-08 03:00:00,29775549
2020-10-15 03:00:00,29577216
2020-10-22 03:00:00,29295146
2020-10-29 03:00:00,29174319
2020-11-05 03:00:00,28900412
2020-11-12 03:00:00,28813959
2020-11-19 03:00:00,28566807
2020-11-26 03:00:00,28398933
2020-12-03 03:00:00,28150548
2020-12-10 03:00:00,28008771
2020-12-17 03:00:00,27812250
2020-12-24 03:00:00,27529216
2020-12-31 03:00:00,27415517
2021-01-07 03:00:00,27197601
2021-01-14 03:00:00,27078656
2021-01-21 03:00:00,26899637
2021-01-28 03:00:00,26695908
2021-02-04 03:00:00,26428838
2021-02-11 03:00:00,26245722
2021-02-18 03:00:00,25981790
2021-02-25 03:00:00,25840640
2021-03-04 03:00:00,25559040
2021-03-11 03:00:00,25382912
2021-03-18 03:00:00,25096192
2021-03-25 03:00:00,24975770
2021-04-15 03:00:00,24377530
2021-04-22 03:00:00,24140399
2021-04-29 03:00:00,23824896
2021-05-06 03:00:00,23685608
2021-05-13 03:00:00,23463854
2021-05-20 03:00:00,23376384
2021-05-27 03:00:00,23112090
2021-06-03 03:00:00,22930910
2021-06-10 03:00:00,22658560
2021-06-17 03:00:00,22416148
2021-06-24 03:00:00,22241139
2021-07-01 03:00:00,21965359
2021-07-08 03:00:00,21680128
2021-07-15 03:00:00,21527291
2021-07-22 03:00:00,21420851
2021-07-29 03:00:00,21102592
2021-08-05 03:00:00,20812740
2021-08-12 03:00:00,20529524
2021-08-19 03:00:00,20301576
2021-08-26 03:00:00,20191232
2021-09-02 03:00:00,19896320
2021-09-09 03:00:00,19649515
2021-09-16 03:00:00,19438994
2021-09-23 03:00:00,19262158
2021-10-07 03:00:00,18862080
2021-10-14 03:00:00,18657280
2021-10-21 03:00:00,18310485
2021-10-28 03:00:00,18121259
2021-11-04 03:00:00,17973576
2021-11-11 03:00:00,17590152
2021-11-18 03:00:00,17512353
2021-11-25 03:00:00,17136661
2021-12-02 03:00:00,16991474
2021-12-09 03:00:00,16717047
2021-12-16 03:00:00,16444889
2021-12-23 03:00:00,16134850
2021-12-30 03:00:00,15983447
2022-01-06 03:00:00,15676871
2022-01-13 03:00:00,15516467
2022-01-20 03:00:00,15173063
2022-01-27 03:00:00,15049186
2022-02-03 03:00:00,14669974
2022-02-10 03:00:00,14451608
2022-02-17 03:00:00,14254549
2022-02-24 03:00:00,13937600
2022-03-03 03:00:00,13744522
2022-03-10 03:00:00,13591991
2022-03-17 03:00:00,13171350
2022-03-24 03:00:00,12986797
2022-03-31 03:00:00,12744051
2022-04-07 03:00:00,12505006
2022-04-14 03:00:00,12285269
2022-04-28 03:00:00,11412480
2022-05-05 03:00:00,11439348
2022-05-12 03:00:00,11509105
2022-05-19 03:00:00,11456588
2022-05-26 03:00:00,11167744
2022-06-02 03:00:00,11291307
2022-06-09 03:00:00,11367863
2022-06-16 03:00:00,11387676
2022-06-23 03:00:00,11412142
2022-06-30 03:00:00,11392875
2022-07-07 03:00:00,11393517
2022-07-14 03:00:00,11393669
2022-07-21 03:00:00,11403384
2022-07-28 03:00:00,11410393
2022-08-04 03:00:00,11424085
2022-08-11 03:00:00,11414253
2022-08-18 03:00:00,11450339

