"Time","vbatt"
2019-06-29 02:14:56,16608
2019-06-29 02:15:11,16588
2019-06-29 06:17:11,16568
2019-06-29 06:18:41,16548
2019-06-30 02:12:43,16608
2019-06-30 04:40:58,16608
2019-06-30 22:18:39,16608
2019-07-01 07:27:10,16608
2019-07-02 02:17:42,16608
2019-07-02 02:20:27,16608
2019-07-02 02:21:12,16608
2019-07-02 05:47:27,16608
2019-07-02 05:49:42,16608
2019-07-02 05:50:12,16588
2019-07-03 02:24:23,16588
2019-07-03 02:24:23,16588
2019-07-03 19:09:10,16588
2019-07-04 00:02:55,16588
2019-07-04 00:03:55,16588
2019-07-04 04:11:40,16588
2019-07-04 06:30:26,16568
2019-07-05 02:27:22,16588
2019-07-05 03:11:52,16588
2019-07-05 03:12:37,16608
2019-07-05 03:14:22,16588
2019-07-05 03:14:52,16588
2019-07-06 20:50:56,16588
2019-07-06 20:51:26,16608
2019-07-06 20:52:41,16588
2019-07-06 20:53:26,16588
2019-07-06 20:53:41,16588
2019-07-06 20:53:56,16588
2019-07-07 01:31:52,16588
2019-07-07 01:32:52,16608
2019-07-07 01:33:37,16608
2019-07-07 01:34:07,16608
2019-07-07 01:34:22,16608
2019-07-07 01:35:37,16588
2019-07-07 01:37:22,16608
2019-07-07 01:37:37,16588
2019-07-07 06:34:38,16588
2019-07-07 08:15:38,16548
2019-07-07 21:01:24,16588
2019-07-07 22:35:25,16588
2019-07-07 22:35:40,16608
2019-07-07 22:36:25,16588
2019-07-07 22:36:40,16588
2019-07-08 00:52:40,16588
2019-07-08 00:54:40,16608
2019-07-08 01:32:10,16608
2019-07-08 01:32:55,16608
2019-07-08 01:34:10,16608
2019-07-08 01:35:25,16608
2019-07-08 05:00:55,16608
2019-07-08 05:02:40,16588
2019-07-08 06:33:10,16608
2019-07-08 06:33:25,16588
2019-07-08 06:36:25,16588
2019-07-08 15:55:41,16608
2019-07-08 19:21:42,16588
2019-07-08 19:22:12,16608
2019-07-08 19:53:42,16469
2019-07-08 19:55:57,16469
2019-07-09 15:58:14,16608
2019-07-09 15:58:44,16588
2019-07-10 01:39:30,16608
2019-07-10 01:40:15,16608
2019-07-10 04:59:30,16588
2019-07-10 16:01:01,16608
2019-07-10 16:01:31,16608
2019-07-10 19:57:47,16469
2019-07-10 19:58:47,16469
2019-07-10 21:38:47,16456
2019-07-10 21:41:02,16456
2019-07-10 21:43:32,16608
2019-07-11 01:03:31,16608
2019-07-11 01:03:46,16608
2019-07-11 01:05:31,16608
2019-07-11 01:37:46,16608
2019-07-11 01:41:16,16608
