"Time","eps_temp_1"
2019-06-28 03:00:00,6
2019-06-29 03:00:00,7.3
2019-06-30 03:00:00,12
2019-07-01 03:00:00,4.8
2019-07-02 03:00:00,6
2019-07-03 03:00:00,9.7
2019-07-04 03:00:00,5
2019-07-05 03:00:00,8
2019-07-06 03:00:00,10
2019-07-07 03:00:00,11
2019-07-08 03:00:00,11
2019-07-09 03:00:00,8
2019-07-10 03:00:00,2.3
2019-07-11 03:00:00,2.2
2019-07-12 03:00:00,0.71
2019-07-13 03:00:00,2.3
2019-07-14 03:00:00,1.2
2019-07-15 03:00:00,0.50
2019-07-16 03:00:00,2.7
2019-07-17 03:00:00,2.5
2019-07-18 03:00:00,6.3
2019-07-19 03:00:00,2.6
2019-07-20 03:00:00,2.8
2019-07-21 03:00:00,6.5
2019-07-22 03:00:00,2.1
2019-07-23 03:00:00,2.9
2019-07-24 03:00:00,3.5
2019-07-25 03:00:00,4.3
2019-07-26 03:00:00,10
2019-07-27 03:00:00,5.9
2019-07-28 03:00:00,5.8
2019-07-29 03:00:00,3
2019-07-30 03:00:00,13
2019-08-06 03:00:00,0
2019-08-07 03:00:00,2.6
2019-08-08 03:00:00,1.3
2019-08-09 03:00:00,0.20
2019-08-10 03:00:00,4.8
2019-08-11 03:00:00,4.3
2019-08-15 03:00:00,6
2019-08-16 03:00:00,9
2019-08-17 03:00:00,11
2019-08-18 03:00:00,8.6
2019-08-19 03:00:00,8.2
2019-08-23 03:00:00,-1
2019-08-24 03:00:00,-1
2019-08-25 03:00:00,4
2019-08-30 03:00:00,0
2019-08-31 03:00:00,3.5
2019-09-09 03:00:00,2
2019-09-10 03:00:00,10
2019-09-22 03:00:00,9.4
2019-10-16 03:00:00,-1
2019-10-18 03:00:00,4.2
2019-10-19 03:00:00,6.7
2019-10-22 03:00:00,11
2019-10-23 03:00:00,10
2019-11-15 03:00:00,13
2019-12-31 03:00:00,11
2020-01-02 03:00:00,8.2
2020-01-03 03:00:00,10
2020-01-05 03:00:00,2
2020-01-07 03:00:00,18
2020-01-25 03:00:00,15
2020-01-26 03:00:00,11
2020-01-27 03:00:00,8
2020-02-01 03:00:00,6
2020-02-04 03:00:00,11
2020-02-08 03:00:00,10
2020-02-11 03:00:00,7
2020-03-03 03:00:00,-4
2020-03-04 03:00:00,0
2020-03-05 03:00:00,7.8
2020-03-10 03:00:00,5
2020-03-12 03:00:00,14
2020-03-14 03:00:00,13
2020-03-15 03:00:00,15
2020-03-17 03:00:00,4
2020-03-18 03:00:00,12
2020-03-19 03:00:00,4.1
2020-03-21 03:00:00,12
2020-03-23 03:00:00,0.67
2020-03-24 03:00:00,1.3
2020-03-26 03:00:00,3.3
2020-03-27 03:00:00,2.4
2020-03-28 03:00:00,4
