"Time","input_current"
2019-06-28 03:00:00,94
2019-06-29 03:00:00,47
2019-06-30 03:00:00,76
2019-07-01 03:00:00,100
2019-07-02 03:00:00,91
2019-07-03 03:00:00,75
2019-07-04 03:00:00,76
2019-07-05 03:00:00,76
2019-07-06 03:00:00,76
2019-07-07 03:00:00,81
2019-07-08 03:00:00,56
2019-07-09 03:00:00,79
2019-07-10 03:00:00,82
2019-07-11 03:00:00,101
2019-07-12 03:00:00,84
2019-07-13 03:00:00,83
2019-07-14 03:00:00,28
2019-07-15 03:00:00,26
2019-07-16 03:00:00,65
2019-07-17 03:00:00,38
2019-07-18 03:00:00,83
2019-07-19 03:00:00,50
2019-07-20 03:00:00,78
2019-07-21 03:00:00,91
2019-07-22 03:00:00,60
2019-07-23 03:00:00,75
2019-07-24 03:00:00,97
2019-07-25 03:00:00,64
2019-07-26 03:00:00,48
2019-07-27 03:00:00,45
2019-07-28 03:00:00,54
2019-07-29 03:00:00,45
2019-07-30 03:00:00,59
2019-08-06 03:00:00,7
2019-08-07 03:00:00,57
2019-08-08 03:00:00,107
2019-08-09 03:00:00,169
2019-08-10 03:00:00,7
2019-08-11 03:00:00,7
2019-08-15 03:00:00,84
2019-08-16 03:00:00,88
2019-08-17 03:00:00,36
2019-08-18 03:00:00,48
2019-08-19 03:00:00,54
2019-08-23 03:00:00,104
2019-08-24 03:00:00,106
2019-08-25 03:00:00,88
2019-08-30 03:00:00,112
2019-08-31 03:00:00,78
2019-09-09 03:00:00,100
2019-09-10 03:00:00,90
2019-09-22 03:00:00,73
2019-10-16 03:00:00,156
2019-10-18 03:00:00,80
2019-10-19 03:00:00,33
2019-10-22 03:00:00,60
2019-10-23 03:00:00,7
2019-11-15 03:00:00,84
2019-12-31 03:00:00,7
2020-01-02 03:00:00,84
2020-01-03 03:00:00,82
2020-01-05 03:00:00,150
2020-01-07 03:00:00,73
2020-01-25 03:00:00,74
2020-01-26 03:00:00,87
2020-01-27 03:00:00,73
2020-02-01 03:00:00,128
2020-02-04 03:00:00,7
2020-02-08 03:00:00,84
2020-02-11 03:00:00,7
2020-03-03 03:00:00,137
2020-03-04 03:00:00,103
2020-03-05 03:00:00,78
2020-03-10 03:00:00,105
2020-03-12 03:00:00,7
2020-03-14 03:00:00,7
2020-03-15 03:00:00,7
2020-03-17 03:00:00,87
2020-03-18 03:00:00,84
2020-03-19 03:00:00,104
2020-03-21 03:00:00,135
2020-03-23 03:00:00,7
2020-03-24 03:00:00,118
2020-03-26 03:00:00,118
2020-03-27 03:00:00,99
2020-03-28 03:00:00,7
2020-03-30 03:00:00,128
2020-03-31 03:00:00,95
2020-04-01 03:00:00,121
2020-04-03 03:00:00,7
2020-04-04 03:00:00,82
2020-04-07 03:00:00,112
2020-04-08 03:00:00,100
2020-04-10 03:00:00,73
2020-04-11 03:00:00,135
2020-04-13 03:00:00,73
2020-04-19 03:00:00,7
2020-04-20 03:00:00,7
2020-04-21 03:00:00,83
2020-05-04 03:00:00,145
2020-05-06 03:00:00,166
2020-05-07 03:00:00,73
2020-05-10 03:00:00,72
2020-05-19 03:00:00,22
2020-05-20 03:00:00,65
2020-05-23 03:00:00,7
2020-05-24 03:00:00,7
2020-05-25 03:00:00,119
2020-06-01 03:00:00,73
2020-06-04 03:00:00,7
2020-06-09 03:00:00,7
2020-06-14 03:00:00,110
2020-06-16 03:00:00,47
2020-06-20 03:00:00,73
2020-06-22 03:00:00,76
2020-06-26 03:00:00,84
2020-06-27 03:00:00,7
2020-06-30 03:00:00,7
2020-07-01 03:00:00,43
2020-07-05 03:00:00,246
2020-07-09 03:00:00,82
2020-07-10 03:00:00,120
2020-07-13 03:00:00,7
2020-07-16 03:00:00,198
2020-07-19 03:00:00,85
2020-07-22 03:00:00,105
2020-07-23 03:00:00,83
2020-07-24 03:00:00,86
2020-07-26 03:00:00,51
2020-07-27 03:00:00,88
2020-07-29 03:00:00,7
2020-07-31 03:00:00,7
2020-08-03 03:00:00,117
2020-08-04 03:00:00,7
2020-08-05 03:00:00,88
2020-08-06 03:00:00,135
2020-08-08 03:00:00,46
2020-08-09 03:00:00,97
2020-08-10 03:00:00,89
2020-08-12 03:00:00,7
2020-08-13 03:00:00,7
2020-08-14 03:00:00,38
2020-08-16 03:00:00,79
2020-08-19 03:00:00,63
2020-08-22 03:00:00,29
2020-08-23 03:00:00,51
2020-08-24 03:00:00,7
2020-08-25 03:00:00,7
2020-08-26 03:00:00,7
2020-08-27 03:00:00,79
2020-08-28 03:00:00,48
2020-08-30 03:00:00,105
2020-08-31 03:00:00,116
2020-09-01 03:00:00,113
2020-09-02 03:00:00,98
2020-09-03 03:00:00,56
2020-09-05 03:00:00,41
2020-09-06 03:00:00,37
2020-09-07 03:00:00,7
2020-09-08 03:00:00,7
2020-09-09 03:00:00,84
2020-09-10 03:00:00,41
2020-09-11 03:00:00,14
2020-09-12 03:00:00,7
2020-09-13 03:00:00,7
2020-09-15 03:00:00,7
2020-09-17 03:00:00,81
2020-09-18 03:00:00,39
2020-09-21 03:00:00,63
2020-09-22 03:00:00,104
2020-09-23 03:00:00,95
