"Time","Text"
2021-02-19 22:51:10,1970-01-12 15:13:54
2021-10-30 00:07:15,1970-01-12 21:17:06
2022-01-29 04:53:36,1970-01-12 23:28:26
2022-01-30 04:16:23,1970-01-12 23:29:50
2022-01-30 04:16:38,1970-01-12 23:29:50
2022-02-01 14:36:58,1970-01-12 23:33:20
2022-02-01 14:37:13,1970-01-12 23:33:20
2022-02-01 14:37:28,1970-01-12 23:33:20
2022-02-01 14:37:43,1970-01-12 23:33:20
2022-02-01 14:38:28,1970-01-12 23:33:20
2022-02-01 14:39:13,1970-01-12 23:33:20
2022-02-03 01:44:49,1970-01-12 23:35:26
2022-02-03 01:45:04,1970-01-12 23:35:26
2022-02-03 01:45:34,1970-01-12 23:35:26
2022-02-03 01:45:49,1970-01-12 23:35:26
2022-02-03 01:46:04,1970-01-12 23:35:26
2022-02-03 01:46:34,1970-01-12 23:35:26
2022-02-03 20:00:15,1970-01-12 23:36:17
2022-02-03 20:00:21,1970-01-12 23:36:17
2022-02-03 20:00:30,1970-01-12 23:36:17
2022-02-03 20:00:36,1970-01-12 23:36:17
2022-02-03 20:01:15,1970-01-12 23:36:18
2022-02-03 20:01:21,1970-01-12 23:36:18
2022-02-04 19:23:18,1970-01-12 23:37:42
2022-02-07 19:06:10,1970-01-12 23:42:14
2022-02-07 19:06:17,1970-01-12 23:42:14
2022-02-07 19:06:32,1970-01-12 23:42:14
2022-02-07 20:55:17,1970-01-12 23:42:21
2022-02-07 20:55:32,1970-01-12 23:42:21
2022-02-08 12:33:33,1970-01-12 23:43:17
2022-02-08 12:34:18,1970-01-12 23:43:17
2022-02-08 13:16:33,1970-01-12 23:43:20
2022-02-08 14:13:33,1970-01-12 23:43:23
2022-02-08 19:11:03,1970-01-12 23:43:27
2022-02-09 03:59:34,1970-01-12 23:44:13
2022-02-09 04:00:19,1970-01-12 23:44:13
2022-02-09 04:00:34,1970-01-12 23:44:13
2022-02-09 04:01:19,1970-01-12 23:44:13
2022-02-09 04:01:34,1970-01-12 23:44:13
2022-02-09 06:49:34,1970-01-12 23:44:23
2022-02-09 06:50:50,1970-01-12 23:44:23
