"Time","pos_x"
2019-06-29 02:14:56,-5214
2019-06-29 02:15:11,-5283
2019-06-29 06:17:11,-5465
2019-06-29 06:18:41,-5718
2019-06-30 02:12:43,6799
2019-06-30 04:40:58,711
2019-06-30 22:18:39,6282
2019-07-01 07:27:10,-5317
2019-07-02 02:17:42,6597
2019-07-02 02:20:27,6422
2019-07-02 02:21:12,6328
2019-07-02 05:47:27,-5347
2019-07-02 05:49:42,-5943
2019-07-02 05:50:12,-6025
2019-07-03 02:24:23,-4780
2019-07-03 02:24:23,-4780
2019-07-03 19:09:10,1799
2019-07-04 00:02:55,6105
2019-07-04 00:03:55,6144
2019-07-04 04:11:40,5837
2019-07-04 06:30:26,-568
2019-07-05 02:27:22,6275
2019-07-05 03:11:52,-5787
2019-07-05 03:12:37,-5848
2019-07-05 03:14:22,-5960
2019-07-05 03:14:52,-5977
2019-07-06 20:50:56,6229
2019-07-06 20:51:26,6167
2019-07-06 20:52:41,5999
2019-07-06 20:53:26,5888
2019-07-06 20:53:41,5859
2019-07-06 20:53:56,5829
2019-07-07 01:31:52,-5437
2019-07-07 01:32:52,-5581
2019-07-07 01:33:37,-5683
2019-07-07 01:34:07,-5736
2019-07-07 01:34:22,-5753
2019-07-07 01:35:37,-5849
2019-07-07 01:37:22,-5933
2019-07-07 01:37:37,-5937
2019-07-07 06:34:38,-1911
2019-07-07 08:15:38,-2596
2019-07-07 21:01:24,1800
2019-07-07 22:35:25,6253
2019-07-07 22:35:40,6244
2019-07-07 22:36:25,6204
2019-07-07 22:36:40,6180
2019-07-08 00:52:40,-3871
2019-07-08 00:54:40,-4542
2019-07-08 01:32:10,-4895
2019-07-08 01:32:55,-5039
2019-07-08 01:34:10,-5265
2019-07-08 01:35:25,-5459
2019-07-08 05:00:55,-5812
2019-07-08 05:02:40,-6112
2019-07-08 06:33:10,-3364
2019-07-08 06:33:25,-3303
2019-07-08 06:36:25,-2210
2019-07-08 15:55:41,4986
2019-07-08 19:21:42,4657
2019-07-08 19:22:12,4508
2019-07-08 19:53:42,-5538
2019-07-08 19:55:57,-5824
2019-07-09 15:58:14,670
2019-07-09 15:58:44,881
2019-07-10 01:39:30,246
2019-07-10 01:40:15,601
2019-07-10 04:59:30,-4162
2019-07-10 16:01:01,4782
2019-07-10 16:01:31,4619
2019-07-10 19:57:47,5889
2019-07-10 19:58:47,5641
2019-07-10 21:38:47,6043
2019-07-10 21:41:02,5626
2019-07-10 21:43:32,5032
2019-07-11 01:03:31,-4998
2019-07-11 01:03:46,-5047
2019-07-11 01:05:31,-5506
2019-07-11 01:37:46,-1393
2019-07-11 01:41:16,33
2019-07-11 01:42:01,307
2019-07-11 02:44:46,6550
