"Time","Text"
2019-06-29 02:14:56,ADCS Off
2019-06-29 02:15:11,ADCS Off
2019-06-29 06:17:11,ADCS Off
2019-06-29 06:18:41,ADCS Off
2019-06-30 02:12:43,ADCS Off
2019-06-30 04:40:58,ADCS Off
2019-06-30 22:18:39,ADCS Off
2019-07-01 07:27:10,ADCS Off
2019-07-02 02:17:42,ADCS Off
2019-07-02 02:20:27,ADCS Off
2019-07-02 02:21:12,ADCS Off
2019-07-02 05:47:27,ADCS Off
2019-07-02 05:49:42,ADCS Off
2019-07-02 05:50:12,ADCS Off
2019-07-03 02:24:23,ADCS Off
2019-07-03 02:24:23,ADCS Off
2019-07-03 19:09:10,ADCS Off
2019-07-04 00:02:55,ADCS Off
2019-07-04 00:03:55,ADCS Off
2019-07-04 04:11:40,ADCS Off
2019-07-04 06:30:26,ADCS Off
2019-07-05 02:27:22,ADCS Off
2019-07-05 03:11:52,ADCS Off
2019-07-05 03:12:37,ADCS Off
2019-07-05 03:14:22,ADCS Off
2019-07-05 03:14:52,ADCS Off
2019-07-06 20:50:56,ADCS Off
2019-07-06 20:51:26,ADCS Off
2019-07-06 20:52:41,ADCS Off
2019-07-06 20:53:26,ADCS Off
2019-07-06 20:53:41,ADCS Off
2019-07-06 20:53:56,ADCS Off
2019-07-07 01:31:52,ADCS Off
2019-07-07 01:32:52,ADCS Off
2019-07-07 01:33:37,ADCS Off
2019-07-07 01:34:07,ADCS Off
2019-07-07 01:34:22,ADCS Off
2019-07-07 01:35:37,ADCS Off
2019-07-07 01:37:22,ADCS Off
2019-07-07 01:37:37,ADCS Off
2019-07-07 06:34:38,ADCS Off
2019-07-07 08:15:38,ADCS Off
2019-07-07 21:01:24,ADCS Off
2019-07-07 22:35:25,ADCS Off
2019-07-07 22:35:40,ADCS Off
2019-07-07 22:36:25,ADCS Off
2019-07-07 22:36:40,ADCS Off
2019-07-08 00:52:40,ADCS Off
2019-07-08 00:54:40,ADCS Off
2019-07-08 01:32:10,ADCS Off
2019-07-08 01:32:55,ADCS Off
2019-07-08 01:34:10,ADCS Off
2019-07-08 01:35:25,ADCS Off
2019-07-08 05:00:55,ADCS Off
2019-07-08 05:02:40,ADCS Off
2019-07-08 06:33:10,ADCS Off
2019-07-08 06:33:25,ADCS Off
2019-07-08 06:36:25,ADCS Off
2019-07-08 15:55:41,ADCS Off
2019-07-08 19:21:42,ADCS Off
2019-07-08 19:22:12,ADCS Off
2019-07-08 19:53:42,ADCS Off
2019-07-08 19:55:57,ADCS Off
2019-07-09 15:58:14,ADCS Off
2019-07-09 15:58:44,ADCS Off
2019-07-10 01:39:30,ADCS Off
2019-07-10 01:40:15,ADCS Off
2019-07-10 04:59:30,ADCS Off
2019-07-10 16:01:01,ADCS Off
2019-07-10 16:01:31,ADCS Off
2019-07-10 19:57:47,ADCS Off
2019-07-10 19:58:47,ADCS Off
2019-07-10 21:38:47,ADCS Off
2019-07-10 21:41:02,ADCS Off
2019-07-10 21:43:32,ADCS Off
2019-07-11 01:03:31,ADCS Off
2019-07-11 01:03:46,ADCS Off
2019-07-11 01:05:31,ADCS Off
2019-07-11 01:37:46,ADCS Off
2019-07-11 01:41:16,ADCS Off
2019-07-11 01:42:01,ADCS Off
2019-07-11 02:44:46,ADCS Off
2019-07-11 02:45:01,ADCS Off
2019-07-11 05:04:47,ADCS Off
2019-07-11 19:28:33,ADCS Off
2019-07-11 20:54:33,ADCS Off
2019-07-11 20:57:33,ADCS Off
2019-07-11 20:59:33,ADCS Off
2019-07-11 23:22:33,ADCS Off
2019-07-11 23:23:48,ADCS Off
2019-07-12 01:04:19,ADCS Off
2019-07-12 01:05:04,ADCS Off
2019-07-12 01:06:19,ADCS Off
2019-07-12 01:45:19,ADCS Off
2019-07-12 01:46:19,ADCS Off
2019-07-12 04:59:19,ADCS Off
2019-07-12 04:59:34,ADCS Off
2019-07-12 05:02:34,ADCS Off
2019-07-12 18:19:50,ADCS Off
2019-07-12 18:20:05,ADCS Off
2019-07-12 18:20:50,ADCS Off
2019-07-12 19:57:36,ADCS Off
2019-07-12 19:57:51,ADCS Off
2019-07-12 19:58:36,ADCS Off
2019-07-12 20:00:21,ADCS Off
2019-07-12 20:01:36,ADCS Off
2019-07-12 21:42:51,ADCS Off
2019-07-12 21:43:21,ADCS Off
2019-07-12 22:19:36,ADCS Off
2019-07-12 23:21:03,ADCS Off
2019-07-12 23:21:18,ADCS Off
2019-07-12 23:23:03,ADCS Off
2019-07-12 23:24:18,ADCS Off
2019-07-12 23:25:48,ADCS Off
2019-07-12 23:26:18,ADCS Off
2019-07-12 23:26:33,ADCS Off
2019-07-12 23:26:33,ADCS Off
2019-07-12 23:27:18,ADCS Off
2019-07-12 23:28:33,ADCS Off
2019-07-13 01:02:48,ADCS Off
2019-07-13 01:03:48,ADCS Off
2019-07-13 01:05:48,ADCS Off
2019-07-13 01:39:34,ADCS Off
2019-07-13 01:41:04,ADCS Off
2019-07-13 01:41:49,ADCS Off
2019-07-13 01:42:34,ADCS Off
2019-07-13 03:21:34,ADCS Off
2019-07-13 03:21:49,ADCS Off
2019-07-13 03:22:49,ADCS Off
2019-07-13 03:23:04,ADCS Off
2019-07-13 03:23:04,ADCS Off
2019-07-13 18:19:05,ADCS Off
2019-07-13 18:19:35,ADCS Off
2019-07-13 19:59:50,ADCS Off
2019-07-13 20:01:05,ADCS Off
2019-07-13 20:02:05,ADCS Off
2019-07-13 20:02:50,ADCS Off
2019-07-13 20:03:35,ADCS Off
2019-07-13 20:04:50,ADCS Off
2019-07-13 21:42:35,ADCS Off
2019-07-13 21:43:05,ADCS Off
2019-07-13 21:44:05,ADCS Off
2019-07-13 21:44:20,ADCS Off
2019-07-13 23:22:51,ADCS Off
2019-07-13 23:26:06,ADCS Off
2019-07-13 23:27:36,ADCS Off
2019-07-13 23:28:51,ADCS Off
2019-07-13 23:28:51,ADCS Off
2019-07-13 23:29:36,ADCS Off
2019-07-13 23:30:36,ADCS Off
2019-07-14 01:42:21,ADCS Off
2019-07-14 01:43:21,ADCS Off
2019-07-14 18:25:22,ADCS Off
2019-07-14 20:01:53,ADCS Off
2019-07-14 20:04:53,ADCS Off
2019-07-14 20:05:23,ADCS Off
2019-07-14 20:05:53,ADCS Off
2019-07-14 20:05:53,ADCS Off
2019-07-14 20:06:23,ADCS Off
2019-07-14 20:07:38,ADCS Off
2019-07-14 21:44:53,ADCS Off
2019-07-14 21:48:08,ADCS Off
2019-07-14 21:48:53,ADCS Off
2019-07-15 00:01:47,ADCS Off
2019-07-15 00:03:17,ADCS Off
2019-07-15 01:49:17,ADCS Off
2019-07-15 16:43:34,ADCS Off
2019-07-15 19:29:19,ADCS Off
2019-07-15 21:48:19,ADCS Off
2019-07-15 21:49:49,ADCS Off
2019-07-16 18:28:21,ADCS Off
2019-07-16 18:32:06,ADCS Off
2019-07-16 18:32:36,ADCS Off
2019-07-16 18:32:51,ADCS Off
2019-07-16 20:43:37,ADCS Off
2019-07-16 21:55:22,ADCS Off
2019-07-16 21:55:52,ADCS Off
2019-07-16 23:36:22,ADCS Off
2019-07-16 23:36:52,ADCS Off
2019-07-17 00:09:37,ADCS Off
2019-07-17 00:09:52,ADCS Off
2019-07-17 15:07:31,ADCS Off
2019-07-17 16:48:46,ADCS Off
2019-07-17 20:15:16,ADCS Off
2019-07-17 21:55:31,ADCS Off
2019-07-17 21:57:16,ADCS Off
2019-07-17 21:57:31,ADCS Off
2019-07-17 21:58:16,ADCS Off
2019-07-17 22:24:02,ADCS Off
2019-07-17 22:28:17,ADCS Off
2019-07-17 22:31:02,ADCS Off
2019-07-17 22:31:47,ADCS Off
2019-07-18 03:31:47,ADCS Off
2019-07-18 14:38:18,ADCS Off
2019-07-18 20:19:04,ADCS Off
2019-07-18 20:49:49,ADCS Off
2019-07-18 20:52:49,ADCS Off
2019-07-18 21:59:04,ADCS Off
2019-07-18 22:30:34,ADCS Off
2019-07-18 22:32:04,ADCS Off
2019-07-18 22:32:19,ADCS Off
2019-07-18 22:35:34,ADCS Off
