"Time","Text"
2019-06-29 02:14:56,7.35 hour
2019-06-29 02:15:11,7.36 hour
2019-06-29 06:17:11,11.39 hour
2019-06-29 06:18:41,11.42 hour
2019-06-30 02:12:43,1.30 day
2019-06-30 04:40:58,1.41 day
2019-06-30 22:18:39,2.87 hour
2019-07-01 07:27:10,12.01 hour
2019-07-02 02:17:42,1.29 day
2019-07-02 02:20:27,1.29 day
2019-07-02 02:21:12,1.29 day
2019-07-02 05:47:27,1.43 day
2019-07-02 05:49:42,1.43 day
2019-07-02 05:50:12,1.43 day
2019-07-03 02:24:23,6.41 hour
2019-07-03 02:24:23,6.41 hour
2019-07-03 19:09:10,23.16 hour
2019-07-04 00:02:55,1.17 day
2019-07-04 00:03:55,1.17 day
2019-07-04 04:11:40,1.34 day
2019-07-04 06:30:26,1.44 day
2019-07-05 02:27:22,5.86 hour
2019-07-05 03:11:52,6.60 hour
2019-07-05 03:12:37,6.61 hour
2019-07-05 03:14:22,6.64 hour
2019-07-05 03:14:52,6.65 hour
2019-07-06 20:50:56,2.01 day
2019-07-06 20:51:26,2.01 day
2019-07-06 20:52:41,2.01 day
2019-07-06 20:53:26,2.01 day
2019-07-06 20:53:41,2.01 day
2019-07-06 20:53:56,2.01 day
2019-07-07 01:31:52,4.33 hour
2019-07-07 01:32:52,4.35 hour
2019-07-07 01:33:37,4.36 hour
2019-07-07 01:34:07,4.37 hour
2019-07-07 01:34:22,4.37 hour
2019-07-07 01:35:37,4.39 hour
2019-07-07 01:37:22,4.42 hour
2019-07-07 01:37:37,4.43 hour
2019-07-07 06:34:38,9.38 hour
2019-07-07 08:15:38,11.06 hour
2019-07-07 21:01:24,23.82 hour
2019-07-07 22:35:25,1.058 day
2019-07-07 22:35:40,1.058 day
2019-07-07 22:36:25,1.059 day
2019-07-07 22:36:40,1.059 day
2019-07-08 00:52:40,1.153 day
2019-07-08 00:54:40,1.155 day
2019-07-08 01:32:10,1.18 day
2019-07-08 01:32:55,1.18 day
2019-07-08 01:34:10,1.18 day
2019-07-08 01:35:25,1.18 day
2019-07-08 05:00:55,1.33 day
2019-07-08 05:02:40,1.33 day
2019-07-08 06:33:10,1.39 day
2019-07-08 06:33:25,1.39 day
2019-07-08 06:36:25,1.39 day
2019-07-08 15:55:41,1.78 day
2019-07-08 19:21:42,1.92 day
2019-07-08 19:22:12,1.92 day
2019-07-08 19:53:42,1.95 day
2019-07-08 19:55:57,1.95 day
2019-07-09 15:58:14,18.12 hour
2019-07-09 15:58:44,18.13 hour
2019-07-10 01:39:30,1.16 day
2019-07-10 01:40:15,1.16 day
2019-07-10 04:59:30,1.30 day
2019-07-10 16:01:01,1.76 day
2019-07-10 16:01:31,1.76 day
2019-07-10 19:57:47,1.92 day
2019-07-10 19:58:47,1.92 day
2019-07-10 21:38:47,1.99 day
2019-07-10 21:41:02,1.99 day
2019-07-10 21:43:32,1.99 day
2019-07-11 01:03:31,2.5628 hour
2019-07-11 01:03:46,2.5669 hour
2019-07-11 01:05:31,2.5961 hour
2019-07-11 01:37:46,3.13 hour
2019-07-11 01:41:16,3.19 hour
2019-07-11 01:42:01,3.20 hour
2019-07-11 02:44:46,4.25 hour
2019-07-11 02:45:01,4.25 hour
2019-07-11 05:04:47,6.58 hour
2019-07-11 19:28:33,20.98 hour
2019-07-11 20:54:33,22.41 hour
2019-07-11 20:57:33,22.46 hour
2019-07-11 20:59:33,22.50 hour
2019-07-11 23:22:33,1.037 day
2019-07-11 23:23:48,1.038 day
2019-07-12 01:04:19,1.107 day
2019-07-12 01:05:04,1.108 day
2019-07-12 01:06:19,1.109 day
2019-07-12 01:45:19,1.136 day
2019-07-12 01:46:19,1.136 day
2019-07-12 04:59:19,1.27 day
2019-07-12 04:59:34,1.27 day
2019-07-12 05:02:34,1.27 day
2019-07-12 18:19:50,1.83 day
2019-07-12 18:20:05,1.83 day
2019-07-12 18:20:50,1.83 day
2019-07-12 19:57:36,1.89 day
2019-07-12 19:57:51,1.89 day
2019-07-12 19:58:36,1.90 day
2019-07-12 20:00:21,1.90 day
2019-07-12 20:01:36,1.90 day
2019-07-12 21:42:51,1.97 day
2019-07-12 21:43:21,1.97 day
2019-07-12 22:19:36,1.99 day
2019-07-12 23:21:03,11.8 min
2019-07-12 23:21:18,12.0 min
2019-07-12 23:23:03,13.8 min
2019-07-12 23:24:18,15.0 min
2019-07-12 23:25:48,16.5 min
2019-07-12 23:26:18,17.0 min
2019-07-12 23:26:33,17.3 min
2019-07-12 23:26:33,17.3 min
2019-07-12 23:27:18,18.0 min
2019-07-12 23:28:33,19.3 min
2019-07-13 01:02:48,1.8919 hour
2019-07-13 01:03:48,1.9086 hour
2019-07-13 01:05:48,1.9419 hour
2019-07-13 01:39:34,2.5044 hour
2019-07-13 01:41:04,2.5294 hour
2019-07-13 01:41:49,2.5419 hour
2019-07-13 01:42:34,2.5544 hour
2019-07-13 03:21:34,4.20 hour
2019-07-13 03:21:49,4.21 hour
2019-07-13 03:22:49,4.23 hour
2019-07-13 03:23:04,4.23 hour
2019-07-13 03:23:04,4.23 hour
2019-07-13 18:19:05,19.16 hour
2019-07-13 18:19:35,19.17 hour
2019-07-13 19:59:50,20.84 hour
2019-07-13 20:01:05,20.86 hour
2019-07-13 20:02:05,20.88 hour
2019-07-13 20:02:50,20.89 hour
2019-07-13 20:03:35,20.90 hour
2019-07-13 20:04:50,20.93 hour
2019-07-13 21:42:35,22.55 hour
2019-07-13 21:43:05,22.56 hour
2019-07-13 21:44:05,22.58 hour
2019-07-13 21:44:20,22.58 hour
2019-07-13 23:22:51,1.009 day
2019-07-13 23:26:06,1.012 day
2019-07-13 23:27:36,1.013 day
2019-07-13 23:28:51,1.014 day
2019-07-13 23:28:51,1.014 day
2019-07-13 23:29:36,1.014 day
2019-07-13 23:30:36,1.015 day
2019-07-14 01:42:21,1.106 day
2019-07-14 01:43:21,1.107 day
2019-07-14 18:25:22,1.80 day
2019-07-14 20:01:53,1.87 day
2019-07-14 20:04:53,1.87 day
2019-07-14 20:05:23,1.87 day
2019-07-14 20:05:53,1.87 day
2019-07-14 20:05:53,1.87 day
2019-07-14 20:06:23,1.87 day
2019-07-14 20:07:38,1.87 day
2019-07-14 21:44:53,1.94 day
2019-07-14 21:48:08,1.94 day
2019-07-14 21:48:53,1.94 day
2019-07-15 00:01:47,14.5 min
2019-07-15 00:03:17,16.0 min
2019-07-15 01:49:17,2.0336 hour
2019-07-15 16:43:34,16.94 hour
2019-07-15 19:29:19,19.70 hour
2019-07-15 21:48:19,22.02 hour
2019-07-15 21:49:49,22.04 hour
2019-07-16 18:28:21,1.78 day
2019-07-16 18:32:06,1.78 day
2019-07-16 18:32:36,1.78 day
2019-07-16 18:32:51,1.78 day
2019-07-16 20:43:37,1.87 day
2019-07-16 21:55:22,1.92 day
2019-07-16 21:55:52,1.92 day
2019-07-16 23:36:22,1.99 day
2019-07-16 23:36:52,1.99 day
2019-07-17 00:09:37,2.02 day
2019-07-17 00:09:52,2.02 day
2019-07-17 15:07:31,14.67 hour
2019-07-17 16:48:46,16.36 hour
2019-07-17 20:15:16,19.80 hour
2019-07-17 21:55:31,21.47 hour
2019-07-17 21:57:16,21.50 hour
2019-07-17 21:57:31,21.50 hour
2019-07-17 21:58:16,21.52 hour
2019-07-17 22:24:02,21.95 hour
2019-07-17 22:28:17,22.02 hour
2019-07-17 22:31:02,22.06 hour
2019-07-17 22:31:47,22.08 hour
2019-07-18 03:31:47,1.128 day
2019-07-18 14:38:18,1.59 day
2019-07-18 20:19:04,1.83 day
2019-07-18 20:49:49,1.85 day
2019-07-18 20:52:49,1.85 day
2019-07-18 21:59:04,1.90 day
2019-07-18 22:30:34,1.92 day
2019-07-18 22:32:04,1.92 day
2019-07-18 22:32:19,1.92 day
2019-07-18 22:35:34,1.92 day
2019-07-18 22:37:34,1.92 day
2019-07-19 00:11:49,1.99 day
2019-07-19 00:13:34,1.99 day
2019-07-19 00:13:49,1.99 day
2019-07-19 00:16:04,1.99 day
2019-07-19 01:52:43,47.3 min
2019-07-19 01:53:13,47.8 min
2019-07-19 01:53:13,47.8 min
2019-07-19 15:12:59,14.13 hour
2019-07-19 15:13:29,14.13 hour
2019-07-19 18:38:15,17.55 hour
2019-07-19 18:39:00,17.56 hour
2019-07-19 18:39:15,17.56 hour
2019-07-19 20:20:00,19.24 hour
2019-07-19 20:21:15,19.26 hour
2019-07-19 20:21:45,19.27 hour
2019-07-19 20:49:15,19.73 hour
2019-07-19 20:56:30,19.85 hour
2019-07-19 20:57:45,19.87 hour
2019-07-19 20:58:00,19.88 hour
2019-07-19 22:30:00,21.41 hour
2019-07-19 22:32:15,21.45 hour
