Time,Attitude Quaternion 1
2023-04-15 03:00:00,-1.0
2023-04-16 03:00:00,0.0
2023-04-17 03:00:00,-1.0
2023-04-18 03:00:00,0.0
2023-04-19 03:00:00,-1.0
2023-04-20 03:00:00,-1.0
2023-04-21 03:00:00,-1.0
2023-04-22 03:00:00,0.0
2023-04-23 03:00:00,0.0
2023-04-24 03:00:00,-1.0
2023-04-25 03:00:00,-1.0
2023-04-26 03:00:00,-1.0
2023-04-27 03:00:00,-1.0
2023-04-28 03:00:00,0.13
2023-04-29 03:00:00,-1.0
2023-04-30 03:00:00,-1.0
2023-05-01 03:00:00,0.21
2023-05-02 03:00:00,0.25
2023-05-03 03:00:00,-1.0
2023-05-04 03:00:00,0.18
2023-05-05 03:00:00,-1.0
2023-05-06 03:00:00,0.0
2023-05-07 03:00:00,-1.0
2023-05-08 03:00:00,0.2
2023-05-09 03:00:00,-1.0
2023-05-10 03:00:00,0.21
2023-05-11 03:00:00,-1.0
2023-05-12 03:00:00,-1.0
2023-05-13 03:00:00,-1.0
2023-05-14 03:00:00,-1.0
2023-05-15 03:00:00,0.13
2023-05-16 03:00:00,-1.0
2023-05-17 03:00:00,-1.0
2023-05-18 03:00:00,-1.0
2023-05-19 03:00:00,0.25
2023-05-20 03:00:00,0.16
2023-05-21 03:00:00,-1.0
2023-05-22 03:00:00,-1.0
2023-05-23 03:00:00,-1.0
2023-05-24 03:00:00,-1.0
2023-05-25 03:00:00,0.23
2023-05-26 03:00:00,-1.0
2023-05-27 03:00:00,-1.0
2023-05-28 03:00:00,0.16
2023-05-29 03:00:00,0.32
2023-05-30 03:00:00,-1.0
2023-05-31 03:00:00,-1.0
2023-06-01 03:00:00,-1.0
2023-06-02 03:00:00,0.16
2023-06-03 03:00:00,0.24
2023-06-04 03:00:00,-1.0
2023-06-05 03:00:00,0.32
2023-06-06 03:00:00,0.24
2023-06-07 03:00:00,0.2
2023-06-08 03:00:00,-1.0
2023-06-09 03:00:00,0.38
2023-06-10 03:00:00,0.26
2023-06-11 03:00:00,0.21
