Time,56188.last V
2023-04-15 03:00:00,12.24
2023-04-16 03:00:00,12.3
2023-04-17 03:00:00,12.18
2023-04-18 03:00:00,12.18
2023-04-19 03:00:00,12.03
2023-04-20 03:00:00,12.09
2023-04-21 03:00:00,12.12
2023-04-22 03:00:00,12.12
2023-04-23 03:00:00,12.09
2023-04-24 03:00:00,12.09
2023-04-25 03:00:00,12.22
2023-04-26 03:00:00,12.14
2023-04-27 03:00:00,12.09
2023-04-28 03:00:00,12.24
2023-04-29 03:00:00,12.09
2023-04-30 03:00:00,11.97
2023-05-01 03:00:00,12.12
2023-05-02 03:00:00,12.05
2023-05-03 03:00:00,12.12
2023-05-04 03:00:00,12.09
2023-05-05 03:00:00,12.16
2023-05-06 03:00:00,12.09
2023-05-07 03:00:00,12.12
2023-05-08 03:00:00,12.12
2023-05-09 03:00:00,12.05
2023-05-10 03:00:00,12.09
2023-05-11 03:00:00,12.07
2023-05-12 03:00:00,12.12
2023-05-13 03:00:00,12.3
2023-05-14 03:00:00,12.12
2023-05-15 03:00:00,12.09
2023-05-16 03:00:00,12.07
2023-05-17 03:00:00,12.12
2023-05-18 03:00:00,12.3
2023-05-19 03:00:00,12.18
2023-05-20 03:00:00,12.12
2023-05-21 03:00:00,12.22
2023-05-22 03:00:00,12.2
2023-05-23 03:00:00,12.07
2023-05-24 03:00:00,12.22
2023-05-25 03:00:00,11.97
2023-05-26 03:00:00,12.12
2023-05-27 03:00:00,12.3
2023-05-28 03:00:00,12.26
2023-05-29 03:00:00,12.14
2023-05-30 03:00:00,12.1
2023-05-31 03:00:00,12.07
2023-06-01 03:00:00,12.12
2023-06-02 03:00:00,12.12
2023-06-03 03:00:00,12.14
2023-06-04 03:00:00,12.16
2023-06-05 03:00:00,12.1
2023-06-06 03:00:00,12.1
2023-06-07 03:00:00,12.3
2023-06-08 03:00:00,12.32
2023-06-09 03:00:00,12.2
2023-06-10 03:00:00,12.24
2023-06-11 03:00:00,12.09
2023-06-12 03:00:00,12.18
2023-06-13 03:00:00,12.1
2023-06-14 03:00:00,12.28
2023-06-15 03:00:00,12.12
2023-06-16 03:00:00,12.2
2023-06-17 03:00:00,12.24
2023-06-18 03:00:00,12.12
2023-06-19 03:00:00,12.3
2023-06-20 03:00:00,12.26
2023-06-21 03:00:00,12.1
2023-06-22 03:00:00,12.32
2023-06-23 03:00:00,12.28
2023-06-24 03:00:00,12.3
2023-06-25 03:00:00,12.28
2023-06-26 03:00:00,12.3
2023-06-27 03:00:00,12.05
2023-06-28 03:00:00,12.32
2023-06-29 03:00:00,12.3
2023-06-30 03:00:00,12.28
2023-07-01 03:00:00,12.3
2023-07-02 03:00:00,12.28
2023-07-03 03:00:00,12.2
2023-07-04 03:00:00,12.32
2023-07-05 03:00:00,12.3
2023-07-06 03:00:00,12.16
2023-07-07 03:00:00,12.26
2023-07-08 03:00:00,12.28
2023-07-09 03:00:00,12.32
2023-07-10 03:00:00,12.3
2023-07-11 03:00:00,12.3
2023-07-12 03:00:00,12.3
2023-07-13 03:00:00,12.3
2023-07-14 03:00:00,12.3
2023-07-15 03:00:00,12.3
2023-07-16 03:00:00,12.3
2023-07-17 03:00:00,12.3
2023-07-18 03:00:00,12.3
2023-07-19 03:00:00,12.3
2023-07-20 03:00:00,12.3
2023-07-21 03:00:00,12.2
2023-07-22 03:00:00,12.28
2023-07-23 03:00:00,12.32
2023-07-24 03:00:00,12.18
2023-07-25 03:00:00,12.18
2023-07-26 03:00:00,12.18
2023-07-27 03:00:00,12.18
2023-07-28 03:00:00,12.2
2023-07-29 03:00:00,12.3
2023-07-30 03:00:00,12.28
2023-07-31 03:00:00,12.18
2023-08-01 03:00:00,12.22
2023-08-02 03:00:00,12.16
2023-08-03 03:00:00,12.28
2023-08-04 03:00:00,12.24
2023-08-05 03:00:00,12.2
2023-08-06 03:00:00,12.24
2023-08-07 03:00:00,12.28
2023-08-08 03:00:00,12.24
2023-08-09 03:00:00,12.24
2023-08-10 03:00:00,12.24
2023-08-11 03:00:00,12.22
2023-08-12 03:00:00,12.14
2023-08-13 03:00:00,12.16
2023-08-14 03:00:00,12.16
2023-08-15 03:00:00,12.22
2023-08-16 03:00:00,12.22
2023-08-17 03:00:00,12.2
2023-08-18 03:00:00,12.16
2023-08-19 03:00:00,12.14
2023-08-20 03:00:00,12.16
2023-08-21 03:00:00,12.14
2023-08-22 03:00:00,12.03
2023-08-23 03:00:00,12.16
2023-08-24 03:00:00,12.18
2023-08-25 03:00:00,12.16
2023-08-26 03:00:00,12.16
2023-08-27 03:00:00,12.16
2023-08-28 03:00:00,12.16
2023-08-29 03:00:00,12.18
2023-08-30 03:00:00,12.18
2023-08-31 03:00:00,12.32
2023-09-01 03:00:00,12.16
2023-09-02 03:00:00,12.18
2023-09-03 03:00:00,12.16
2023-09-04 03:00:00,12.05
2023-09-05 03:00:00,12.16
2023-09-06 03:00:00,12.16
2023-09-07 03:00:00,12.16
2023-09-08 03:00:00,12.16
2023-09-09 03:00:00,12.16
2023-09-10 03:00:00,12.14
2023-09-11 03:00:00,12.16
2023-09-12 03:00:00,12.14
2023-09-13 03:00:00,12.16
2023-09-14 03:00:00,12.12
2023-09-15 03:00:00,12.16
2023-09-16 03:00:00,12.14
2023-09-17 03:00:00,12.16
2023-09-18 03:00:00,12.14
2023-09-19 03:00:00,12.16
2023-09-20 03:00:00,12.14
2023-09-21 03:00:00,12.16
2023-09-22 03:00:00,12.12
2023-09-23 03:00:00,12.16
2023-09-24 03:00:00,12.3
2023-09-25 03:00:00,12.16
2023-09-26 03:00:00,12.03
2023-09-27 03:00:00,12.16
2023-09-28 03:00:00,12.14
2023-09-29 03:00:00,12.16
2023-09-30 03:00:00,12.14
2023-10-01 03:00:00,12.16
2023-10-02 03:00:00,12.16
2023-10-03 03:00:00,12.12
2023-10-04 03:00:00,12.14
2023-10-05 03:00:00,12.12
2023-10-06 03:00:00,12.14
2023-10-07 03:00:00,12.07
2023-10-08 03:00:00,12.09
2023-10-09 03:00:00,12.09
2023-10-10 03:00:00,12.07
2023-10-11 03:00:00,12.05
2023-10-12 03:00:00,12.03
2023-10-13 03:00:00,12.09
2023-10-14 03:00:00,12.03
2023-10-15 03:00:00,12.03
2023-10-16 03:00:00,12.05
2023-10-17 03:00:00,12.05
2023-10-18 03:00:00,12.03
2023-10-19 03:00:00,12.07
2023-10-20 03:00:00,12.07
2023-10-21 03:00:00,12.18
2023-10-22 03:00:00,10.21
2023-10-23 03:00:00,12.3
2023-10-24 03:00:00,12.09
2023-10-25 03:00:00,12.18
2023-10-26 03:00:00,10.93
2023-10-27 03:00:00,12.09
2023-10-28 03:00:00,12.07
2023-10-29 03:00:00,12.07
2023-10-30 03:00:00,12.01
2023-10-31 03:00:00,12.09
2023-11-01 03:00:00,12.03
2023-11-02 03:00:00,12.07
2023-11-03 03:00:00,12.3
2023-11-04 03:00:00,12.09
2023-11-05 03:00:00,12.03
2023-11-06 03:00:00,12.07
2023-11-07 03:00:00,12.12
2023-11-08 03:00:00,12.07
2023-11-09 03:00:00,12.09
2023-11-10 03:00:00,12.03
2023-11-11 03:00:00,12.09
2023-11-12 03:00:00,12.03
2023-11-13 03:00:00,12.07
2023-11-14 03:00:00,12.05
2023-11-15 03:00:00,12.07
2023-11-16 03:00:00,12.01
2023-11-17 03:00:00,12.09
2023-11-18 03:00:00,12.05
2023-11-19 03:00:00,12.09
2023-11-20 03:00:00,12.01
2023-11-21 03:00:00,12.07
2023-11-22 03:00:00,12.05
2023-11-23 03:00:00,12.03
2023-11-24 03:00:00,12.07
2023-11-25 03:00:00,12.03
2023-11-26 03:00:00,12.09
2023-11-27 03:00:00,12.09
2023-11-28 03:00:00,12.03
2023-11-29 03:00:00,12.07
2023-11-30 03:00:00,12.05
2023-12-01 03:00:00,12.03
2023-12-02 03:00:00,12.07
2023-12-03 03:00:00,12.03
2023-12-04 03:00:00,12.05
2023-12-05 03:00:00,12.09
2023-12-06 03:00:00,12.03
2023-12-07 03:00:00,12.03
2023-12-08 03:00:00,12.07
2023-12-09 03:00:00,12.05
2023-12-10 03:00:00,12.07
2023-12-11 03:00:00,12.05
2023-12-12 03:00:00,12.05
2023-12-13 03:00:00,12.07
2023-12-14 03:00:00,12.05
2023-12-15 03:00:00,12.05
2023-12-16 03:00:00,12.07
2023-12-17 03:00:00,12.03
2023-12-18 03:00:00,12.03
2023-12-19 03:00:00,12.07
2023-12-20 03:00:00,12.14
2023-12-21 03:00:00,12.14
2023-12-22 03:00:00,12.09
2023-12-23 03:00:00,11.99
2023-12-24 03:00:00,12.07
2023-12-25 03:00:00,12.05
2023-12-26 03:00:00,12.03
2023-12-27 03:00:00,12.09
2023-12-28 03:00:00,12.03
2023-12-29 03:00:00,12.14
2023-12-30 03:00:00,12.12
2023-12-31 03:00:00,12.07
2024-01-01 03:00:00,12.09
2024-01-02 03:00:00,12.03
2024-01-03 03:00:00,12.05
2024-01-04 03:00:00,12.01
2024-01-05 03:00:00,12.05
2024-01-06 03:00:00,12.03
2024-01-07 03:00:00,12.07
2024-01-08 03:00:00,12.05
2024-01-09 03:00:00,12.05
2024-01-10 03:00:00,12.05
2024-01-11 03:00:00,12.22
2024-01-12 03:00:00,12.09
2024-01-13 03:00:00,12.01
2024-01-14 03:00:00,12.07
2024-01-15 03:00:00,12.03
2024-01-16 03:00:00,12.01
2024-01-17 03:00:00,12.05
2024-01-18 03:00:00,11.99
2024-01-19 03:00:00,12.2
2024-01-20 03:00:00,12.05
2024-01-21 03:00:00,12.05
2024-01-22 03:00:00,12.07
2024-01-23 03:00:00,12.03
2024-01-24 03:00:00,12.07
2024-01-25 03:00:00,12.09
2024-01-26 03:00:00,12.14
2024-01-27 03:00:00,12.16
2024-01-28 03:00:00,12.05
2024-01-29 03:00:00,12.03
2024-01-30 03:00:00,12.07
2024-01-31 03:00:00,12.05
2024-02-01 03:00:00,12.07
2024-02-02 03:00:00,12.09
2024-02-03 03:00:00,12.05
2024-02-04 03:00:00,12.07
2024-02-05 03:00:00,12.05
2024-02-06 03:00:00,12.14
2024-02-07 03:00:00,12.05
2024-02-08 03:00:00,12.09
2024-02-09 03:00:00,12.07
2024-02-10 03:00:00,12.01
