Time,Velocity 1
2023-04-15 03:00:00,-5675
2023-04-16 03:00:00,-5314
2023-04-17 03:00:00,-5669
2023-04-18 03:00:00,-5594
2023-04-19 03:00:00,-4601
2023-04-20 03:00:00,-6050
2023-04-21 03:00:00,-5894
2023-04-22 03:00:00,-5638
2023-04-23 03:00:00,-5543
2023-04-24 03:00:00,-5900
2023-04-25 03:00:00,-5614
2023-04-26 03:00:00,-6074
2023-04-27 03:00:00,-6116
2023-04-28 03:00:00,-2908
2023-04-29 03:00:00,-6059
2023-04-30 03:00:00,-6927
2023-05-01 03:00:00,-5372
2023-05-02 03:00:00,-5442
2023-05-03 03:00:00,-5979
2023-05-04 03:00:00,-5114
2023-05-05 03:00:00,-5741
2023-05-06 03:00:00,-3889
2023-05-07 03:00:00,-5825
2023-05-08 03:00:00,-5046
2023-05-09 03:00:00,-5659
2023-05-10 03:00:00,-4952
2023-05-11 03:00:00,-5563
2023-05-12 03:00:00,-5640
2023-05-13 03:00:00,-5408
2023-05-14 03:00:00,-5363
2023-05-15 03:00:00,-4373
2023-05-16 03:00:00,-5453
2023-05-17 03:00:00,-5387
2023-05-18 03:00:00,-5255
2023-05-19 03:00:00,-4599
2023-05-20 03:00:00,-4123
2023-05-21 03:00:00,-5276
2023-05-22 03:00:00,-5283
2023-05-23 03:00:00,-5036
2023-05-24 03:00:00,-5084
2023-05-25 03:00:00,-4125
2023-05-26 03:00:00,-4854
2023-05-27 03:00:00,-4805
2023-05-28 03:00:00,-3689
2023-05-29 03:00:00,-4129
2023-05-30 03:00:00,-4764
2023-05-31 03:00:00,-4764
2023-06-01 03:00:00,-4431
2023-06-02 03:00:00,-3327
2023-06-03 03:00:00,-3475
2023-06-04 03:00:00,-4025
2023-06-05 03:00:00,-3475
2023-06-06 03:00:00,-3223
2023-06-07 03:00:00,-3020
2023-06-08 03:00:00,-4118
2023-06-09 03:00:00,-3827
2023-06-10 03:00:00,-3650
2023-06-11 03:00:00,-2708
2023-06-12 03:00:00,-3851
2023-06-13 03:00:00,-3140
2023-06-14 03:00:00,-1476
2023-06-15 03:00:00,-2387
2023-06-16 03:00:00,-2238
2023-06-17 03:00:00,-3121
2023-06-18 03:00:00,-3159
2023-06-19 03:00:00,-3054
2023-06-20 03:00:00,-2908
2023-06-21 03:00:00,1000
2023-06-22 03:00:00,-1091
2023-06-23 03:00:00,-2661
2023-06-24 03:00:00,-1420
2023-06-25 03:00:00,-1386
2023-06-26 03:00:00,-2317
2023-06-27 03:00:00,-2308
2023-06-28 03:00:00,-970
2023-06-29 03:00:00,-876
2023-06-30 03:00:00,-905
2023-07-01 03:00:00,-1911
2023-07-02 03:00:00,-1810
2023-07-03 03:00:00,-1715
2023-07-04 03:00:00,-1609
2023-07-05 03:00:00,-1516
2023-07-06 03:00:00,-1488
2023-07-07 03:00:00,-1315
2023-07-08 03:00:00,18
2023-07-09 03:00:00,-1120
2023-07-10 03:00:00,-970
2023-07-11 03:00:00,308
2023-07-20 03:00:00,28
2023-07-21 03:00:00,1307
2023-07-22 03:00:00,1393
2023-07-23 03:00:00,396
2023-07-24 03:00:00,459
2023-07-25 03:00:00,444
2023-07-26 03:00:00,1000
2023-07-27 03:00:00,863
