Time,SDR_TX_FRAMES
2023-04-15 03:00:00,0
2023-04-16 03:00:00,0
2023-04-17 03:00:00,17710
2023-04-18 03:00:00,17710
2023-04-19 03:00:00,17864
2023-04-20 03:00:00,15689
2023-04-21 03:00:00,17029
2023-04-22 03:00:00,17021
2023-04-23 03:00:00,17020
2023-04-24 03:00:00,17037
2023-04-25 03:00:00,0
2023-04-26 03:00:00,15009
2023-04-27 03:00:00,1026
2023-04-28 03:00:00,0
2023-04-29 03:00:00,0
2023-04-30 03:00:00,0
2023-05-01 03:00:00,17079
2023-05-02 03:00:00,17064
2023-05-03 03:00:00,17025
2023-05-04 03:00:00,17075
2023-05-05 03:00:00,17036
2023-05-06 03:00:00,0
2023-05-07 03:00:00,17026
2023-05-08 03:00:00,0
2023-05-09 03:00:00,0
2023-05-10 03:00:00,12222
2023-05-11 03:00:00,12135
2023-05-12 03:00:00,12130
2023-05-13 03:00:00,12179
2023-05-14 03:00:00,12133
2023-05-15 03:00:00,12131
2023-05-16 03:00:00,10263
2023-05-17 03:00:00,8285
2023-05-18 03:00:00,8344
2023-05-19 03:00:00,8625
2023-05-20 03:00:00,17097
2023-05-21 03:00:00,17173
2023-05-22 03:00:00,17173
2023-05-23 03:00:00,17173
2023-05-24 03:00:00,16247
2023-05-25 03:00:00,17034
2023-05-26 03:00:00,17079
2023-05-27 03:00:00,17160
2023-05-28 03:00:00,14124
2023-05-29 03:00:00,11182
2023-05-30 03:00:00,12639
2023-05-31 03:00:00,11182
2023-06-01 03:00:00,10377
2023-06-02 03:00:00,17102
2023-06-03 03:00:00,16586
2023-06-04 03:00:00,17319
2023-06-05 03:00:00,17175
2023-06-06 03:00:00,299
2023-06-07 03:00:00,299
2023-06-08 03:00:00,299
2023-06-09 03:00:00,299
2023-06-10 03:00:00,299
2023-06-11 03:00:00,17001
2023-06-12 03:00:00,16517
2023-06-13 03:00:00,16517
2023-06-14 03:00:00,17094
2023-06-15 03:00:00,6262
2023-06-16 03:00:00,6262
