Time,Attitude Quaternion 1
2019-02-11 03:00:00,0.41
2019-02-12 03:00:00,0.09
2019-02-13 03:00:00,0.15
2019-02-14 03:00:00,0.37
2019-02-15 03:00:00,0.35
2019-02-16 03:00:00,0.37
2019-02-17 03:00:00,0.36
2019-02-18 03:00:00,0.17
2019-02-19 03:00:00,0.38
2019-02-20 03:00:00,0.14
2019-02-21 03:00:00,-1.0
2019-02-22 03:00:00,-1.0
2019-02-23 03:00:00,0.11
2019-02-24 03:00:00,0.21
2019-02-25 03:00:00,0.42
2019-02-26 03:00:00,0.26
2019-02-27 03:00:00,0.24
2019-02-28 03:00:00,-1.0
2019-03-01 03:00:00,0.26
2019-03-02 03:00:00,0.24
2019-03-03 03:00:00,0.45
2019-03-04 03:00:00,0.45
2019-03-05 03:00:00,0.3
2019-03-06 03:00:00,0.46
2019-03-07 03:00:00,0.29
2019-03-08 03:00:00,0.53
2019-03-09 03:00:00,0.25
2019-03-10 03:00:00,0.0
2019-03-11 03:00:00,-1.0
2019-03-12 03:00:00,1.6e-08
2019-03-13 03:00:00,0.26
2019-03-14 03:00:00,0.34
2019-03-15 03:00:00,-1.0
2019-03-16 03:00:00,0.35
2019-03-17 03:00:00,0.6
2019-03-18 03:00:00,0.44
2019-03-19 03:00:00,1.6e-08
2019-03-20 03:00:00,0.36
2019-03-21 03:00:00,1.6e-08
2019-03-22 03:00:00,-1.0
2019-03-23 03:00:00,0.38
2019-03-24 03:00:00,0.57
2019-03-25 03:00:00,0.55
2019-03-26 03:00:00,0.59
2019-03-27 03:00:00,0.57
2019-03-28 03:00:00,0.0
2019-03-29 03:00:00,0.0
2019-03-30 03:00:00,0.62
2019-03-31 03:00:00,0.59
2019-04-01 03:00:00,0.59
2019-04-02 03:00:00,-1.0
2019-04-03 03:00:00,0.49
2019-04-04 03:00:00,0.42
2019-04-05 03:00:00,0.0
2019-04-06 03:00:00,0.66
2019-04-07 03:00:00,0.75
2019-04-08 03:00:00,0.7
2019-04-09 03:00:00,0.64
