Time,Sun Position 1
2019-02-11 03:00:00,116505309
2019-02-12 03:00:00,117877553
2019-02-13 03:00:00,120385495
2019-02-14 03:00:00,121221281
2019-02-15 03:00:00,122715647
2019-02-16 03:00:00,124176041
2019-02-17 03:00:00,125594719
2019-02-18 03:00:00,127410524
2019-02-19 03:00:00,128231009
2019-02-20 03:00:00,-1
2019-02-21 03:00:00,-1
2019-02-22 03:00:00,-1
2019-02-23 03:00:00,133735724
2019-02-24 03:00:00,134865730
2019-02-25 03:00:00,135895207
2019-02-26 03:00:00,136860002
2019-02-27 03:00:00,137996529
2019-02-28 03:00:00,138155371
2019-03-01 03:00:00,139266734
2019-03-02 03:00:00,140745519
2019-03-03 03:00:00,141150392
2019-03-04 03:00:00,142012087
2019-03-05 03:00:00,143059959
2019-03-06 03:00:00,143448193
2019-03-07 03:00:00,143905849
2019-03-08 03:00:00,144964386
2019-03-09 03:00:00,145601825
2019-03-10 03:00:00,145983761
2019-03-11 03:00:00,146235323
2019-03-12 03:00:00,94428267
2019-03-13 03:00:00,147434114
2019-03-14 03:00:00,147781339
2019-03-15 03:00:00,7836
2019-03-16 03:00:00,148323453
2019-03-17 03:00:00,-1
2019-03-18 03:00:00,-1
2019-03-19 03:00:00,94428267
2019-03-20 03:00:00,148917593
2019-03-21 03:00:00,766
2019-03-22 03:00:00,-1
2019-03-23 03:00:00,148882470
2019-03-24 03:00:00,148846068
2019-03-25 03:00:00,148726842
2019-03-26 03:00:00,148537192
2019-03-27 03:00:00,148354166
2019-03-28 03:00:00,147951804
2019-03-29 03:00:00,147626651
2019-03-30 03:00:00,147436629
2019-03-31 03:00:00,147075865
2019-04-01 03:00:00,146645971
2019-04-02 03:00:00,145967883
2019-04-03 03:00:00,145365653
2019-04-04 03:00:00,145216583
2019-04-05 03:00:00,0
2019-04-06 03:00:00,143565063
2019-04-07 03:00:00,-1
2019-04-08 03:00:00,-1
2019-04-09 03:00:00,141688924
2019-04-10 03:00:00,140872225
2019-04-11 03:00:00,94428267
2019-04-14 03:00:00,-1
2019-04-15 03:00:00,136174612
2019-04-17 03:00:00,-1
2019-04-18 03:00:00,132247256
2019-04-19 03:00:00,131122661
2019-04-20 03:00:00,129828062
2019-04-21 03:00:00,129134363
2019-04-22 03:00:00,-1
2019-04-23 03:00:00,126595688
2019-04-24 03:00:00,125227792
2019-04-25 03:00:00,123823316
2019-04-26 03:00:00,122378741
2019-04-28 03:00:00,118589909
2019-04-30 03:00:00,115422953
2019-05-01 03:00:00,114647894
2019-05-02 03:00:00,112995051
2019-05-03 03:00:00,111427718
2019-05-04 03:00:00,109713627
2019-05-05 03:00:00,106926848
2019-05-06 03:00:00,105342228
2019-05-07 03:00:00,103426704
2019-05-08 03:00:00,101672904
2019-05-09 03:00:00,100959702
2019-05-10 03:00:00,98653724
2019-05-11 03:00:00,96595527
2019-05-12 03:00:00,94900007
2019-05-13 03:00:00,93083340
2019-05-14 03:00:00,89856368
2019-05-15 03:00:00,89180598
2019-05-16 03:00:00,0
2019-05-17 03:00:00,83641676
2019-05-18 03:00:00,81522421
2019-05-19 03:00:00,80353127
2019-05-20 03:00:00,78344456
2019-05-21 03:00:00,76166219
2019-05-22 03:00:00,74116042
2019-05-23 03:00:00,70736824
2019-05-24 03:00:00,69355399
2019-05-25 03:00:00,66177709
2019-05-26 03:00:00,65608002
2019-05-27 03:00:00,61623046
2019-05-28 03:00:00,60349696
2019-05-29 03:00:00,58673901
2019-05-30 03:00:00,56014972
2019-05-31 03:00:00,52209969
2019-06-01 03:00:00,50911472
2019-06-02 03:00:00,48511634
2019-06-03 03:00:00,45160641
2019-06-04 03:00:00,44040599
2019-06-05 03:00:00,40418053
2019-06-06 03:00:00,37675010
2019-06-07 03:00:00,36325766
2019-06-08 03:00:00,33856953
2019-06-09 03:00:00,31536466
2019-06-10 03:00:00,-1
2019-06-11 03:00:00,26556457
2019-06-12 03:00:00,24056335
2019-06-13 03:00:00,21547325
2019-06-14 03:00:00,17890321
2019-06-15 03:00:00,15365760
2019-06-16 03:00:00,14155873
2019-06-17 03:00:00,10307825
2019-06-18 03:00:00,-1
2019-06-19 03:00:00,6387247
2019-06-20 03:00:00,2697810
2019-06-21 03:00:00,1691811
2019-06-22 03:00:00,-2387298
2019-06-23 03:00:00,-4917886
2019-06-24 03:00:00,-6306223
2019-06-25 03:00:00,-9990277
2019-06-26 03:00:00,-12524170
2019-06-27 03:00:00,-13905993
2019-06-28 03:00:00,-16438808
2019-06-29 03:00:00,-1
2019-06-30 03:00:00,-1
2019-07-01 03:00:00,-24954523
2019-07-02 03:00:00,-1
2019-07-03 03:00:00,-28824357
2019-07-04 03:00:00,-31308317
2019-07-05 03:00:00,-33793064
2019-07-06 03:00:00,-36259779
2019-07-07 03:00:00,-39839270
2019-07-08 03:00:00,-41172187
2019-07-09 03:00:00,-1
2019-07-10 03:00:00,-1
2019-07-11 03:00:00,-48284378
2019-07-12 03:00:00,-50843874
2019-07-13 03:00:00,-53226357
2019-07-14 03:00:00,-55593537
2019-07-15 03:00:00,-58849670
2019-07-16 03:00:00,-60281698
2019-07-17 03:00:00,-62445001
