Time,Wheel #1 Speed
2019-02-11 03:00:00,-96.0
2019-02-12 03:00:00,-82.0
2019-02-13 03:00:00,-146.0
2019-02-14 03:00:00,-504.0
2019-02-15 03:00:00,-456.0
2019-02-16 03:00:00,-2.0
2019-02-17 03:00:00,-469.0
2019-02-18 03:00:00,-565.0
2019-02-19 03:00:00,-490.0
2019-02-20 03:00:00,-49.0
2019-02-21 03:00:00,-67.0
2019-02-22 03:00:00,-19.0
2019-02-23 03:00:00,-466.0
2019-02-24 03:00:00,-1.0
2019-02-25 03:00:00,-561.0
2019-02-26 03:00:00,-50.0
2019-02-27 03:00:00,-1.0
2019-02-28 03:00:00,-22.0
2019-03-01 03:00:00,-135.0
2019-03-02 03:00:00,-93.0
2019-03-03 03:00:00,-444.0
2019-03-04 03:00:00,1.2
2019-03-05 03:00:00,-145.0
2019-03-06 03:00:00,-1.0
2019-03-07 03:00:00,-115.0
2019-03-08 03:00:00,1.2
2019-03-09 03:00:00,-40.0
2019-03-10 03:00:00,-115.0
2019-03-11 03:00:00,-69.0
2019-03-12 03:00:00,9236.0
2019-03-13 03:00:00,280.0
2019-03-14 03:00:00,-530.0
2019-03-15 03:00:00,11060.0
2019-03-16 03:00:00,-84.0
2019-03-17 03:00:00,89.0
2019-03-18 03:00:00,100.0
2019-03-19 03:00:00,11060.0
2019-03-20 03:00:00,-42.0
2019-03-21 03:00:00,307.0
2019-03-22 03:00:00,-1.0
2019-03-23 03:00:00,-47.0
2019-03-24 03:00:00,-1.0
2019-03-25 03:00:00,-379.0
2019-03-26 03:00:00,-419.0
2019-03-27 03:00:00,-400.0
2019-03-28 03:00:00,-2.0
2019-03-29 03:00:00,-4.0
2019-03-30 03:00:00,-1.0
2019-03-31 03:00:00,-395.0
2019-04-01 03:00:00,-44.0
2019-04-02 03:00:00,-325.0
2019-04-03 03:00:00,-401.0
2019-04-04 03:00:00,-398.0
2019-04-05 03:00:00,-355.0
2019-04-06 03:00:00,-1.0
2019-04-07 03:00:00,1.2
2019-04-08 03:00:00,-1.0
2019-04-09 03:00:00,1.2
2019-04-10 03:00:00,-1.0
2019-04-11 03:00:00,-9508.0
2019-04-14 03:00:00,1.2
2019-04-15 03:00:00,1.2
2019-04-17 03:00:00,-67.0
2019-04-18 03:00:00,-366.0
2019-04-19 03:00:00,1.2
2019-04-20 03:00:00,1.6
2019-04-21 03:00:00,45.0
2019-04-22 03:00:00,71.0
2019-04-23 03:00:00,52.0
2019-04-24 03:00:00,-241.0
2019-04-25 03:00:00,-214.0
2019-04-26 03:00:00,58.0
2019-04-28 03:00:00,-160.0
2019-04-30 03:00:00,101.0
2019-05-01 03:00:00,-177.0
2019-05-02 03:00:00,-282.0
2019-05-03 03:00:00,93.0
2019-05-04 03:00:00,-151.0
2019-05-05 03:00:00,105.0
2019-05-06 03:00:00,67.0
2019-05-07 03:00:00,127.0
2019-05-08 03:00:00,-170.0
2019-05-09 03:00:00,132.0
2019-05-10 03:00:00,-166.0
2019-05-11 03:00:00,143.0
2019-05-12 03:00:00,210.0
2019-05-13 03:00:00,150.0
2019-05-14 03:00:00,-249.0
2019-05-15 03:00:00,-202.0
2019-05-16 03:00:00,0.0
2019-05-17 03:00:00,188.0
2019-05-18 03:00:00,212.0
2019-05-19 03:00:00,-118.0
2019-05-20 03:00:00,-117.0
2019-05-21 03:00:00,-125.0
2019-05-22 03:00:00,-1.0
2019-05-23 03:00:00,222.0
2019-05-24 03:00:00,-47.0
2019-05-25 03:00:00,-1.0
2019-05-26 03:00:00,-1.0
2019-05-27 03:00:00,-2.0
2019-05-28 03:00:00,-1.0
2019-05-29 03:00:00,231.0
2019-05-30 03:00:00,184.0
2019-05-31 03:00:00,-2.0
2019-06-01 03:00:00,-2.0
2019-06-02 03:00:00,-2.0
2019-06-03 03:00:00,-1.0
2019-06-04 03:00:00,266.0
2019-06-05 03:00:00,1.2
2019-06-06 03:00:00,309.0
2019-06-07 03:00:00,-60.0
2019-06-08 03:00:00,341.0
2019-06-09 03:00:00,1.2
2019-06-10 03:00:00,-98.0
2019-06-11 03:00:00,60.0
2019-06-12 03:00:00,321.0
2019-06-13 03:00:00,1.6
2019-06-14 03:00:00,346.0
2019-06-15 03:00:00,320.0
2019-06-16 03:00:00,341.0
2019-06-17 03:00:00,345.0
2019-06-18 03:00:00,345.0
2019-06-19 03:00:00,350.0
2019-06-20 03:00:00,-1.0
2019-06-21 03:00:00,1.6
2019-06-22 03:00:00,372.0
2019-06-23 03:00:00,379.0
2019-06-24 03:00:00,-1.0
2019-06-25 03:00:00,414.0
2019-06-26 03:00:00,54.0
2019-06-27 03:00:00,104.0
2019-06-28 03:00:00,-99.0
2019-06-29 03:00:00,-96.0
2019-06-30 03:00:00,-55.0
2019-07-01 03:00:00,-1.0
2019-07-02 03:00:00,79.0
2019-07-03 03:00:00,2.0
2019-07-04 03:00:00,137.0
2019-07-05 03:00:00,421.0
2019-07-06 03:00:00,166.0
2019-07-07 03:00:00,143.0
2019-07-08 03:00:00,1.2
2019-07-09 03:00:00,1.2
2019-07-10 03:00:00,-51.0
2019-07-11 03:00:00,-2.0
2019-07-12 03:00:00,474.0
2019-07-13 03:00:00,480.0
2019-07-14 03:00:00,482.0
2019-07-15 03:00:00,490.0
2019-07-16 03:00:00,146.0
2019-07-17 03:00:00,172.0
2019-07-18 03:00:00,492.0
2019-07-19 03:00:00,499.0
2019-07-20 03:00:00,496.0
2019-07-21 03:00:00,239.0
2019-07-22 03:00:00,493.0
2019-07-23 03:00:00,501.0
2019-07-24 03:00:00,519.0
2019-07-25 03:00:00,492.0
2019-07-26 03:00:00,518.0
2019-07-27 03:00:00,-365.0
2019-07-28 03:00:00,514.0
2019-07-29 03:00:00,526.0
2019-07-30 03:00:00,-1.0
2019-07-31 03:00:00,1.2
2019-08-01 03:00:00,-92.0
