"Time","Framecount"
2019-02-04 03:00:00,55
2019-02-05 03:00:00,97
2019-02-06 03:00:00,125
2019-02-07 03:00:00,160
2019-02-08 03:00:00,450
2019-02-09 03:00:00,558
2019-02-10 03:00:00,744
2019-02-11 03:00:00,1064
2019-02-12 03:00:00,1194
2019-02-13 03:00:00,1229
2019-02-14 03:00:00,1264
2019-02-15 03:00:00,1452
2019-02-16 03:00:00,1560
2019-02-17 03:00:00,1932
2019-02-18 03:00:00,2046
2019-02-19 03:00:00,2191
2019-02-20 03:00:00,2261
2019-02-21 03:00:00,2321
2019-02-22 03:00:00,2376
2019-02-23 03:00:00,2586
2019-02-24 03:00:00,2893
2019-02-25 03:00:00,3006
2019-02-26 03:00:00,3394
2019-02-27 03:00:00,3543
2019-02-28 03:00:00,3594
2019-03-01 03:00:00,3735
2019-03-02 03:00:00,3925
2019-03-03 03:00:00,4155
2019-03-04 03:00:00,4469
2019-03-05 03:00:00,4685
2019-03-06 03:00:00,4968
2019-03-07 03:00:00,5020
2019-03-08 03:00:00,5104
2019-03-09 03:00:00,5179
2019-03-10 03:00:00,5396
2019-03-11 03:00:00,5634
2019-03-12 03:00:00,5976
2019-03-13 03:00:00,6297
2019-03-14 03:00:00,6353
2019-03-15 03:00:00,6392
2019-03-16 03:00:00,6436
2019-03-17 03:00:00,6616
2019-03-18 03:00:00,6786
2019-03-19 03:00:00,7018
2019-03-20 03:00:00,7143
2019-03-21 03:00:00,7194
2019-03-22 03:00:00,7248
2019-03-23 03:00:00,7283
2019-03-24 03:00:00,7395
2019-03-25 03:00:00,7521
2019-03-26 03:00:00,7675
2019-03-27 03:00:00,7815
2019-03-28 03:00:00,7888
2019-03-29 03:00:00,7940
2019-03-30 03:00:00,8040
2019-03-31 03:00:00,8292
2019-04-01 03:00:00,8619
2019-04-02 03:00:00,8924
2019-04-03 03:00:00,9235
2019-04-04 03:00:00,9327
2019-04-05 03:00:00,9426
2019-04-06 03:00:00,9528
2019-04-07 03:00:00,9873
2019-04-08 03:00:00,10170
2019-04-09 03:00:00,10554
2019-04-10 03:00:00,10910
2019-04-11 03:00:00,10964
2019-04-12 03:00:00,11019
2019-04-13 03:00:00,11102
2019-04-14 03:00:00,11320
2019-04-15 03:00:00,11576
2019-04-16 03:00:00,11775
2019-04-17 03:00:00,11871
2019-04-18 03:00:00,11941
2019-04-19 03:00:00,11991
2019-04-20 03:00:00,12060
2019-04-21 03:00:00,12128
2019-04-22 03:00:00,12203
2019-04-23 03:00:00,12279
2019-04-24 03:00:00,12377
2019-04-25 03:00:00,12468
2019-04-26 03:00:00,12583
2019-04-27 03:00:00,12637
2019-04-28 03:00:00,12677
2019-04-29 03:00:00,12726
2019-04-30 03:00:00,12907
2019-05-01 03:00:00,13066
2019-05-02 03:00:00,13343
2019-05-03 03:00:00,13506
2019-05-04 03:00:00,13617
2019-05-05 03:00:00,13665
2019-05-06 03:00:00,13718
2019-05-07 03:00:00,13774
2019-05-08 03:00:00,13839
2019-05-09 03:00:00,14061
2019-05-10 03:00:00,14251
2019-05-11 03:00:00,14763
2019-05-12 03:00:00,14903
2019-05-13 03:00:00,15022
2019-05-14 03:00:00,15189
2019-05-15 03:00:00,15388
2019-05-16 03:00:00,15458
2019-05-17 03:00:00,15565
2019-05-18 03:00:00,15649
2019-05-19 03:00:00,15873
2019-05-20 03:00:00,16209
2019-05-21 03:00:00,16427
2019-05-22 03:00:00,16543
2019-05-23 03:00:00,16586
2019-05-24 03:00:00,16632
2019-05-25 03:00:00,16670
2019-05-26 03:00:00,16911
2019-05-27 03:00:00,17148
2019-05-28 03:00:00,17511
2019-05-29 03:00:00,17624
2019-05-30 03:00:00,17712
2019-05-31 03:00:00,17772
2019-06-01 03:00:00,18079
2019-06-02 03:00:00,18251
2019-06-03 03:00:00,18543
2019-06-04 03:00:00,18649
2019-06-05 03:00:00,18743
2019-06-06 03:00:00,18791
2019-06-07 03:00:00,18867
2019-06-08 03:00:00,18955
2019-06-09 03:00:00,19042
2019-06-10 03:00:00,19179
2019-06-11 03:00:00,19490
2019-06-12 03:00:00,19756
2019-06-13 03:00:00,19835
2019-06-14 03:00:00,19905
2019-06-15 03:00:00,19973
2019-06-16 03:00:00,20313
2019-06-17 03:00:00,20569
2019-06-18 03:00:00,20725
2019-06-19 03:00:00,21069
2019-06-20 03:00:00,21126
2019-06-21 03:00:00,21184
2019-06-22 03:00:00,21260
2019-06-23 03:00:00,21341
2019-06-24 03:00:00,21524
2019-06-25 03:00:00,21754
2019-06-26 03:00:00,21968
2019-06-27 03:00:00,22055
2019-06-28 03:00:00,22150
2019-06-29 03:00:00,22271
2019-06-30 03:00:00,22362
2019-07-01 03:00:00,22477
2019-07-02 03:00:00,22775
2019-07-03 03:00:00,22920
2019-07-04 03:00:00,22999
2019-07-05 03:00:00,23093
2019-07-06 03:00:00,23167
2019-07-07 03:00:00,23236
2019-07-08 03:00:00,23315
2019-07-09 03:00:00,23375
2019-07-10 03:00:00,23431
2019-07-11 03:00:00,23486
2019-07-12 03:00:00,23560
2019-07-13 03:00:00,23647
2019-07-14 03:00:00,23878
2019-07-15 03:00:00,24052
2019-07-16 03:00:00,24299
2019-07-17 03:00:00,24579
2019-07-18 03:00:00,24669
2019-07-19 03:00:00,24783
2019-07-20 03:00:00,24905
2019-07-21 03:00:00,25120
2019-07-22 03:00:00,25447
2019-07-23 03:00:00,25633
2019-07-24 03:00:00,25856
2019-07-25 03:00:00,25957
2019-07-26 03:00:00,26014
2019-07-27 03:00:00,26087
2019-07-28 03:00:00,26208
2019-07-29 03:00:00,26403
2019-07-30 03:00:00,26645
2019-07-31 03:00:00,26821
2019-08-01 03:00:00,26892
2019-08-02 03:00:00,26997
2019-08-03 03:00:00,27119
2019-08-04 03:00:00,27331
2019-08-05 03:00:00,27441
2019-08-06 03:00:00,27861
2019-08-07 03:00:00,28039
2019-08-08 03:00:00,28142
2019-08-09 03:00:00,28202
2019-08-10 03:00:00,28237
2019-08-11 03:00:00,28438
2019-08-12 03:00:00,28838
2019-08-13 03:00:00,29135
2019-08-14 03:00:00,29478
2019-08-15 03:00:00,29597
2019-08-16 03:00:00,29725
2019-08-17 03:00:00,29849
2019-08-18 03:00:00,29968
2019-08-19 03:00:00,30120
2019-08-20 03:00:00,30231
2019-08-21 03:00:00,30340
2019-08-22 03:00:00,30521
2019-08-23 03:00:00,30643
2019-08-24 03:00:00,30744
2019-08-25 03:00:00,30862
2019-08-26 03:00:00,30972
2019-08-27 03:00:00,31132
2019-08-28 03:00:00,31263
2019-08-29 03:00:00,31420
2019-08-30 03:00:00,31567
2019-08-31 03:00:00,31673
2019-09-01 03:00:00,31806
2019-09-02 03:00:00,32077
2019-09-03 03:00:00,32315
2019-09-04 03:00:00,32490
2019-09-05 03:00:00,32585
2019-09-06 03:00:00,32743
2019-09-07 03:00:00,32846
2019-09-08 03:00:00,32941
2019-09-09 03:00:00,33148
2019-09-10 03:00:00,33460
2019-09-11 03:00:00,33803
2019-09-12 03:00:00,33915
2019-09-13 03:00:00,34015
2019-09-14 03:00:00,34113
2019-09-15 03:00:00,34226
2019-09-16 03:00:00,34316
2019-09-17 03:00:00,34633
2019-09-18 03:00:00,34933
2019-09-19 03:00:00,35011
2019-09-20 03:00:00,35100
2019-09-21 03:00:00,35170
2019-09-22 03:00:00,35246
2019-09-23 03:00:00,35320
2019-09-24 03:00:00,35585
2019-09-25 03:00:00,35846
2019-09-26 03:00:00,35899
2019-09-27 03:00:00,36002
2019-09-28 03:00:00,36095
2019-09-29 03:00:00,36213
2019-09-30 03:00:00,36307
2019-10-01 03:00:00,36461
2019-10-02 03:00:00,36697
2019-10-03 03:00:00,36969
2019-10-04 03:00:00,37254
2019-10-05 03:00:00,37725
2019-10-06 03:00:00,37829
2019-10-07 03:00:00,37959
2019-10-08 03:00:00,38045
2019-10-09 03:00:00,38445
2019-10-10 03:00:00,38896
2019-10-11 03:00:00,39334
2019-10-12 03:00:00,39439
2019-10-13 03:00:00,39554
2019-10-14 03:00:00,39670
2019-10-15 03:00:00,40034
2019-10-16 03:00:00,40394
2019-10-17 03:00:00,40556
2019-10-18 03:00:00,40622
2019-10-19 03:00:00,40739
2019-10-20 03:00:00,40830
2019-10-21 03:00:00,40905
2019-10-22 03:00:00,41055
2019-10-23 03:00:00,41295
2019-10-24 03:00:00,41651
2019-10-25 03:00:00,41748
2019-10-26 03:00:00,41850
2019-10-27 03:00:00,41911
2019-10-28 03:00:00,41996
2019-10-29 03:00:00,42321
2019-10-30 03:00:00,42581
2019-10-31 03:00:00,42873
2019-11-01 03:00:00,42946
2019-11-02 03:00:00,43035
2019-11-03 03:00:00,43117
2019-11-04 03:00:00,43215
2019-11-05 03:00:00,43494
2019-11-06 03:00:00,43670
2019-11-07 03:00:00,43973
2019-11-08 03:00:00,44193
2019-11-09 03:00:00,44296
2019-11-10 03:00:00,44396
2019-11-11 03:00:00,44480
2019-11-12 03:00:00,44840
2019-11-13 03:00:00,45079
2019-11-14 03:00:00,45365
2019-11-15 03:00:00,45497
2019-11-16 03:00:00,45577
2019-11-17 03:00:00,45648
2019-11-18 03:00:00,45733
2019-11-19 03:00:00,45894
2019-11-20 03:00:00,46087
2019-11-21 03:00:00,46323
2019-11-22 03:00:00,46446
2019-11-23 03:00:00,46542
2019-11-24 03:00:00,46650
2019-11-25 03:00:00,46775
2019-11-26 03:00:00,47014
2019-11-27 03:00:00,47189
2019-11-28 03:00:00,47358
2019-11-29 03:00:00,47493
2019-11-30 03:00:00,47621
2019-12-01 03:00:00,47751
2019-12-02 03:00:00,47916
2019-12-03 03:00:00,48449
2019-12-04 03:00:00,49052
2019-12-05 03:00:00,49278
2019-12-06 03:00:00,49405
2019-12-07 03:00:00,49569
2019-12-08 03:00:00,49675
2019-12-09 03:00:00,49838
2019-12-10 03:00:00,50504
2019-12-11 03:00:00,51023
2019-12-12 03:00:00,51391
2019-12-13 03:00:00,51491
2019-12-14 03:00:00,51609
2019-12-15 03:00:00,51708
2019-12-16 03:00:00,51818
2019-12-17 03:00:00,51908
2019-12-18 03:00:00,52290
2019-12-19 03:00:00,52554
2019-12-20 03:00:00,52725
2019-12-21 03:00:00,52828
2019-12-22 03:00:00,52958
2019-12-23 03:00:00,53084
2019-12-24 03:00:00,53238
2019-12-25 03:00:00,53353
2019-12-26 03:00:00,53750
2019-12-27 03:00:00,53965
2019-12-28 03:00:00,54342
2019-12-29 03:00:00,54703
2019-12-30 03:00:00,54970
