Time,RSSI
2019-02-08 03:00:00,-50
2019-02-09 03:00:00,-51
2019-02-10 03:00:00,-43
2019-02-11 03:00:00,-50
2019-02-12 03:00:00,-47
2019-02-15 03:00:00,-44
2019-02-16 03:00:00,-50
2019-02-17 03:00:00,-51
2019-02-18 03:00:00,-49
2019-02-19 03:00:00,-55
2019-02-23 03:00:00,-55
2019-02-24 03:00:00,-48
2019-02-25 03:00:00,-49
2019-02-26 03:00:00,-48
2019-02-27 03:00:00,-46
2019-03-01 03:00:00,-46
2019-03-02 03:00:00,-51
2019-03-03 03:00:00,-49
2019-03-04 03:00:00,-47
2019-03-05 03:00:00,-44
2019-03-06 03:00:00,-54
2019-03-10 03:00:00,-47
2019-03-11 03:00:00,-50
2019-03-12 03:00:00,-45
2019-03-13 03:00:00,-47
2019-03-17 03:00:00,-53
2019-03-18 03:00:00,-63
2019-03-19 03:00:00,-48
2019-03-20 03:00:00,-48
2019-03-24 03:00:00,-53
2019-03-25 03:00:00,-49
2019-03-26 03:00:00,-51
2019-03-27 03:00:00,-46
2019-03-31 03:00:00,-49
2019-04-01 03:00:00,-48
2019-04-02 03:00:00,-46
2019-04-03 03:00:00,-47
2019-04-07 03:00:00,-48
2019-04-08 03:00:00,-48
2019-04-09 03:00:00,-63
2019-04-10 03:00:00,-47
2019-04-14 03:00:00,-48
2019-04-15 03:00:00,-49
2019-04-16 03:00:00,-45
2019-04-17 03:00:00,-49
2019-04-21 03:00:00,-49
2019-04-22 03:00:00,-48
2019-04-23 03:00:00,-57
2019-04-24 03:00:00,-51
2019-04-25 03:00:00,-50
2019-04-26 03:00:00,-49
2019-04-30 03:00:00,-51
2019-05-01 03:00:00,-49
2019-05-02 03:00:00,-50
2019-05-03 03:00:00,-51
2019-05-04 03:00:00,-50
2019-05-09 03:00:00,-51
2019-05-10 03:00:00,-49
2019-05-11 03:00:00,-52
2019-05-12 03:00:00,-63
2019-05-13 03:00:00,-48
2019-05-14 03:00:00,-47
2019-05-15 03:00:00,-47
2019-05-19 03:00:00,-50
2019-05-20 03:00:00,-47
2019-05-21 03:00:00,-52
2019-05-22 03:00:00,-56
2019-05-26 03:00:00,-54
2019-05-27 03:00:00,-52
2019-05-28 03:00:00,-47
2019-05-31 03:00:00,-54
2019-06-01 03:00:00,-65
2019-06-02 03:00:00,-48
2019-06-03 03:00:00,-49
2019-06-04 03:00:00,-48
2019-06-05 03:00:00,-46
2019-06-10 03:00:00,-51
2019-06-11 03:00:00,-50
2019-06-12 03:00:00,-48
2019-06-16 03:00:00,-52
2019-06-17 03:00:00,-49
2019-06-18 03:00:00,-49
2019-06-19 03:00:00,-48
2019-06-24 03:00:00,-48
2019-06-25 03:00:00,-48
2019-06-26 03:00:00,-46
2019-07-02 03:00:00,-51
2019-07-03 03:00:00,-52
2019-07-04 03:00:00,-50
2019-07-05 03:00:00,-62
2019-07-06 03:00:00,-50
2019-07-07 03:00:00,-49
2019-07-09 03:00:00,-53
2019-07-14 03:00:00,-51
2019-07-15 03:00:00,-51
2019-07-16 03:00:00,-51
2019-07-17 03:00:00,-55
2019-07-21 03:00:00,-50
2019-07-22 03:00:00,-51
2019-07-23 03:00:00,-48
2019-07-24 03:00:00,-50
2019-07-28 03:00:00,-49
2019-07-29 03:00:00,-50
2019-07-30 03:00:00,-51
2019-07-31 03:00:00,-54
2019-08-04 03:00:00,-50
2019-08-05 03:00:00,-50
2019-08-06 03:00:00,-57
2019-08-07 03:00:00,-47
2019-08-11 03:00:00,-48
2019-08-12 03:00:00,-49
2019-08-13 03:00:00,-47
2019-08-14 03:00:00,-50
2019-08-18 03:00:00,-50
2019-08-19 03:00:00,-55
2019-08-20 03:00:00,-51
2019-08-21 03:00:00,-55
2019-08-22 03:00:00,-51
2019-08-27 03:00:00,-48
2019-08-29 03:00:00,-50
2019-09-02 03:00:00,-47
2019-09-03 03:00:00,-47
2019-09-04 03:00:00,-48
2019-09-09 03:00:00,-47
2019-09-10 03:00:00,-48
2019-09-11 03:00:00,-57
2019-09-17 03:00:00,-47
2019-09-18 03:00:00,-46
2019-09-24 03:00:00,-48
2019-09-25 03:00:00,-47
2019-10-01 03:00:00,-45
2019-10-02 03:00:00,-46
2019-10-03 03:00:00,-46
2019-10-04 03:00:00,-47
2019-10-05 03:00:00,-47
2019-10-09 03:00:00,-44
2019-10-10 03:00:00,-59
2019-10-11 03:00:00,-47
2019-10-15 03:00:00,-46
2019-10-16 03:00:00,-47
2019-10-17 03:00:00,-49
2019-10-22 03:00:00,-49
2019-10-23 03:00:00,-50
2019-10-24 03:00:00,-51
2019-10-29 03:00:00,-48
2019-10-30 03:00:00,-46
2019-10-31 03:00:00,-47
2019-11-05 03:00:00,-50
2019-11-06 03:00:00,-49
2019-11-07 03:00:00,-47
2019-11-08 03:00:00,-49
2019-11-12 03:00:00,-49
2019-11-13 03:00:00,-47
2019-11-14 03:00:00,-47
2019-11-15 03:00:00,-49
2019-11-19 03:00:00,-49
2019-11-20 03:00:00,-50
2019-11-21 03:00:00,-49
2019-11-26 03:00:00,-47
2019-11-27 03:00:00,-45
2019-11-28 03:00:00,-46
2019-12-03 03:00:00,-51
2019-12-04 03:00:00,-49
2019-12-05 03:00:00,-51
2019-12-10 03:00:00,-51
2019-12-11 03:00:00,-49
2019-12-12 03:00:00,-47
2019-12-18 03:00:00,-48
2019-12-19 03:00:00,-62
2019-12-20 03:00:00,-50
2019-12-26 03:00:00,-50
2019-12-27 03:00:00,-45
2019-12-28 03:00:00,-48
2019-12-29 03:00:00,-44
2019-12-30 03:00:00,-57
2020-01-04 03:00:00,-50
2020-01-05 03:00:00,-50
2020-01-06 03:00:00,-51
2020-01-10 03:00:00,-47
2020-01-11 03:00:00,-56
2020-01-12 03:00:00,-49
2020-01-13 03:00:00,-47
2020-01-14 03:00:00,-47
2020-01-15 03:00:00,-51
2020-01-21 03:00:00,-45
2020-01-22 03:00:00,-51
2020-01-23 03:00:00,-49
2020-01-28 03:00:00,-47
2020-01-29 03:00:00,-47
2020-01-30 03:00:00,-47
2020-01-31 03:00:00,-56
2020-02-05 03:00:00,-49
2020-02-06 03:00:00,-49
2020-02-07 03:00:00,-48
2020-02-08 03:00:00,-46
2020-02-09 03:00:00,-48
2020-02-10 03:00:00,-51
2020-02-12 03:00:00,-50
2020-02-15 03:00:00,-51
2020-02-16 03:00:00,-50
2020-02-17 03:00:00,-49
2020-02-18 03:00:00,-51
2020-02-21 03:00:00,-62
2020-02-22 03:00:00,-48
2020-02-23 03:00:00,-48
2020-02-24 03:00:00,-57
2020-02-25 03:00:00,-52
2020-02-26 03:00:00,-49
2020-02-27 03:00:00,-61
2020-02-28 03:00:00,-53
2020-03-04 03:00:00,-50
2020-03-05 03:00:00,-54
2020-03-06 03:00:00,-54
2020-03-07 03:00:00,-57
2020-03-12 03:00:00,-49
2020-03-13 03:00:00,-46
2020-03-14 03:00:00,-54
2020-03-15 03:00:00,-60
2020-03-19 03:00:00,-53
2020-03-20 03:00:00,-52
2020-03-26 03:00:00,-53
2020-03-27 03:00:00,-50
2020-03-28 03:00:00,-53
2020-03-29 03:00:00,-48
2020-03-30 03:00:00,-48
2020-04-03 03:00:00,-51
2020-04-04 03:00:00,-56
