Time,"tlm_mb_adc_temp_1, where 0 is 25, 1 is °C, 2 is 26, 3 is 27, 4 is 503, 5 is 504, 6 is 506, 7 is 6.5, 8 is 505, 9 is 507, 10 is 508, 11 is 509, 12 is 10.0, 13 is 10, 14 is 11, 15 is 2.7, 16 is 511, 17 is 4.7, 18 is 3.9, 19 is 4.5, 20 is 4.9, 21 is 5.5, 22 is 6.6, 23 is 7.2, 24 is 7.6, 25 is 8.6, 26 is 2.1, 27 is 4.2, 28 is 5.0, 29 is 5.2, 30 is 5.7, 31 is 6.4, 32 is 3.7, 33 is 500, 34 is 502, 35 is 501, 36 is 1.00, 37 is 9.5, 38 is 14, 39 is 9.6, 40 is 1.5, 41 is 0.37, 42 is 1.4, 43 is 4.0, 44 is 4.4, 45 is 5.4, 46 is 5.9, 47 is 6.0, 48 is 7.1, 49 is 3.1, 50 is 5.1, 51 is 5.6, 52 is 6.2, 53 is 3.4, 54 is 12, 55 is 6.9, 56 is 2.0, 57 is 2.9, 58 is 3.6, 59 is 4.6, 60 is 6.7, 61 is 7.0, 62 is 7.4, 63 is 7.9, 64 is 8.0, 65 is 8.2, 66 is 8.5, 67 is 8.4, 68 is 9.2, 69 is 7.5, 70 is 8.7, 71 is 9.0, 72 is 9.1, 73 is 9.4, 74 is 15, 75 is 3.0, 76 is 4.1, 77 is 9.9, 78 is 510, 79 is 6.1, 80 is 3.5, 81 is 8.9, 82 is 7.7, 83 is 13, 84 is 0.75, 85 is 1.1, 86 is 2.2, 87 is 0, 88 is 0.50, 89 is 2.5, 90 is 1.9, 91 is 1.6, 92 is 9.7, 93 is 1.2, 94 is 16, 95 is 3.2, 96 is 8.1, 97 is 1.7, 98 is 0.87, 99 is 0.12, 100 is 0.62, 101 is 2.6, 102 is 2.4, 103 is 17, 104 is 20, 105 is 21, 106 is 22, 107 is 18, 108 is 19, 109 is 0.25, 110 is 23, 111 is 499, 112 is 24, 113 is 28, 114 is 29"
2023-05-25 03:00:00,0 1
2023-05-25 03:00:00,0 1
2023-05-25 03:00:00,0 1
2023-05-25 03:00:00,2 1
2023-05-25 03:00:00,2 1
2023-05-25 03:00:00,2 1
2023-05-25 03:00:00,3 1
2023-05-25 03:00:00,3 1
2023-05-25 03:00:00,3 1
2023-05-25 03:00:00,2 1
2023-05-25 03:00:00,2 1
2023-06-27 03:00:00,4 1
2023-06-27 03:00:00,5 1
2023-06-27 03:00:00,6 1
2023-06-27 03:00:00,7 1
2023-06-27 03:00:00,5 1
2023-06-27 03:00:00,8 1
2023-06-27 03:00:00,9 1
2023-06-27 03:00:00,5 1
2023-06-27 03:00:00,5 1
2023-06-27 03:00:00,5 1
2023-06-27 03:00:00,6 1
2023-06-27 03:00:00,8 1
2023-06-27 03:00:00,8 1
2023-06-27 03:00:00,8 1
2023-06-27 03:00:00,8 1
2023-06-27 03:00:00,6 1
2023-06-27 03:00:00,6 1
2023-06-27 03:00:00,6 1
2023-06-27 03:00:00,6 1
2023-06-27 03:00:00,9 1
2023-06-27 03:00:00,10 1
2023-06-27 03:00:00,11 1
2023-06-27 03:00:00,5 1
2023-06-27 03:00:00,12 1
2023-06-27 03:00:00,13 1
2023-06-27 03:00:00,14 1
2023-06-28 03:00:00,8 1
2023-06-28 03:00:00,15 1
2023-06-28 03:00:00,16 1
2023-06-28 03:00:00,5 1
2023-06-28 03:00:00,17 1
2023-06-28 03:00:00,18 1
2023-06-28 03:00:00,19 1
2023-06-28 03:00:00,20 1
2023-06-28 03:00:00,21 1
2023-06-28 03:00:00,22 1
2023-06-28 03:00:00,23 1
2023-06-28 03:00:00,24 1
2023-06-28 03:00:00,25 1
2023-06-28 03:00:00,26 1
2023-06-28 03:00:00,27 1
2023-06-28 03:00:00,28 1
2023-06-28 03:00:00,29 1
2023-06-28 03:00:00,30 1
2023-06-28 03:00:00,31 1
2023-06-28 03:00:00,32 1
2023-06-28 03:00:00,33 1
2023-06-28 03:00:00,34 1
2023-06-28 03:00:00,34 1
2023-06-28 03:00:00,35 1
2023-06-28 03:00:00,35 1
2023-06-28 03:00:00,34 1
2023-06-28 03:00:00,5 1
2023-06-28 03:00:00,8 1
2023-06-28 03:00:00,8 1
2023-06-28 03:00:00,6 1
2023-06-28 03:00:00,9 1
2023-06-28 03:00:00,10 1
2023-06-28 03:00:00,5 1
2023-06-28 03:00:00,5 1
2023-06-28 03:00:00,6 1
2023-06-28 03:00:00,9 1
2023-06-28 03:00:00,9 1
2023-06-28 03:00:00,9 1
2023-06-28 03:00:00,34 1
2023-06-28 03:00:00,8 1
2023-06-28 03:00:00,8 1
2023-06-29 03:00:00,36 1
2023-06-29 03:00:00,25 1
2023-06-29 03:00:00,37 1
2023-06-29 03:00:00,13 1
2023-06-29 03:00:00,14 1
2023-06-29 03:00:00,38 1
2023-06-29 03:00:00,39 1
2023-06-29 03:00:00,34 1
2023-06-29 03:00:00,4 1
2023-06-29 03:00:00,35 1
2023-06-29 03:00:00,35 1
2023-06-29 03:00:00,6 1
2023-06-29 03:00:00,6 1
2023-06-29 03:00:00,6 1
2023-06-29 03:00:00,35 1
2023-06-29 03:00:00,34 1
2023-06-29 03:00:00,5 1
2023-06-29 03:00:00,8 1
2023-06-29 03:00:00,8 1
2023-06-29 03:00:00,21 1
2023-06-29 03:00:00,7 1
2023-06-30 03:00:00,18 1
2023-06-30 03:00:00,27 1
2023-06-30 03:00:00,20 1
2023-06-30 03:00:00,28 1
2023-06-30 03:00:00,29 1
2023-06-30 03:00:00,21 1
2023-06-30 03:00:00,35 1
2023-06-30 03:00:00,40 1
