"Time","57175.distinct"
2023-05-25 03:00:00,26.98 °C
2023-05-25 03:00:00,26.97 °C
2023-05-25 03:00:00,26.74 °C
2023-05-25 03:00:00,26.72 °C
2023-05-25 03:00:00,26.39 °C
2023-05-25 03:00:00,25.99 °C
2023-05-25 03:00:00,25.91 °C
2023-05-25 03:00:00,25.88 °C
2023-05-25 03:00:00,25.85 °C
2023-05-25 03:00:00,25.79 °C
2023-05-25 03:00:00,25.76 °C
2023-05-25 03:00:00,25.74 °C
2023-05-25 03:00:00,25.71 °C
2023-05-25 03:00:00,25.69 °C
2023-05-25 03:00:00,25.66 °C
2023-05-25 03:00:00,25.63 °C
2023-05-25 03:00:00,25.62 °C
2023-05-25 03:00:00,25.60 °C
2023-05-25 03:00:00,25.75 °C
2023-05-25 03:00:00,25.78 °C
2023-05-25 03:00:00,25.84 °C
2023-05-25 03:00:00,26.02 °C
2023-05-25 03:00:00,26.03 °C
2023-05-25 03:00:00,26.00 °C
2023-05-25 03:00:00,25.97 °C
2023-06-22 03:00:00,527.75 °C
2023-06-22 03:00:00,527.62 °C
2023-06-22 03:00:00,527.35 °C
2023-06-22 03:00:00,37.45 °C
2023-06-22 03:00:00,527.47 °C
2023-06-22 03:00:00,527.37 °C
2023-06-22 03:00:00,527.13 °C
2023-06-22 03:00:00,527.32 °C
2023-06-22 03:00:00,527.31 °C
2023-06-22 03:00:00,527.29 °C
2023-06-22 03:00:00,527.28 °C
2023-06-22 03:00:00,527.26 °C
2023-06-22 03:00:00,527.25 °C
2023-06-22 03:00:00,527.22 °C
2023-06-22 03:00:00,527.19 °C
2023-06-22 03:00:00,527.10 °C
2023-06-22 03:00:00,527.03 °C
2023-06-22 03:00:00,527.01 °C
2023-06-22 03:00:00,526.97 °C
2023-06-22 03:00:00,526.83 °C
2023-06-22 03:00:00,526.82 °C
2023-06-22 03:00:00,526.63 °C
2023-06-22 03:00:00,527.18 °C
2023-06-22 03:00:00,527.09 °C
2023-06-22 03:00:00,527.16 °C
2023-06-22 03:00:00,36.37 °C
2023-06-22 03:00:00,36.13 °C
2023-06-22 03:00:00,35.68 °C
2023-06-22 03:00:00,34.21 °C
2023-06-22 03:00:00,35.63 °C
2023-06-22 03:00:00,38.24 °C
2023-06-22 03:00:00,38.54 °C
2023-06-22 03:00:00,38.33 °C
2023-06-22 03:00:00,38.15 °C
2023-06-22 03:00:00,37.99 °C
2023-06-22 03:00:00,37.62 °C
2023-06-22 03:00:00,37.39 °C
2023-06-22 03:00:00,37.20 °C
2023-06-22 03:00:00,36.77 °C
2023-06-22 03:00:00,38.88 °C
2023-06-22 03:00:00,38.08 °C
2023-06-22 03:00:00,37.91 °C
2023-06-22 03:00:00,37.75 °C
2023-06-22 03:00:00,37.56 °C
2023-06-22 03:00:00,38.45 °C
2023-06-22 03:00:00,527.43 °C
2023-06-22 03:00:00,527.56 °C
2023-06-22 03:00:00,527.67 °C
2023-06-22 03:00:00,527.69 °C
2023-06-22 03:00:00,527.04 °C
2023-06-22 03:00:00,527.23 °C
2023-06-22 03:00:00,527.68 °C
2023-06-22 03:00:00,527.07 °C
2023-06-22 03:00:00,526.71 °C
2023-06-22 03:00:00,526.89 °C
2023-06-29 03:00:00,35.02 °C
2023-06-29 03:00:00,36.80 °C
2023-06-29 03:00:00,36.53 °C
2023-06-29 03:00:00,36.29 °C
2023-06-29 03:00:00,36.03 °C
2023-06-29 03:00:00,33.53 °C
2023-06-29 03:00:00,36.66 °C
2023-06-29 03:00:00,526.71 °C
2023-06-29 03:00:00,39.99 °C
2023-06-29 03:00:00,527.04 °C
2023-06-29 03:00:00,527.23 °C
2023-06-29 03:00:00,527.35 °C
2023-06-29 03:00:00,527.28 °C
2023-06-29 03:00:00,527.07 °C
2023-06-29 03:00:00,527.89 °C
2023-06-29 03:00:00,527.84 °C
2023-06-29 03:00:00,527.75 °C
2023-06-29 03:00:00,527.69 °C
2023-06-29 03:00:00,528.05 °C
2023-06-29 03:00:00,37.72 °C
2023-06-29 03:00:00,37.57 °C
2023-06-29 03:00:00,38.57 °C
2023-06-29 03:00:00,38.36 °C
2023-06-29 03:00:00,38.03 °C
2023-06-29 03:00:00,37.87 °C
2023-06-29 03:00:00,37.69 °C
2023-06-29 03:00:00,37.48 °C
2023-06-29 03:00:00,527.98 °C
2023-06-29 03:00:00,38.88 °C
