Time,57175.distinct (°C)
2023-05-25 03:00:00,26.72
2023-05-25 03:00:00,26.66
2023-05-25 03:00:00,27.15
2023-05-25 03:00:00,27.13
2023-05-25 03:00:00,26.82
2023-05-25 03:00:00,26.45
2023-05-25 03:00:00,26.37
2023-05-25 03:00:00,26.34
2023-05-25 03:00:00,26.31
2023-05-25 03:00:00,26.27
2023-05-25 03:00:00,26.23
2023-05-25 03:00:00,26.18
2023-05-25 03:00:00,26.09
2023-05-25 03:00:00,26.06
2023-05-25 03:00:00,26.05
2023-05-25 03:00:00,26.03
2023-05-25 03:00:00,26.0
2023-05-25 03:00:00,25.99
2023-05-25 03:00:00,26.02
2023-05-25 03:00:00,26.11
2023-05-25 03:00:00,26.15
2023-05-25 03:00:00,26.17
2023-05-25 03:00:00,26.2
2023-06-22 03:00:00,527.71
2023-06-22 03:00:00,527.64
2023-06-22 03:00:00,527.53
2023-06-22 03:00:00,38.42
2023-06-22 03:00:00,527.43
2023-06-22 03:00:00,527.38
2023-06-22 03:00:00,527.26
2023-06-22 03:00:00,527.07
2023-06-22 03:00:00,527.06
2023-06-22 03:00:00,527.04
2023-06-22 03:00:00,527.03
2023-06-22 03:00:00,526.95
2023-06-22 03:00:00,526.94
2023-06-22 03:00:00,526.91
2023-06-22 03:00:00,526.89
2023-06-22 03:00:00,526.88
2023-06-22 03:00:00,526.8
2023-06-22 03:00:00,526.68
2023-06-22 03:00:00,527.01
2023-06-22 03:00:00,37.63
2023-06-22 03:00:00,37.44
2023-06-22 03:00:00,37.11
2023-06-22 03:00:00,526.98
2023-06-22 03:00:00,35.31
2023-06-22 03:00:00,36.32
2023-06-22 03:00:00,38.89
2023-06-22 03:00:00,39.07
2023-06-22 03:00:00,38.95
2023-06-22 03:00:00,38.85
2023-06-22 03:00:00,38.74
2023-06-22 03:00:00,38.52
2023-06-22 03:00:00,38.36
2023-06-22 03:00:00,38.24
2023-06-22 03:00:00,37.97
2023-06-22 03:00:00,39.26
2023-06-22 03:00:00,38.64
2023-06-22 03:00:00,527.1
2023-06-22 03:00:00,527.2
2023-06-22 03:00:00,527.29
2023-06-22 03:00:00,527.35
2023-06-22 03:00:00,526.79
2023-06-22 03:00:00,527.32
2023-06-22 03:00:00,526.82
2023-06-22 03:00:00,526.74
2023-06-22 03:00:00,526.86
2023-06-22 03:00:00,526.76
2023-06-22 03:00:00,527.0
2023-06-29 03:00:00,35.6
2023-06-29 03:00:00,38.06
2023-06-29 03:00:00,37.93
2023-06-29 03:00:00,37.76
2023-06-29 03:00:00,37.6
2023-06-29 03:00:00,35.57
2023-06-29 03:00:00,37.88
2023-06-29 03:00:00,39.41
2023-06-29 03:00:00,39.75
2023-06-29 03:00:00,526.79
2023-06-29 03:00:00,526.94
2023-06-29 03:00:00,527.01
2023-06-29 03:00:00,526.95
2023-06-29 03:00:00,526.82
2023-06-29 03:00:00,527.4
2023-06-29 03:00:00,527.43
2023-06-29 03:00:00,527.38
2023-06-29 03:00:00,527.32
2023-06-29 03:00:00,527.65
2023-06-29 03:00:00,38.43
2023-06-29 03:00:00,38.3
2023-06-29 03:00:00,39.03
2023-06-29 03:00:00,38.91
2023-06-29 03:00:00,38.68
2023-06-29 03:00:00,38.55
2023-06-29 03:00:00,38.4
2023-06-29 03:00:00,38.27
2023-06-29 03:00:00,527.44
2023-06-29 03:00:00,39.19
2023-06-29 03:00:00,39.34
2023-06-29 03:00:00,39.23
2023-06-29 03:00:00,38.92
2023-06-29 03:00:00,38.89
2023-06-29 03:00:00,38.88
2023-06-29 03:00:00,38.86
2023-06-29 03:00:00,38.83
2023-06-29 03:00:00,38.76
2023-06-29 03:00:00,38.74
2023-06-29 03:00:00,38.73
2023-06-29 03:00:00,38.71
2023-06-29 03:00:00,38.67
2023-06-29 03:00:00,39.13
2023-06-29 03:00:00,38.95
2023-06-29 03:00:00,38.85
2023-06-29 03:00:00,38.77
2023-06-29 03:00:00,38.7
2023-06-29 03:00:00,38.52
2023-06-29 03:00:00,527.25
2023-06-29 03:00:00,527.2
2023-06-29 03:00:00,527.09
2023-06-29 03:00:00,527.07
2023-06-29 03:00:00,527.04
2023-06-29 03:00:00,527.0
2023-06-29 03:00:00,526.97
2023-06-29 03:00:00,35.33
2023-06-29 03:00:00,527.12
2023-06-29 03:00:00,39.22
2023-06-29 03:00:00,39.14
2023-06-29 03:00:00,39.06
2023-06-29 03:00:00,38.94
2023-06-29 03:00:00,38.65
2023-06-29 03:00:00,38.64
2023-06-29 03:00:00,38.62
2023-06-29 03:00:00,38.6
2023-06-29 03:00:00,38.57
2023-06-29 03:00:00,38.58
2023-06-29 03:00:00,38.51
2023-06-29 03:00:00,38.42
2023-06-29 03:00:00,38.37
2023-06-29 03:00:00,38.36
2023-06-29 03:00:00,38.34
