Time,tlm_mb_battpack_0_element_0_current mA (A)
2023-05-25 03:00:00,52.3
2023-05-25 03:00:00,52.4
2023-05-25 03:00:00,52.4
2023-05-25 03:00:00,262.0
2023-05-25 03:00:00,257.0
2023-05-25 03:00:00,261.0
2023-05-25 03:00:00,259.0
2023-05-25 03:00:00,256.0
2023-05-25 03:00:00,262.0
2023-05-25 03:00:00,258.0
2023-05-25 03:00:00,248.0
2023-05-25 03:00:00,251.0
2023-05-25 03:00:00,254.0
2023-05-25 03:00:00,252.0
2023-05-25 03:00:00,52.4
2023-05-25 03:00:00,52.4
2023-05-25 03:00:00,52.4
2023-05-25 03:00:00,52.4
2023-05-25 03:00:00,52.4
2023-05-25 03:00:00,52.4
2023-05-25 03:00:00,52.4
2023-05-25 03:00:00,227.0
2023-06-27 03:00:00,12.0
2023-06-27 03:00:00,8.8
2023-06-27 03:00:00,122.0
2023-06-27 03:00:00,38.0
2023-06-27 03:00:00,4.0
2023-06-27 03:00:00,0.8
2023-06-27 03:00:00,28.0
2023-06-27 03:00:00,52.4
2023-06-27 03:00:00,52.4
2023-06-27 03:00:00,46.0
2023-06-27 03:00:00,49.0
2023-06-28 03:00:00,12.0
2023-06-28 03:00:00,52.4
2023-06-28 03:00:00,52.4
2023-06-28 03:00:00,4.0
2023-06-28 03:00:00,62.0
2023-06-28 03:00:00,70.0
2023-06-28 03:00:00,78.0
2023-06-28 03:00:00,66.0
2023-06-28 03:00:00,63.0
2023-06-28 03:00:00,59.0
2023-06-28 03:00:00,58.0
2023-06-28 03:00:00,55.0
2023-06-28 03:00:00,53.0
2023-06-28 03:00:00,99.0
2023-06-28 03:00:00,70.0
2023-06-28 03:00:00,65.0
2023-06-28 03:00:00,60.0
2023-06-28 03:00:00,52.4
2023-06-28 03:00:00,52.3
2023-06-28 03:00:00,52.3
2023-06-28 03:00:00,0.8
2023-06-28 03:00:00,22.0
2023-06-28 03:00:00,20.0
2023-06-28 03:00:00,35.0
2023-06-28 03:00:00,52.4
2023-06-28 03:00:00,129.0
2023-06-28 03:00:00,52.4
2023-06-29 03:00:00,52.4
2023-06-29 03:00:00,47.0
2023-06-29 03:00:00,48.0
2023-06-29 03:00:00,46.0
2023-06-29 03:00:00,45.0
2023-06-29 03:00:00,37.0
2023-06-29 03:00:00,38.0
2023-06-29 03:00:00,146.0
2023-06-29 03:00:00,52.4
2023-06-29 03:00:00,52.3
2023-06-29 03:00:00,52.3
2023-06-29 03:00:00,12.0
2023-06-29 03:00:00,4.0
2023-06-29 03:00:00,52.4
2023-06-29 03:00:00,92.0
2023-06-29 03:00:00,73.0
2023-06-30 03:00:00,93.0
2023-06-30 03:00:00,110.0
2023-06-30 03:00:00,98.0
2023-06-30 03:00:00,97.0
2023-06-30 03:00:00,78.0
2023-06-30 03:00:00,90.0
2023-06-30 03:00:00,12.0
2023-06-30 03:00:00,125.0
2023-06-30 03:00:00,95.0
2023-06-30 03:00:00,83.0
2023-06-30 03:00:00,81.0
2023-06-30 03:00:00,82.0
2023-06-30 03:00:00,80.0
2023-06-30 03:00:00,85.0
2023-06-30 03:00:00,92.0
2023-06-30 03:00:00,86.0
2023-06-30 03:00:00,77.0
2023-06-30 03:00:00,76.0
2023-06-30 03:00:00,75.0
2023-06-30 03:00:00,71.0
2023-06-30 03:00:00,91.0
2023-06-30 03:00:00,90.0
2023-06-30 03:00:00,52.2
2023-06-30 03:00:00,74.0
2023-06-30 03:00:00,73.0
2023-06-30 03:00:00,106.0
2023-06-30 03:00:00,10.0
2023-06-30 03:00:00,52.4
2023-06-30 03:00:00,4.0
