"Time","57175.distinct"
2023-05-18 03:00:00,3.93 V
2023-05-18 03:00:00,3.92 V
2023-05-18 03:00:00,3.94 V
2023-05-18 03:00:00,3.94 V
2023-05-18 03:00:00,3.85 V
2023-05-18 03:00:00,3.94 V
2023-05-18 03:00:00,3.85 V
2023-05-18 03:00:00,3.94 V
2023-05-18 03:00:00,3.86 V
2023-05-18 03:00:00,3.94 V
2023-05-18 03:00:00,3.86 V
2023-05-18 03:00:00,3.77 V
2023-05-18 03:00:00,3.77 V
2023-05-18 03:00:00,3.95 V
2023-05-18 03:00:00,4.46 V
2023-05-18 03:00:00,4.36 V
2023-05-18 03:00:00,4.36 V
2023-05-18 03:00:00,4.48 V
2023-05-18 03:00:00,4.46 V
2023-05-18 03:00:00,4.47 V
2023-05-18 03:00:00,4.36 V
2023-05-18 03:00:00,4.48 V
2023-05-18 03:00:00,4.46 V
2023-05-18 03:00:00,4.49 V
2023-05-18 03:00:00,4.36 V
2023-05-18 03:00:00,4.37 V
2023-05-18 03:00:00,4.47 V
2023-05-18 03:00:00,4.49 V
2023-05-18 03:00:00,4.47 V
2023-05-18 03:00:00,4.37 V
2023-05-18 03:00:00,4.47 V
2023-05-18 03:00:00,4.49 V
2023-05-18 03:00:00,4.49 V
2023-05-25 03:00:00,3.83 V
2023-05-25 03:00:00,3.83 V
2023-05-25 03:00:00,3.83 V
2023-05-25 03:00:00,3.83 V
2023-05-25 03:00:00,3.84 V
2023-05-25 03:00:00,3.84 V
2023-05-25 03:00:00,3.78 V
2023-05-25 03:00:00,3.77 V
2023-05-25 03:00:00,3.78 V
2023-05-25 03:00:00,3.77 V
2023-05-25 03:00:00,4.44 V
2023-05-25 03:00:00,4.45 V
2023-05-25 03:00:00,4.43 V
2023-05-25 03:00:00,4.43 V
2023-05-25 03:00:00,4.41 V
2023-05-25 03:00:00,4.41 V
2023-05-25 03:00:00,4.40 V
2023-05-25 03:00:00,4.39 V
2023-05-25 03:00:00,4.40 V
2023-05-25 03:00:00,4.40 V
2023-05-25 03:00:00,4.39 V
2023-05-25 03:00:00,4.41 V
2023-05-25 03:00:00,4.40 V
2023-05-25 03:00:00,4.41 V
2023-05-25 03:00:00,4.40 V
2023-05-25 03:00:00,4.39 V
2023-05-25 03:00:00,4.39 V
2023-05-25 03:00:00,4.39 V
2023-05-25 03:00:00,3.89 V
2023-05-25 03:00:00,3.89 V
2023-05-25 03:00:00,3.88 V
2023-05-25 03:00:00,3.88 V
2023-05-25 03:00:00,3.88 V
2023-05-25 03:00:00,3.88 V
2023-05-25 03:00:00,3.88 V
2023-05-25 03:00:00,3.87 V
2023-05-25 03:00:00,3.88 V
2023-05-25 03:00:00,3.87 V
2023-05-25 03:00:00,3.87 V
2023-05-25 03:00:00,3.87 V
2023-05-25 03:00:00,3.87 V
2023-05-25 03:00:00,4.38 V
2023-06-22 03:00:00,4.88 V
2023-06-22 03:00:00,5.02 V
2023-06-22 03:00:00,4.92 V
2023-06-22 03:00:00,4.88 V
2023-06-22 03:00:00,5.04 V
2023-06-22 03:00:00,4.79 V
2023-06-22 03:00:00,4.86 V
2023-06-22 03:00:00,4.96 V
2023-06-22 03:00:00,4.81 V
2023-06-22 03:00:00,4.79 V
2023-06-22 03:00:00,4.85 V
2023-06-22 03:00:00,4.32 V
2023-06-22 03:00:00,4.97 V
2023-06-22 03:00:00,4.95 V
2023-06-22 03:00:00,4.85 V
2023-06-22 03:00:00,4.78 V
2023-06-22 03:00:00,4.81 V
2023-06-22 03:00:00,4.87 V
2023-06-22 03:00:00,4.83 V
2023-06-22 03:00:00,4.89 V
2023-06-22 03:00:00,4.97 V
2023-06-22 03:00:00,5.08 V
2023-06-22 03:00:00,4.91 V
2023-06-22 03:00:00,4.21 V
2023-06-22 03:00:00,5.07 V
2023-06-22 03:00:00,4.86 V
2023-06-22 03:00:00,5.02 V
