Time,57175.distinct V
2023-05-18 03:00:00,3.93
2023-05-18 03:00:00,3.92
2023-05-18 03:00:00,3.94
2023-05-18 03:00:00,3.94
2023-05-18 03:00:00,3.85
2023-05-18 03:00:00,3.94
2023-05-18 03:00:00,3.85
2023-05-18 03:00:00,3.94
2023-05-18 03:00:00,3.86
2023-05-18 03:00:00,3.94
2023-05-18 03:00:00,3.86
2023-05-18 03:00:00,3.77
2023-05-18 03:00:00,3.77
2023-05-18 03:00:00,3.95
2023-05-18 03:00:00,4.46
2023-05-18 03:00:00,4.36
2023-05-18 03:00:00,4.36
2023-05-18 03:00:00,4.48
2023-05-18 03:00:00,4.46
2023-05-18 03:00:00,4.47
2023-05-18 03:00:00,4.36
2023-05-18 03:00:00,4.48
2023-05-18 03:00:00,4.46
2023-05-18 03:00:00,4.49
2023-05-18 03:00:00,4.36
2023-05-18 03:00:00,4.37
2023-05-18 03:00:00,4.47
2023-05-18 03:00:00,4.49
2023-05-18 03:00:00,4.47
2023-05-18 03:00:00,4.37
2023-05-18 03:00:00,4.47
2023-05-18 03:00:00,4.49
2023-05-18 03:00:00,4.49
2023-05-25 03:00:00,3.83
2023-05-25 03:00:00,3.83
2023-05-25 03:00:00,3.83
2023-05-25 03:00:00,3.83
2023-05-25 03:00:00,3.84
2023-05-25 03:00:00,3.84
2023-05-25 03:00:00,3.78
2023-05-25 03:00:00,3.77
2023-05-25 03:00:00,3.78
2023-05-25 03:00:00,3.77
2023-05-25 03:00:00,4.44
2023-05-25 03:00:00,4.45
2023-05-25 03:00:00,4.43
2023-05-25 03:00:00,4.43
2023-05-25 03:00:00,4.41
2023-05-25 03:00:00,4.41
2023-05-25 03:00:00,4.4
2023-05-25 03:00:00,4.39
2023-05-25 03:00:00,4.4
2023-05-25 03:00:00,4.4
2023-05-25 03:00:00,4.39
2023-05-25 03:00:00,4.41
2023-05-25 03:00:00,4.4
2023-05-25 03:00:00,4.41
2023-05-25 03:00:00,4.4
2023-05-25 03:00:00,4.39
2023-05-25 03:00:00,4.39
2023-05-25 03:00:00,4.39
2023-05-25 03:00:00,3.89
2023-05-25 03:00:00,3.89
2023-05-25 03:00:00,3.88
2023-05-25 03:00:00,3.88
2023-05-25 03:00:00,3.88
2023-05-25 03:00:00,3.88
2023-05-25 03:00:00,3.88
2023-05-25 03:00:00,3.87
2023-05-25 03:00:00,3.88
2023-05-25 03:00:00,3.87
2023-05-25 03:00:00,3.87
2023-05-25 03:00:00,3.87
2023-05-25 03:00:00,3.87
2023-05-25 03:00:00,4.38
2023-06-22 03:00:00,4.88
2023-06-22 03:00:00,5.02
2023-06-22 03:00:00,4.92
