"Time","tlm_mb_solarpanel_1_current()"
2023-05-25 03:00:00,2.4 
2023-05-25 03:00:00,1.2 
2023-05-25 03:00:00,2.7 
2023-06-27 03:00:00,530 
2023-06-27 03:00:00,197 
2023-06-27 03:00:00,500 
2023-06-27 03:00:00,273 
2023-06-27 03:00:00,125 
2023-06-27 03:00:00,647 
2023-06-27 03:00:00,555 
2023-06-27 03:00:00,96 
2023-06-27 03:00:00,224 
2023-06-27 03:00:00,221 
2023-06-27 03:00:00,539 
2023-06-27 03:00:00,733 
2023-06-27 03:00:00,587 
2023-06-27 03:00:00,262 
2023-06-27 03:00:00,43 
2023-06-27 03:00:00,264 
2023-06-27 03:00:00,19 
2023-06-27 03:00:00,53 
2023-06-27 03:00:00,80 
2023-06-27 03:00:00,108 
2023-06-27 03:00:00,530 
2023-06-27 03:00:00,121 
2023-06-27 03:00:00,576 
2023-06-27 03:00:00,454 
2023-06-27 03:00:00,207 
2023-06-27 03:00:00,138 
2023-06-27 03:00:00,129 
2023-06-27 03:00:00,12 
2023-06-27 03:00:00,453 
2023-06-27 03:00:00,451 
2023-06-27 03:00:00,527 
2023-06-27 03:00:00,314 
2023-06-27 03:00:00,243 
2023-06-27 03:00:00,154 
2023-06-27 03:00:00,189 
2023-06-27 03:00:00,220 
2023-06-27 03:00:00,145 
2023-06-27 03:00:00,618 
2023-06-27 03:00:00,643 
2023-06-27 03:00:00,238 
2023-06-27 03:00:00,253 
2023-06-27 03:00:00,9.3 
2023-06-27 03:00:00,8.5 
2023-06-28 03:00:00,538 
2023-06-28 03:00:00,2.9 
2023-06-28 03:00:00,3.2 
2023-06-28 03:00:00,260 
2023-06-28 03:00:00,40 
2023-06-28 03:00:00,30 
2023-06-28 03:00:00,74 
2023-06-28 03:00:00,434 
2023-06-28 03:00:00,5.9 
2023-06-28 03:00:00,285 
2023-06-28 03:00:00,270 
2023-06-28 03:00:00,110 
2023-06-28 03:00:00,250 
2023-06-28 03:00:00,415 
2023-06-28 03:00:00,15 
2023-06-28 03:00:00,277 
2023-06-28 03:00:00,11 
2023-06-28 03:00:00,272 
2023-06-28 03:00:00,9.0 
2023-06-28 03:00:00,563 
2023-06-28 03:00:00,268 
2023-06-28 03:00:00,583 
2023-06-28 03:00:00,20 
2023-06-28 03:00:00,3.4 
2023-06-28 03:00:00,5.4 
2023-06-28 03:00:00,480 
2023-06-28 03:00:00,215 
2023-06-28 03:00:00,158 
2023-06-28 03:00:00,598 
2023-06-28 03:00:00,144 
2023-06-28 03:00:00,602 
2023-06-28 03:00:00,365 
2023-06-28 03:00:00,448 
2023-06-28 03:00:00,69 
2023-06-28 03:00:00,8.5 
2023-06-28 03:00:00,477 
2023-06-28 03:00:00,720 
2023-06-28 03:00:00,154 
2023-06-28 03:00:00,609 
2023-06-28 03:00:00,792 
2023-06-28 03:00:00,743 
2023-06-28 03:00:00,92 
2023-06-28 03:00:00,549 
2023-06-28 03:00:00,489 
2023-06-29 03:00:00,2.9 
2023-06-29 03:00:00,5.6 
2023-06-29 03:00:00,303 
2023-06-29 03:00:00,11 
2023-06-29 03:00:00,11 
2023-06-29 03:00:00,31 
2023-06-29 03:00:00,620 
2023-06-29 03:00:00,3.4 
2023-06-29 03:00:00,5.4 
2023-06-29 03:00:00,557 
2023-06-29 03:00:00,653 
2023-06-29 03:00:00,652 
2023-06-29 03:00:00,460 
2023-06-29 03:00:00,656 
2023-06-29 03:00:00,215 
2023-06-29 03:00:00,538 
2023-06-29 03:00:00,126 
2023-06-29 03:00:00,482 
2023-06-29 03:00:00,333 
2023-06-29 03:00:00,177 
2023-06-29 03:00:00,190 
2023-06-30 03:00:00,32 
2023-06-30 03:00:00,200 
2023-06-30 03:00:00,360 
2023-06-30 03:00:00,190 
2023-06-30 03:00:00,212 
2023-06-30 03:00:00,207 
2023-06-30 03:00:00,185 
2023-06-30 03:00:00,271 
2023-06-30 03:00:00,484 
2023-06-30 03:00:00,311 
2023-06-30 03:00:00,6.6 
2023-06-30 03:00:00,40 
2023-06-30 03:00:00,423 
2023-06-30 03:00:00,14 
2023-06-30 03:00:00,63 
2023-06-30 03:00:00,55 
2023-06-30 03:00:00,40 
2023-06-30 03:00:00,150 
2023-06-30 03:00:00,107 
2023-06-30 03:00:00,5.9 
2023-06-30 03:00:00,12 
2023-06-30 03:00:00,311 
2023-06-30 03:00:00,337 
2023-06-30 03:00:00,10 
2023-06-30 03:00:00,11 
2023-06-30 03:00:00,292 
2023-06-30 03:00:00,251 
2023-06-30 03:00:00,204 
2023-06-30 03:00:00,450 
2023-06-30 03:00:00,136 
2023-06-30 03:00:00,260 
2023-06-30 03:00:00,351 
2023-06-30 03:00:00,9.3 
2023-06-30 03:00:00,281 
2023-06-30 03:00:00,6.3 
2023-06-30 03:00:00,172 
2023-06-30 03:00:00,226 
2023-06-30 03:00:00,765 
2023-06-30 03:00:00,744 
2023-06-30 03:00:00,839 
2023-06-30 03:00:00,577 
2023-06-30 03:00:00,670 
2023-06-30 03:00:00,500 
2023-06-30 03:00:00,255 
2023-06-30 03:00:00,568 
2023-06-30 03:00:00,609 
2023-06-30 03:00:00,700 
2023-06-30 03:00:00,97 
2023-07-01 03:00:00,161 
2023-07-01 03:00:00,589 
2023-07-01 03:00:00,6.1 
2023-07-01 03:00:00,9.3 
2023-07-01 03:00:00,349 
2023-07-01 03:00:00,9.0 
2023-07-01 03:00:00,221 
2023-07-01 03:00:00,16 
2023-07-01 03:00:00,6.3 
2023-07-01 03:00:00,5.9 
2023-07-01 03:00:00,7.1 
2023-07-01 03:00:00,21 
2023-07-01 03:00:00,32 
2023-07-01 03:00:00,14 
2023-07-01 03:00:00,25 
2023-07-01 03:00:00,23 
2023-07-01 03:00:00,152 
2023-07-01 03:00:00,19 
2023-07-01 03:00:00,171 
2023-07-01 03:00:00,31 
2023-07-01 03:00:00,66 
2023-07-01 03:00:00,14 
2023-07-01 03:00:00,466 
2023-07-01 03:00:00,55 
2023-07-01 03:00:00,42 
2023-07-01 03:00:00,31 
2023-07-01 03:00:00,30 
2023-07-01 03:00:00,19 
2023-07-01 03:00:00,26 
2023-07-01 03:00:00,24 
2023-07-01 03:00:00,22 
2023-07-01 03:00:00,176 
2023-07-01 03:00:00,38 
2023-07-01 03:00:00,377 
2023-07-01 03:00:00,54 
2023-07-01 03:00:00,34 
2023-07-01 03:00:00,17 
2023-07-01 03:00:00,37 
2023-07-01 03:00:00,38 
2023-07-01 03:00:00,41 
2023-07-01 03:00:00,20 
2023-07-01 03:00:00,31 
2023-07-01 03:00:00,51 
2023-07-01 03:00:00,35 
2023-07-01 03:00:00,34 
2023-07-01 03:00:00,34 
2023-07-01 03:00:00,23 
2023-07-01 03:00:00,24 
2023-07-01 03:00:00,195 
2023-07-01 03:00:00,27 
2023-07-01 03:00:00,28 
2023-07-01 03:00:00,546 
2023-07-01 03:00:00,111 
2023-07-01 03:00:00,223 
2023-07-01 03:00:00,33 
2023-07-01 03:00:00,28 
2023-07-01 03:00:00,40 
2023-07-01 03:00:00,33 
2023-07-01 03:00:00,9.5 
2023-07-01 03:00:00,211 
2023-07-01 03:00:00,13 
2023-07-01 03:00:00,607 
2023-07-01 03:00:00,367 
2023-07-01 03:00:00,706 
2023-07-01 03:00:00,22 
2023-07-01 03:00:00,381 
2023-07-01 03:00:00,589 
2023-07-01 03:00:00,205 
2023-07-01 03:00:00,302 
2023-07-01 03:00:00,280 
2023-07-01 03:00:00,454 
2023-07-01 03:00:00,122 
2023-07-02 03:00:00,28 
2023-07-02 03:00:00,817 
