Time,"tlm_mb_solarpanel_1_current(mA), mA"
2023-05-25 03:00:00,2.4
2023-05-25 03:00:00,1.2
2023-05-25 03:00:00,2.7
2023-06-27 03:00:00,530.0
2023-06-27 03:00:00,197.0
2023-06-27 03:00:00,500.0
2023-06-27 03:00:00,273.0
2023-06-27 03:00:00,125.0
2023-06-27 03:00:00,647.0
2023-06-27 03:00:00,555.0
2023-06-27 03:00:00,96.0
2023-06-27 03:00:00,224.0
2023-06-27 03:00:00,221.0
2023-06-27 03:00:00,539.0
2023-06-27 03:00:00,733.0
2023-06-27 03:00:00,587.0
2023-06-27 03:00:00,262.0
2023-06-27 03:00:00,43.0
2023-06-27 03:00:00,264.0
2023-06-27 03:00:00,19.0
2023-06-27 03:00:00,53.0
2023-06-27 03:00:00,80.0
2023-06-27 03:00:00,108.0
2023-06-27 03:00:00,530.0
2023-06-27 03:00:00,121.0
2023-06-27 03:00:00,576.0
2023-06-27 03:00:00,454.0
2023-06-27 03:00:00,207.0
2023-06-27 03:00:00,138.0
2023-06-27 03:00:00,129.0
2023-06-27 03:00:00,12.0
2023-06-27 03:00:00,453.0
2023-06-27 03:00:00,451.0
2023-06-27 03:00:00,527.0
2023-06-27 03:00:00,314.0
2023-06-27 03:00:00,243.0
2023-06-27 03:00:00,154.0
2023-06-27 03:00:00,189.0
2023-06-27 03:00:00,220.0
2023-06-27 03:00:00,145.0
2023-06-27 03:00:00,618.0
2023-06-27 03:00:00,643.0
2023-06-27 03:00:00,238.0
2023-06-27 03:00:00,253.0
2023-06-27 03:00:00,9.3
2023-06-27 03:00:00,8.5
2023-06-28 03:00:00,538.0
2023-06-28 03:00:00,2.9
2023-06-28 03:00:00,3.2
2023-06-28 03:00:00,260.0
2023-06-28 03:00:00,40.0
2023-06-28 03:00:00,30.0
2023-06-28 03:00:00,74.0
2023-06-28 03:00:00,434.0
2023-06-28 03:00:00,5.9
2023-06-28 03:00:00,285.0
2023-06-28 03:00:00,270.0
2023-06-28 03:00:00,110.0
2023-06-28 03:00:00,250.0
2023-06-28 03:00:00,415.0
2023-06-28 03:00:00,15.0
2023-06-28 03:00:00,277.0
2023-06-28 03:00:00,11.0
2023-06-28 03:00:00,272.0
2023-06-28 03:00:00,9.0
2023-06-28 03:00:00,563.0
2023-06-28 03:00:00,268.0
2023-06-28 03:00:00,583.0
2023-06-28 03:00:00,20.0
2023-06-28 03:00:00,3.4
2023-06-28 03:00:00,5.4
2023-06-28 03:00:00,480.0
2023-06-28 03:00:00,215.0
2023-06-28 03:00:00,158.0
2023-06-28 03:00:00,598.0
2023-06-28 03:00:00,144.0
2023-06-28 03:00:00,602.0
2023-06-28 03:00:00,365.0
2023-06-28 03:00:00,448.0
2023-06-28 03:00:00,69.0
2023-06-28 03:00:00,8.5
2023-06-28 03:00:00,477.0
2023-06-28 03:00:00,720.0
2023-06-28 03:00:00,154.0
2023-06-28 03:00:00,609.0
2023-06-28 03:00:00,792.0
2023-06-28 03:00:00,743.0
2023-06-28 03:00:00,92.0
2023-06-28 03:00:00,549.0
2023-06-28 03:00:00,489.0
2023-06-29 03:00:00,2.9
2023-06-29 03:00:00,5.6
2023-06-29 03:00:00,303.0
2023-06-29 03:00:00,11.0
2023-06-29 03:00:00,11.0
2023-06-29 03:00:00,31.0
2023-06-29 03:00:00,620.0
2023-06-29 03:00:00,3.4
2023-06-29 03:00:00,5.4
2023-06-29 03:00:00,557.0
2023-06-29 03:00:00,653.0
2023-06-29 03:00:00,652.0
2023-06-29 03:00:00,460.0
2023-06-29 03:00:00,656.0
2023-06-29 03:00:00,215.0
2023-06-29 03:00:00,538.0
2023-06-29 03:00:00,126.0
2023-06-29 03:00:00,482.0
2023-06-29 03:00:00,333.0
2023-06-29 03:00:00,177.0
2023-06-29 03:00:00,190.0
2023-06-30 03:00:00,32.0
2023-06-30 03:00:00,200.0
2023-06-30 03:00:00,360.0
2023-06-30 03:00:00,190.0
2023-06-30 03:00:00,212.0
2023-06-30 03:00:00,207.0
2023-06-30 03:00:00,185.0
2023-06-30 03:00:00,271.0
2023-06-30 03:00:00,484.0
2023-06-30 03:00:00,311.0
2023-06-30 03:00:00,6.6
2023-06-30 03:00:00,40.0
2023-06-30 03:00:00,423.0
2023-06-30 03:00:00,14.0
2023-06-30 03:00:00,63.0
2023-06-30 03:00:00,55.0
2023-06-30 03:00:00,40.0
2023-06-30 03:00:00,150.0
2023-06-30 03:00:00,107.0
2023-06-30 03:00:00,5.9
2023-06-30 03:00:00,12.0
2023-06-30 03:00:00,311.0
2023-06-30 03:00:00,337.0
2023-06-30 03:00:00,10.0
2023-06-30 03:00:00,11.0
2023-06-30 03:00:00,292.0
2023-06-30 03:00:00,251.0
2023-06-30 03:00:00,204.0
2023-06-30 03:00:00,450.0
2023-06-30 03:00:00,136.0
2023-06-30 03:00:00,260.0
2023-06-30 03:00:00,351.0
2023-06-30 03:00:00,9.3
2023-06-30 03:00:00,281.0
2023-06-30 03:00:00,6.3
2023-06-30 03:00:00,172.0
2023-06-30 03:00:00,226.0
2023-06-30 03:00:00,765.0
2023-06-30 03:00:00,744.0
2023-06-30 03:00:00,839.0
2023-06-30 03:00:00,577.0
2023-06-30 03:00:00,670.0
2023-06-30 03:00:00,500.0
2023-06-30 03:00:00,255.0
2023-06-30 03:00:00,568.0
2023-06-30 03:00:00,609.0
2023-06-30 03:00:00,700.0
2023-06-30 03:00:00,97.0
2023-07-01 03:00:00,161.0
2023-07-01 03:00:00,589.0
2023-07-01 03:00:00,6.1
2023-07-01 03:00:00,9.3
2023-07-01 03:00:00,349.0
2023-07-01 03:00:00,9.0
2023-07-01 03:00:00,221.0
2023-07-01 03:00:00,16.0
2023-07-01 03:00:00,6.3
2023-07-01 03:00:00,5.9
2023-07-01 03:00:00,7.1
2023-07-01 03:00:00,21.0
2023-07-01 03:00:00,32.0
2023-07-01 03:00:00,14.0
2023-07-01 03:00:00,25.0
2023-07-01 03:00:00,23.0
2023-07-01 03:00:00,152.0
2023-07-01 03:00:00,19.0
2023-07-01 03:00:00,171.0
2023-07-01 03:00:00,31.0
2023-07-01 03:00:00,66.0
2023-07-01 03:00:00,14.0
2023-07-01 03:00:00,466.0
2023-07-01 03:00:00,55.0
2023-07-01 03:00:00,42.0
2023-07-01 03:00:00,31.0
2023-07-01 03:00:00,30.0
2023-07-01 03:00:00,19.0
2023-07-01 03:00:00,26.0
2023-07-01 03:00:00,24.0
2023-07-01 03:00:00,22.0
2023-07-01 03:00:00,176.0
2023-07-01 03:00:00,38.0
2023-07-01 03:00:00,377.0
2023-07-01 03:00:00,54.0
2023-07-01 03:00:00,34.0
2023-07-01 03:00:00,17.0
2023-07-01 03:00:00,37.0
2023-07-01 03:00:00,38.0
2023-07-01 03:00:00,41.0
2023-07-01 03:00:00,20.0
2023-07-01 03:00:00,31.0
2023-07-01 03:00:00,51.0
2023-07-01 03:00:00,35.0
2023-07-01 03:00:00,34.0
2023-07-01 03:00:00,34.0
2023-07-01 03:00:00,23.0
2023-07-01 03:00:00,24.0
2023-07-01 03:00:00,195.0
2023-07-01 03:00:00,27.0
2023-07-01 03:00:00,28.0
2023-07-01 03:00:00,546.0
2023-07-01 03:00:00,111.0
2023-07-01 03:00:00,223.0
2023-07-01 03:00:00,33.0
2023-07-01 03:00:00,28.0
2023-07-01 03:00:00,40.0
2023-07-01 03:00:00,33.0
2023-07-01 03:00:00,9.5
2023-07-01 03:00:00,211.0
2023-07-01 03:00:00,13.0
2023-07-01 03:00:00,607.0
2023-07-01 03:00:00,367.0
