"Time","tlm_mb_solarpanel_0_volt_pos"
2023-05-25 03:00:00,0.79 V
2023-05-25 03:00:00,0.81 V
2023-05-25 03:00:00,0.0056 V
2023-05-25 03:00:00,0.0042 V
2023-05-25 03:00:00,0.89 V
2023-05-25 03:00:00,0.84 V
2023-05-25 03:00:00,0.91 V
2023-05-25 03:00:00,0.89 V
2023-05-25 03:00:00,0.82 V
2023-05-25 03:00:00,0.82 V
2023-05-25 03:00:00,0.87 V
2023-05-25 03:00:00,0.82 V
2023-05-25 03:00:00,0.84 V
2023-05-25 03:00:00,0.86 V
2023-05-25 03:00:00,0.87 V
2023-05-25 03:00:00,0.80 V
2023-05-25 03:00:00,0.83 V
2023-06-27 03:00:00,5.0 V
2023-06-27 03:00:00,5.0 V
2023-06-27 03:00:00,2.4 V
2023-06-27 03:00:00,2.5 V
2023-06-27 03:00:00,5.7 V
2023-06-27 03:00:00,2.8 V
2023-06-27 03:00:00,5.2 V
2023-06-27 03:00:00,5.5 V
2023-06-27 03:00:00,4.7 V
2023-06-27 03:00:00,0.15 V
2023-06-27 03:00:00,1.0 V
2023-06-27 03:00:00,3.7 V
2023-06-27 03:00:00,4.8 V
2023-06-27 03:00:00,5.7 V
2023-06-27 03:00:00,5.7 V
2023-06-27 03:00:00,5.7 V
2023-06-27 03:00:00,5.7 V
2023-06-27 03:00:00,5.6 V
2023-06-27 03:00:00,5.6 V
2023-06-27 03:00:00,4.7 V
2023-06-27 03:00:00,5.5 V
2023-06-27 03:00:00,5.4 V
2023-06-27 03:00:00,5.3 V
2023-06-27 03:00:00,3.1 V
2023-06-27 03:00:00,5.5 V
2023-06-27 03:00:00,5.6 V
2023-06-27 03:00:00,5.7 V
2023-06-27 03:00:00,2.2 V
2023-06-27 03:00:00,2.1 V
2023-06-27 03:00:00,4.9 V
2023-06-27 03:00:00,0.0028 V
2023-06-27 03:00:00,5.6 V
2023-06-27 03:00:00,5.6 V
2023-06-27 03:00:00,5.5 V
2023-06-27 03:00:00,4.6 V
2023-06-27 03:00:00,0.011 V
2023-06-27 03:00:00,5.2 V
2023-06-27 03:00:00,5.2 V
2023-06-27 03:00:00,0.0056 V
2023-06-27 03:00:00,5.0 V
2023-06-27 03:00:00,5.2 V
2023-06-27 03:00:00,5.1 V
2023-06-28 03:00:00,4.8 V
2023-06-28 03:00:00,0.0014 V
2023-06-28 03:00:00,0 V
2023-06-28 03:00:00,0.035 V
2023-06-28 03:00:00,5.0 V
2023-06-28 03:00:00,5.5 V
2023-06-28 03:00:00,5.1 V
2023-06-28 03:00:00,5.3 V
2023-06-28 03:00:00,5.5 V
2023-06-28 03:00:00,5.3 V
2023-06-28 03:00:00,5.4 V
2023-06-28 03:00:00,5.1 V
2023-06-28 03:00:00,5.4 V
2023-06-28 03:00:00,5.2 V
2023-06-28 03:00:00,5.3 V
2023-06-28 03:00:00,5.2 V
2023-06-28 03:00:00,5.4 V
2023-06-28 03:00:00,5.1 V
2023-06-28 03:00:00,5.5 V
2023-06-28 03:00:00,5.4 V
2023-06-28 03:00:00,0.055 V
2023-06-28 03:00:00,5.7 V
2023-06-28 03:00:00,3.8 V
2023-06-28 03:00:00,0.89 V
2023-06-28 03:00:00,0.93 V
2023-06-28 03:00:00,0.52 V
2023-06-28 03:00:00,0.024 V
2023-06-28 03:00:00,5.4 V
2023-06-28 03:00:00,3.3 V
2023-06-28 03:00:00,5.6 V
2023-06-28 03:00:00,2.7 V
2023-06-28 03:00:00,5.6 V
2023-06-28 03:00:00,4.9 V
2023-06-28 03:00:00,5.7 V
2023-06-28 03:00:00,0.0042 V
2023-06-28 03:00:00,5.3 V
2023-06-28 03:00:00,1.0 V
2023-06-28 03:00:00,5.5 V
2023-06-28 03:00:00,5.1 V
2023-06-28 03:00:00,5.6 V
2023-06-28 03:00:00,1.9 V
2023-06-28 03:00:00,5.7 V
2023-06-28 03:00:00,0.99 V
2023-06-28 03:00:00,2.1 V
2023-06-29 03:00:00,0 V
2023-06-29 03:00:00,5.5 V
2023-06-29 03:00:00,5.2 V
2023-06-29 03:00:00,5.4 V
2023-06-29 03:00:00,4.8 V
2023-06-29 03:00:00,5.4 V
2023-06-29 03:00:00,5.2 V
2023-06-29 03:00:00,1.8 V
2023-06-29 03:00:00,0.0014 V
2023-06-29 03:00:00,0.93 V
2023-06-29 03:00:00,5.2 V
2023-06-29 03:00:00,5.0 V
2023-06-29 03:00:00,5.1 V
2023-06-29 03:00:00,5.1 V
2023-06-29 03:00:00,0.011 V
2023-06-29 03:00:00,5.6 V
2023-06-29 03:00:00,4.9 V
