"Time","57175.distinct"
2023-05-25 03:00:00,0.12 A
2023-05-25 03:00:00,0.10 A
2023-05-25 03:00:00,0.10 A
2023-05-25 03:00:00,0.10 A
2023-05-25 03:00:00,0.10 A
2023-05-25 03:00:00,0.10 A
2023-05-25 03:00:00,0.10 A
2023-05-25 03:00:00,0.10 A
2023-05-25 03:00:00,0.11 A
2023-05-25 03:00:00,0.12 A
2023-05-25 03:00:00,0.12 A
2023-05-25 03:00:00,0.11 A
2023-05-25 03:00:00,0.10 A
2023-06-22 03:00:00,0.09 A
2023-06-22 03:00:00,0.10 A
2023-06-22 03:00:00,0.11 A
2023-06-22 03:00:00,0.10 A
2023-06-22 03:00:00,0.11 A
2023-06-22 03:00:00,0.10 A
2023-06-22 03:00:00,0.10 A
2023-06-22 03:00:00,0.09 A
2023-06-22 03:00:00,0.09 A
2023-06-22 03:00:00,0.09 A
2023-06-22 03:00:00,0.11 A
2023-06-22 03:00:00,0.10 A
2023-06-22 03:00:00,0.10 A
2023-06-22 03:00:00,0.09 A
2023-06-22 03:00:00,0.09 A
2023-06-22 03:00:00,0.09 A
2023-06-22 03:00:00,0.10 A
2023-06-22 03:00:00,0.09 A
2023-06-22 03:00:00,0.10 A
2023-06-22 03:00:00,0.09 A
2023-06-22 03:00:00,0.09 A
2023-06-22 03:00:00,0.10 A
2023-06-22 03:00:00,0.09 A
2023-06-22 03:00:00,0.11 A
2023-06-22 03:00:00,0.09 A
2023-06-22 03:00:00,0.10 A
2023-06-22 03:00:00,0.09 A
2023-06-22 03:00:00,0.09 A
2023-06-22 03:00:00,0.10 A
2023-06-22 03:00:00,0.09 A
2023-06-22 03:00:00,0.09 A
2023-06-22 03:00:00,0.10 A
2023-06-22 03:00:00,0.10 A
2023-06-29 03:00:00,0.10 A
2023-06-29 03:00:00,0.11 A
2023-06-29 03:00:00,0.11 A
2023-06-29 03:00:00,0.11 A
2023-06-29 03:00:00,0.09 A
2023-06-29 03:00:00,0.10 A
2023-06-29 03:00:00,0.10 A
2023-06-29 03:00:00,0.09 A
2023-06-29 03:00:00,0.09 A
2023-06-29 03:00:00,0.09 A
2023-06-29 03:00:00,0.10 A
2023-06-29 03:00:00,0.10 A
2023-06-29 03:00:00,0.09 A
2023-06-29 03:00:00,0.10 A
2023-06-29 03:00:00,0.09 A
2023-06-29 03:00:00,0.10 A
2023-06-29 03:00:00,0.10 A
2023-06-29 03:00:00,0.10 A
2023-06-29 03:00:00,0.09 A
2023-06-29 03:00:00,0.10 A
2023-06-29 03:00:00,0.10 A
2023-06-29 03:00:00,0.10 A
