"Time","tlm_trx_cmn_mcu_temp"
2023-05-20 03:00:00,26
2023-05-20 03:00:00,25
2023-05-20 03:00:00,24
2023-05-20 03:00:00,27
2023-05-25 03:00:00,29
2023-05-25 03:00:00,27
2023-05-25 03:00:00,28
2023-05-25 03:00:00,26
2023-05-25 03:00:00,30
2023-06-27 03:00:00,-5
2023-06-27 03:00:00,-4
2023-06-27 03:00:00,-3
2023-06-27 03:00:00,-2
2023-06-27 03:00:00,-1
2023-06-27 03:00:00,-7
2023-06-27 03:00:00,-6
2023-06-27 03:00:00,0
2023-06-27 03:00:00,1
2023-06-27 03:00:00,17
2023-06-27 03:00:00,18
2023-06-27 03:00:00,19
2023-06-27 03:00:00,15
2023-06-27 03:00:00,16
2023-06-28 03:00:00,6
2023-06-28 03:00:00,4
2023-06-28 03:00:00,-8
2023-06-28 03:00:00,-7
2023-06-28 03:00:00,-6
2023-06-28 03:00:00,-5
2023-06-28 03:00:00,9
2023-06-28 03:00:00,8
2023-06-28 03:00:00,5
2023-06-28 03:00:00,-10
2023-06-28 03:00:00,11
2023-06-28 03:00:00,10
2023-06-28 03:00:00,12
2023-06-28 03:00:00,13
2023-06-28 03:00:00,14
2023-06-28 03:00:00,15
2023-06-28 03:00:00,16
2023-06-28 03:00:00,17
2023-06-28 03:00:00,7
2023-06-28 03:00:00,21
2023-06-28 03:00:00,-9
2023-06-28 03:00:00,-4
2023-06-28 03:00:00,3
2023-06-28 03:00:00,-1
2023-06-28 03:00:00,-2
2023-06-28 03:00:00,-3
2023-06-28 03:00:00,0
2023-06-29 03:00:00,8
2023-06-29 03:00:00,6
2023-06-29 03:00:00,5
2023-06-29 03:00:00,4
2023-06-29 03:00:00,13
2023-06-29 03:00:00,15
2023-06-29 03:00:00,12
2023-06-29 03:00:00,14
2023-06-29 03:00:00,16
2023-06-29 03:00:00,17
2023-06-29 03:00:00,18
2023-06-29 03:00:00,19
2023-06-29 03:00:00,21
2023-06-29 03:00:00,9
2023-06-29 03:00:00,7
2023-06-29 03:00:00,11
2023-06-29 03:00:00,10
2023-06-29 03:00:00,23
2023-06-29 03:00:00,-4
2023-06-29 03:00:00,-5
2023-06-29 03:00:00,-7
2023-06-29 03:00:00,-8
2023-06-29 03:00:00,-3
2023-06-29 03:00:00,0
2023-06-29 03:00:00,-6
2023-06-29 03:00:00,-9
2023-06-29 03:00:00,-2
2023-06-29 03:00:00,-1
2023-06-29 03:00:00,-11
2023-06-30 03:00:00,7
2023-06-30 03:00:00,8
2023-06-30 03:00:00,9
2023-06-30 03:00:00,10
2023-06-30 03:00:00,11
2023-06-30 03:00:00,12
2023-06-30 03:00:00,13
2023-06-30 03:00:00,14
2023-06-30 03:00:00,-9
2023-06-30 03:00:00,-8
2023-06-30 03:00:00,6
2023-06-30 03:00:00,-6
2023-06-30 03:00:00,-5
2023-06-30 03:00:00,-4
2023-06-30 03:00:00,-3
2023-06-30 03:00:00,-7
2023-06-30 03:00:00,-2
2023-06-30 03:00:00,-1
2023-06-30 03:00:00,21
2023-07-01 03:00:00,-7
2023-07-01 03:00:00,-6
2023-07-01 03:00:00,10
2023-07-01 03:00:00,11
2023-07-01 03:00:00,12
2023-07-01 03:00:00,13
2023-07-01 03:00:00,14
2023-07-01 03:00:00,9
2023-07-01 03:00:00,8
2023-07-01 03:00:00,6
2023-07-01 03:00:00,7
2023-07-01 03:00:00,17
2023-07-01 03:00:00,18
2023-07-01 03:00:00,19
2023-07-01 03:00:00,20
2023-07-01 03:00:00,-4
2023-07-01 03:00:00,-2
2023-07-01 03:00:00,-1
2023-07-01 03:00:00,-5
2023-07-01 03:00:00,-3
2023-07-02 03:00:00,14
2023-07-02 03:00:00,-7
2023-07-02 03:00:00,-8
2023-07-02 03:00:00,8
2023-07-02 03:00:00,9
2023-07-02 03:00:00,10
2023-07-02 03:00:00,11
2023-07-02 03:00:00,12
2023-07-02 03:00:00,13
2023-07-02 03:00:00,15
2023-07-02 03:00:00,6
2023-07-02 03:00:00,7
2023-07-02 03:00:00,19
2023-07-02 03:00:00,18
2023-07-02 03:00:00,20
2023-07-02 03:00:00,21
2023-07-02 03:00:00,22
2023-07-02 03:00:00,23
2023-07-02 03:00:00,-4
2023-07-02 03:00:00,-2
2023-07-02 03:00:00,-1
2023-07-02 03:00:00,0
2023-07-02 03:00:00,-6
2023-07-02 03:00:00,-5
2023-07-02 03:00:00,-3
2023-07-02 03:00:00,1
2023-07-03 03:00:00,5
2023-07-03 03:00:00,4
2023-07-03 03:00:00,-6
2023-07-03 03:00:00,10
2023-07-03 03:00:00,11
2023-07-03 03:00:00,7
2023-07-03 03:00:00,8
2023-07-03 03:00:00,9
2023-07-03 03:00:00,12
2023-07-03 03:00:00,13
2023-07-03 03:00:00,14
2023-07-03 03:00:00,-4
2023-07-03 03:00:00,-1
2023-07-03 03:00:00,-5
2023-07-03 03:00:00,-3
2023-07-03 03:00:00,-2
2023-07-03 03:00:00,0
2023-07-03 03:00:00,1
2023-07-03 03:00:00,-7
2023-07-04 03:00:00,-7
2023-07-04 03:00:00,-6
2023-07-04 03:00:00,19
2023-07-04 03:00:00,10
2023-07-04 03:00:00,11
2023-07-04 03:00:00,13
2023-07-04 03:00:00,-4
2023-07-04 03:00:00,8
2023-07-04 03:00:00,9
2023-07-04 03:00:00,12
2023-07-04 03:00:00,7
2023-07-04 03:00:00,-5
2023-07-04 03:00:00,15
2023-07-04 03:00:00,-3
2023-07-04 03:00:00,-2
2023-07-04 03:00:00,-1
2023-07-04 03:00:00,0
2023-07-04 03:00:00,1
2023-07-05 03:00:00,17
2023-07-05 03:00:00,18
2023-07-05 03:00:00,19
2023-07-05 03:00:00,20
2023-07-05 03:00:00,9
2023-07-05 03:00:00,10
2023-07-05 03:00:00,11
2023-07-05 03:00:00,8
2023-07-05 03:00:00,12
2023-07-05 03:00:00,13
2023-07-05 03:00:00,16
2023-07-05 03:00:00,7
2023-07-05 03:00:00,14
2023-07-05 03:00:00,-2
2023-07-05 03:00:00,-5
2023-07-05 03:00:00,-4
2023-07-05 03:00:00,-3
2023-07-05 03:00:00,-1
2023-07-05 03:00:00,0
2023-07-05 03:00:00,-7
2023-07-05 03:00:00,-6
2023-07-06 03:00:00,11
2023-07-06 03:00:00,12
2023-07-06 03:00:00,13
2023-07-06 03:00:00,14
2023-07-06 03:00:00,15
2023-07-06 03:00:00,19
2023-07-06 03:00:00,20
2023-07-06 03:00:00,21
2023-07-06 03:00:00,-6
2023-07-06 03:00:00,8
2023-07-06 03:00:00,10
2023-07-06 03:00:00,9
2023-07-06 03:00:00,7
2023-07-06 03:00:00,-7
2023-07-06 03:00:00,-5
2023-07-06 03:00:00,16
2023-07-06 03:00:00,0
2023-07-06 03:00:00,-4
2023-07-06 03:00:00,-2
2023-07-06 03:00:00,-1
2023-07-07 03:00:00,13
2023-07-07 03:00:00,9
2023-07-07 03:00:00,10
2023-07-07 03:00:00,12
2023-07-07 03:00:00,14
2023-07-07 03:00:00,15
2023-07-07 03:00:00,20
2023-07-07 03:00:00,21
2023-07-07 03:00:00,22
2023-07-07 03:00:00,-6
2023-07-07 03:00:00,-5
2023-07-07 03:00:00,11
2023-07-07 03:00:00,8
2023-07-07 03:00:00,-4
2023-07-07 03:00:00,-3
2023-07-07 03:00:00,-1
2023-07-08 03:00:00,9
2023-07-08 03:00:00,10
2023-07-08 03:00:00,11
2023-07-08 03:00:00,12
2023-07-08 03:00:00,13
2023-07-08 03:00:00,14
2023-07-08 03:00:00,15
2023-07-08 03:00:00,16
2023-07-08 03:00:00,17
2023-07-08 03:00:00,-7
2023-07-08 03:00:00,-6
2023-07-08 03:00:00,-5
2023-07-08 03:00:00,18
2023-07-08 03:00:00,19
2023-07-08 03:00:00,8
2023-07-08 03:00:00,-1
2023-07-08 03:00:00,-4
2023-07-08 03:00:00,-3
2023-07-09 03:00:00,11
2023-07-09 03:00:00,12
2023-07-09 03:00:00,13
2023-07-09 03:00:00,14
2023-07-09 03:00:00,15
2023-07-09 03:00:00,16
2023-07-09 03:00:00,17
2023-07-09 03:00:00,-5
2023-07-09 03:00:00,-6
2023-07-09 03:00:00,20
2023-07-09 03:00:00,-7
2023-07-09 03:00:00,9
2023-07-09 03:00:00,6
2023-07-09 03:00:00,8
2023-07-09 03:00:00,10
2023-07-09 03:00:00,-4
2023-07-09 03:00:00,-8
2023-07-09 03:00:00,21
2023-07-09 03:00:00,22
2023-07-09 03:00:00,-1
2023-07-09 03:00:00,-3
2023-07-09 03:00:00,-2
2023-07-10 03:00:00,15
2023-07-10 03:00:00,12
2023-07-10 03:00:00,14
2023-07-10 03:00:00,5
2023-07-10 03:00:00,11
2023-07-10 03:00:00,16
2023-07-10 03:00:00,13
2023-07-10 03:00:00,10
2023-07-10 03:00:00,9
2023-07-10 03:00:00,-6
2023-07-10 03:00:00,-5
2023-07-10 03:00:00,-4
2023-07-10 03:00:00,-3
2023-07-11 03:00:00,12
2023-07-11 03:00:00,9
2023-07-11 03:00:00,11
2023-07-11 03:00:00,21
2023-07-11 03:00:00,19
2023-07-11 03:00:00,-6
2023-07-11 03:00:00,-4
2023-07-11 03:00:00,-5
2023-07-11 03:00:00,13
2023-07-11 03:00:00,10
2023-07-11 03:00:00,6
2023-07-11 03:00:00,5
2023-07-11 03:00:00,4
2023-07-11 03:00:00,-7
2023-07-11 03:00:00,-8
2023-07-11 03:00:00,20
