Time,SDR_TX_TX_FRAMES
2021-09-27 03:00:00,0
2021-09-28 03:00:00,0
2021-09-29 03:00:00,0
2021-09-30 03:00:00,0
2021-10-01 03:00:00,0
2021-10-02 03:00:00,74
2021-10-03 03:00:00,74
2021-10-04 03:00:00,74
2021-10-05 03:00:00,0
2021-10-06 03:00:00,3176
2021-10-07 03:00:00,0
2021-10-08 03:00:00,75
2021-10-09 03:00:00,75
2021-10-10 03:00:00,75
2021-10-11 03:00:00,75
2021-10-12 03:00:00,75
2021-10-13 03:00:00,0
2021-10-14 03:00:00,0
2021-10-15 03:00:00,39
2021-10-16 03:00:00,3244
2021-10-17 03:00:00,39
2021-10-18 03:00:00,39
2021-10-19 03:00:00,39
2021-10-20 03:00:00,6919
2021-10-21 03:00:00,6328
2021-10-22 03:00:00,6328
2021-10-23 03:00:00,7053
2021-10-24 03:00:00,7053
2021-10-25 03:00:00,7053
2021-10-26 03:00:00,7053
2021-10-27 03:00:00,0
2021-10-28 03:00:00,0
2021-10-29 03:00:00,0
2021-10-30 03:00:00,0
2021-10-31 03:00:00,0
2021-11-01 03:00:00,0
2021-11-02 03:00:00,0
2021-11-03 03:00:00,0
2021-11-04 03:00:00,0
2021-11-05 03:00:00,0
2021-11-06 03:00:00,0
2021-11-07 03:00:00,0
2021-11-08 03:00:00,0
2021-11-09 03:00:00,0
2021-11-10 03:00:00,0
2021-11-11 03:00:00,0
2021-11-12 03:00:00,0
2021-11-13 03:00:00,3842
2021-11-14 03:00:00,0
2021-11-15 03:00:00,0
2021-11-16 03:00:00,2549
2021-11-17 03:00:00,2549
2021-11-18 03:00:00,2549
2021-11-19 03:00:00,2549
2021-11-20 03:00:00,7147
2021-11-21 03:00:00,7043
2021-11-22 03:00:00,7043
2021-11-23 03:00:00,7043
2021-11-24 03:00:00,7043
2021-11-25 03:00:00,7043
2021-11-26 03:00:00,7043
2021-11-27 03:00:00,1111
2021-11-28 03:00:00,0
2021-11-29 03:00:00,0
2021-11-30 03:00:00,2456
2021-12-01 03:00:00,0
2021-12-02 03:00:00,736
2021-12-03 03:00:00,5621
2021-12-04 03:00:00,0
2021-12-05 03:00:00,0
2021-12-06 03:00:00,0
2021-12-07 03:00:00,4627
2021-12-08 03:00:00,9140
2021-12-09 03:00:00,9141
2021-12-10 03:00:00,4544
2021-12-11 03:00:00,4544
2021-12-12 03:00:00,1546
2021-12-13 03:00:00,5554
2021-12-14 03:00:00,5745
2021-12-15 03:00:00,3212
2021-12-16 03:00:00,12823
2021-12-17 03:00:00,12823
2021-12-18 03:00:00,8996
2021-12-19 03:00:00,16756
2021-12-20 03:00:00,16756
2021-12-21 03:00:00,3811
2021-12-22 03:00:00,3811
2021-12-23 03:00:00,8403
2021-12-24 03:00:00,8403
2021-12-25 03:00:00,18024
2021-12-26 03:00:00,18013
2021-12-27 03:00:00,18013
2021-12-28 03:00:00,18013
2021-12-29 03:00:00,18013
2021-12-30 03:00:00,18013
2021-12-31 03:00:00,18013
2022-01-01 03:00:00,18013
2022-01-02 03:00:00,18013
2022-01-03 03:00:00,18013
2022-01-04 03:00:00,18013
2022-01-05 03:00:00,0
2022-01-06 03:00:00,0
2022-01-07 03:00:00,0
2022-01-08 03:00:00,0
2022-01-09 03:00:00,0
2022-01-11 03:00:00,0
2022-01-12 03:00:00,2435
2022-01-13 03:00:00,2435
2022-01-14 03:00:00,0
2022-01-15 03:00:00,0
2022-01-16 03:00:00,0
2022-01-17 03:00:00,3971
2022-01-18 03:00:00,3971
2022-01-19 03:00:00,3971
2022-01-20 03:00:00,3971
2022-01-21 03:00:00,3971
2022-01-23 03:00:00,3971
2022-01-24 03:00:00,0
2022-01-25 03:00:00,15174
2022-01-26 03:00:00,15175
2022-01-27 03:00:00,15175
2022-01-28 03:00:00,16240
2022-01-29 03:00:00,16239
2022-01-30 03:00:00,16239
2022-01-31 03:00:00,16239
2022-02-01 03:00:00,16239
2022-02-02 03:00:00,16239
2022-02-03 03:00:00,16239
2022-02-04 03:00:00,16239
2022-02-05 03:00:00,21661
2022-02-06 03:00:00,0
2022-02-07 03:00:00,0
2022-02-08 03:00:00,0
2022-02-09 03:00:00,22
2022-02-10 03:00:00,3528
2022-02-11 03:00:00,3528
2022-02-12 03:00:00,3529
2022-02-13 03:00:00,18017
2022-02-14 03:00:00,18007
2022-02-15 03:00:00,18019
2022-02-16 03:00:00,6867
2022-02-17 03:00:00,6867
2022-02-18 03:00:00,0
2022-02-19 03:00:00,25833
2022-02-20 03:00:00,25834
2022-02-21 03:00:00,25834
2022-02-22 03:00:00,25834
2022-02-23 03:00:00,25834
2022-02-25 03:00:00,0
2022-02-26 03:00:00,0
2022-02-28 03:00:00,7049
2022-03-01 03:00:00,0
2022-03-02 03:00:00,13234
2022-03-03 03:00:00,0
2022-03-04 03:00:00,0
2022-03-05 03:00:00,9258
2022-03-06 03:00:00,16916
2022-03-07 03:00:00,16916
2022-03-08 03:00:00,11182
2022-03-09 03:00:00,18026
2022-03-10 03:00:00,18026
2022-03-11 03:00:00,18005
2022-03-12 03:00:00,18019
2022-03-13 03:00:00,18019
2022-03-14 03:00:00,18019
2022-03-15 03:00:00,18108
2022-03-16 03:00:00,18001
2022-03-17 03:00:00,18003
2022-03-18 03:00:00,0
2022-03-19 03:00:00,0
2022-03-20 03:00:00,0
2022-03-21 03:00:00,0
2022-03-22 03:00:00,0
2022-03-23 03:00:00,0
2022-03-24 03:00:00,18007
2022-03-25 03:00:00,18019
2022-03-26 03:00:00,18026
2022-03-27 03:00:00,18009
2022-03-28 03:00:00,18019
2022-03-29 03:00:00,17999
2022-03-30 03:00:00,17999
2022-03-31 03:00:00,18019
2022-04-01 03:00:00,18021
2022-04-02 03:00:00,18017
2022-04-03 03:00:00,18026
2022-04-04 03:00:00,18001
2022-04-05 03:00:00,18013
2022-04-06 03:00:00,14966
2022-04-07 03:00:00,18009
2022-04-08 03:00:00,12852
2022-04-09 03:00:00,3380
2022-04-10 03:00:00,3381
2022-04-11 03:00:00,1
2022-04-12 03:00:00,1
2022-04-13 03:00:00,0
2022-04-14 03:00:00,0
2022-04-15 03:00:00,0
2022-04-16 03:00:00,0
2022-04-17 03:00:00,0
2022-04-18 03:00:00,0
2022-04-19 03:00:00,0
2022-04-20 03:00:00,0
2022-04-21 03:00:00,0
2022-04-22 03:00:00,18019
2022-04-23 03:00:00,18026
2022-04-24 03:00:00,18007
2022-04-25 03:00:00,0
2022-04-26 03:00:00,0
2022-04-27 03:00:00,17996
2022-04-28 03:00:00,18011
2022-04-29 03:00:00,18024
2022-04-30 03:00:00,18024
2022-05-01 03:00:00,18024
2022-05-02 03:00:00,18024
2022-05-03 03:00:00,0
2022-05-04 03:00:00,18105
2022-05-05 03:00:00,1525
2022-05-06 03:00:00,13967
2022-05-07 03:00:00,18005
2022-05-08 03:00:00,8085
2022-05-09 03:00:00,17229
2022-05-10 03:00:00,17999
2022-05-11 03:00:00,18005
2022-05-12 03:00:00,18021
2022-05-13 03:00:00,18026
2022-05-14 03:00:00,18011
2022-05-15 03:00:00,16013
2022-05-16 03:00:00,16013
2022-05-17 03:00:00,16013
2022-05-18 03:00:00,16013
2022-05-19 03:00:00,6496
2022-05-20 03:00:00,9932
2022-05-21 03:00:00,18013
2022-05-22 03:00:00,18021
2022-05-23 03:00:00,18021
2022-05-24 03:00:00,18021
2022-05-25 03:00:00,0
2022-05-26 03:00:00,0
2022-05-27 03:00:00,8662
2022-05-28 03:00:00,9630
2022-05-29 03:00:00,18142
2022-05-30 03:00:00,11882
2022-05-31 03:00:00,10081
2022-06-01 03:00:00,1525
2022-06-02 03:00:00,1525
2022-06-03 03:00:00,0
2022-06-04 03:00:00,0
2022-06-05 03:00:00,15836
2022-06-06 03:00:00,0
2022-06-07 03:00:00,0
2022-06-08 03:00:00,0
2022-06-09 03:00:00,0
2022-06-10 03:00:00,0
2022-06-11 03:00:00,0
2022-06-12 03:00:00,0
2022-06-13 03:00:00,0
2022-06-14 03:00:00,0
2022-06-15 03:00:00,0
2022-06-16 03:00:00,0
2022-06-17 03:00:00,0
2022-06-18 03:00:00,0
2022-06-19 03:00:00,0
2022-06-20 03:00:00,0
2022-06-21 03:00:00,0
2022-06-22 03:00:00,0
2022-06-23 03:00:00,0
2022-06-24 03:00:00,18009
2022-06-25 03:00:00,18007
2022-06-26 03:00:00,1220
2022-06-27 03:00:00,0
2022-06-28 03:00:00,0
2022-06-29 03:00:00,1220
2022-06-30 03:00:00,0
2022-07-01 03:00:00,0
2022-07-02 03:00:00,18001
2022-07-03 03:00:00,18017
2022-07-04 03:00:00,5869
2022-07-05 03:00:00,16732
2022-07-06 03:00:00,7338
2022-07-07 03:00:00,7338
2022-07-08 03:00:00,15867
2022-07-09 03:00:00,15867
2022-07-10 03:00:00,1957
2022-07-11 03:00:00,1957
2022-07-12 03:00:00,1957
2022-07-13 03:00:00,0
2022-07-14 03:00:00,0
