Time,Cell Xp V
2022-01-14 03:00:00,66 m
2022-01-16 03:00:00,2.836 
2022-01-17 03:00:00,2.882 
2022-01-18 03:00:00,101 m
2022-01-19 03:00:00,78 m
2022-01-20 03:00:00,61 m
2022-01-21 03:00:00,63 m
2022-01-22 03:00:00,496 m
2022-01-23 03:00:00,27 m
2022-01-24 03:00:00,0 m
2022-01-25 03:00:00,1 m
2022-01-26 03:00:00,0 m
2022-01-27 03:00:00,0 m
2022-01-28 03:00:00,0 m
2022-01-29 03:00:00,2.625 
2022-01-30 03:00:00,488 m
2022-01-31 03:00:00,1 m
2022-02-01 03:00:00,1 m
2022-02-02 03:00:00,2.085 
2022-02-03 03:00:00,3 m
2022-02-04 03:00:00,6 m
2022-02-05 03:00:00,12 m
2022-02-06 03:00:00,15 m
2022-02-07 03:00:00,22 m
2022-02-08 03:00:00,30 m
2022-02-09 03:00:00,446 m
2022-02-10 03:00:00,472 m
2022-02-11 03:00:00,177 m
2022-02-13 03:00:00,2.656 
2022-02-14 03:00:00,1.481 
2022-02-15 03:00:00,161 m
2022-02-16 03:00:00,61 m
2022-02-17 03:00:00,440 m
2022-02-18 03:00:00,448 m
2022-02-19 03:00:00,255 m
2022-02-20 03:00:00,17 m
2022-02-21 03:00:00,0 m
2022-02-22 03:00:00,0 m
2022-02-23 03:00:00,2 m
2022-02-24 03:00:00,1.620 
2022-02-25 03:00:00,497 m
2022-02-26 03:00:00,2.522 
2022-02-28 03:00:00,480 m
2022-03-05 03:00:00,5 m
2022-03-07 03:00:00,2.541 
2022-03-08 03:00:00,2.797 
2022-03-11 03:00:00,543 m
2022-03-15 03:00:00,2.060 
2022-03-16 03:00:00,558 m
2022-03-17 03:00:00,2.808 
2022-03-19 03:00:00,305 m
2022-03-20 03:00:00,12 m
2022-03-21 03:00:00,446 m
2022-03-22 03:00:00,432 m
2022-03-23 03:00:00,427 m
2022-03-24 03:00:00,445 m
2022-03-25 03:00:00,2.660 
2022-03-26 03:00:00,1.908 
2022-03-27 03:00:00,2.637 
2022-03-28 03:00:00,2.867 
2022-03-29 03:00:00,10 m
2022-03-31 03:00:00,2.615 
2022-04-01 03:00:00,452 m
2022-04-02 03:00:00,7 m
2022-04-03 03:00:00,2.641 
2022-04-04 03:00:00,2.557 
2022-04-05 03:00:00,343 m
2022-04-06 03:00:00,2.696 
2022-04-07 03:00:00,2.660 
2022-04-08 03:00:00,450 m
2022-04-10 03:00:00,2.492 
2022-04-11 03:00:00,286 m
2022-04-12 03:00:00,20 m
2022-04-13 03:00:00,375 m
2022-04-14 03:00:00,250 m
2022-04-15 03:00:00,1.900 
2022-04-16 03:00:00,298 m
2022-04-17 03:00:00,288 m
2022-04-18 03:00:00,511 m
2022-04-19 03:00:00,675 m
2022-04-21 03:00:00,2.598 
2022-04-22 03:00:00,2.668 
2022-04-23 03:00:00,2.868 
2022-04-24 03:00:00,293 m
2022-04-25 03:00:00,2.910 
2022-04-26 03:00:00,325 m
2022-04-27 03:00:00,293 m
2022-04-28 03:00:00,2.601 
2022-04-29 03:00:00,381 m
2022-04-30 03:00:00,2.737 
2022-05-01 03:00:00,498 m
2022-05-02 03:00:00,2.522 
2022-05-05 03:00:00,2.003 
2022-05-06 03:00:00,2.826 
2022-05-07 03:00:00,2.667 
2022-05-08 03:00:00,445 m
2022-05-09 03:00:00,2.596 
2022-05-10 03:00:00,2.215 
2022-05-11 03:00:00,2.893 
2022-05-12 03:00:00,195 m
2022-05-13 03:00:00,2.687 
2022-05-14 03:00:00,2.822 
2022-05-15 03:00:00,2.653 
2022-05-16 03:00:00,296 m
2022-05-17 03:00:00,2.436 
2022-05-18 03:00:00,2.627 
2022-05-19 03:00:00,2.700 
2022-05-20 03:00:00,296 m
2022-05-21 03:00:00,297 m
2022-05-22 03:00:00,1.555 
2022-05-24 03:00:00,362 m
2022-05-25 03:00:00,2.915 
2022-05-26 03:00:00,391 m
2022-05-27 03:00:00,2.596 
2022-05-28 03:00:00,21 m
2022-05-29 03:00:00,2.630 
2022-05-30 03:00:00,2.663 
2022-05-31 03:00:00,2.722 
2022-06-01 03:00:00,371 m
2022-06-02 03:00:00,2.486 
2022-06-03 03:00:00,2.672 
2022-06-05 03:00:00,492 m
2022-06-06 03:00:00,2.677 
2022-06-07 03:00:00,307 m
2022-06-08 03:00:00,468 m
2022-06-11 03:00:00,2.636 
2022-06-12 03:00:00,2.721 
2022-06-13 03:00:00,2.642 
2022-06-14 03:00:00,246 m
2022-06-15 03:00:00,2.573 
2022-06-16 03:00:00,2.655 
2022-06-17 03:00:00,388 m
2022-06-18 03:00:00,301 m
2022-06-19 03:00:00,2.650 
2022-06-20 03:00:00,2.626 
2022-06-21 03:00:00,2.631 
2022-06-23 03:00:00,402 m
2022-06-24 03:00:00,2.655 
2022-06-25 03:00:00,2.887 
2022-06-26 03:00:00,296 m
2022-06-27 03:00:00,521 m
2022-06-28 03:00:00,2.231 
2022-06-30 03:00:00,2.671 
2022-07-01 03:00:00,2.870 
2022-07-02 03:00:00,2.635 
2022-07-03 03:00:00,2.670 
2022-07-05 03:00:00,517 m
2022-07-06 03:00:00,330 m
2022-07-07 03:00:00,2.486 
2022-07-08 03:00:00,567 m
2022-07-10 03:00:00,301 m
2022-07-12 03:00:00,2.682 
2022-07-13 03:00:00,2.686 
2022-07-14 03:00:00,2.691 
2022-07-15 03:00:00,311 m
2022-07-16 03:00:00,1.722 
2022-07-17 03:00:00,2.287 
2022-07-18 03:00:00,2.675 
2022-07-19 03:00:00,2.720 
2022-07-20 03:00:00,2.873 
2022-07-21 03:00:00,546 m
2022-07-22 03:00:00,308 m
2022-07-23 03:00:00,2.856 
2022-07-24 03:00:00,285 m
2022-07-25 03:00:00,83 m
2022-07-26 03:00:00,526 m
2022-07-27 03:00:00,2.612 
2022-07-28 03:00:00,1.117 
2022-07-29 03:00:00,546 m
2022-07-30 03:00:00,293 m
2022-07-31 03:00:00,513 m
2022-08-01 03:00:00,295 m
2022-08-03 03:00:00,2.637 
2022-08-04 03:00:00,2.916 
2022-08-05 03:00:00,296 m
2022-08-06 03:00:00,295 m
2022-08-07 03:00:00,2.735 
2022-08-09 03:00:00,2.686 
2022-08-10 03:00:00,2.686 
2022-08-11 03:00:00,2.737 
2022-08-12 03:00:00,2.735 
2022-08-13 03:00:00,510 m
2022-08-14 03:00:00,665 m
2022-08-15 03:00:00,2.663 
2022-08-16 03:00:00,2.747 
2022-08-17 03:00:00,2.660 
2022-08-18 03:00:00,327 m
2022-08-19 03:00:00,530 m
2022-08-20 03:00:00,2.837 
2022-08-21 03:00:00,2.703 
2022-08-22 03:00:00,2.673 
2022-08-23 03:00:00,2.940 
2022-08-24 03:00:00,2.540 
2022-08-25 03:00:00,1 m
2022-08-26 03:00:00,2.671 
2022-08-27 03:00:00,226 m
2022-08-28 03:00:00,2.667 
2022-08-29 03:00:00,2.682 
2022-08-30 03:00:00,2.931 
2022-08-31 03:00:00,2.328 
2022-09-01 03:00:00,2.180 
2022-09-02 03:00:00,0 m
2022-09-03 03:00:00,2.658 
2022-09-04 03:00:00,2.722 
2022-09-05 03:00:00,538 m
2022-09-06 03:00:00,2.658 
2022-09-07 03:00:00,2.676 
2022-09-08 03:00:00,2.521 
2022-09-09 03:00:00,2.817 
2022-09-11 03:00:00,297 m
2022-09-12 03:00:00,2.597 
2022-09-13 03:00:00,2.751 
2022-09-14 03:00:00,2.707 
2022-09-15 03:00:00,2.595 
2022-09-17 03:00:00,492 m
2022-09-18 03:00:00,0 m
2022-09-19 03:00:00,525 m
2022-09-20 03:00:00,41 m
2022-09-21 03:00:00,500 m
2022-09-22 03:00:00,2.718 
2022-09-23 03:00:00,0 m
2022-09-24 03:00:00,0 m
2022-09-25 03:00:00,2.500 
2022-09-27 03:00:00,2.711 
2022-09-28 03:00:00,0 m
2022-09-29 03:00:00,568 m
2022-09-30 03:00:00,32 m
2022-10-01 03:00:00,495 m
2022-10-02 03:00:00,497 m
2022-10-03 03:00:00,2.750 
2022-10-04 03:00:00,2.713 
2022-10-05 03:00:00,2.681 
2022-10-06 03:00:00,247 m
2022-10-07 03:00:00,5 m
2022-10-08 03:00:00,2.673 
2022-10-09 03:00:00,2.917 
2022-10-10 03:00:00,2.701 
2022-10-11 03:00:00,2.736 
2022-10-12 03:00:00,6 m
2022-10-13 03:00:00,2.710 
2022-10-14 03:00:00,10 m
2022-10-15 03:00:00,492 m
2022-10-16 03:00:00,7 m
2022-10-17 03:00:00,8 m
2022-10-18 03:00:00,2.686 
2022-10-19 03:00:00,2.645 
2022-10-20 03:00:00,2.786 
2022-10-21 03:00:00,2 m
2022-10-22 03:00:00,6 m
2022-10-23 03:00:00,2.695 
2022-10-24 03:00:00,1 m
2022-10-25 03:00:00,2.807 
2022-10-26 03:00:00,1 m
2022-10-27 03:00:00,1 m
2022-10-28 03:00:00,3 m
2022-10-29 03:00:00,2.677 
2022-10-30 03:00:00,0 m
2022-10-31 03:00:00,2.686 
2022-11-01 03:00:00,22 m
2022-11-02 03:00:00,491 m
2022-11-03 03:00:00,2.685 
2022-11-04 03:00:00,2.686 
2022-11-05 03:00:00,252 m
2022-11-06 03:00:00,486 m
2022-11-07 03:00:00,2.725 
2022-11-08 03:00:00,478 m
2022-11-09 03:00:00,2.700 
2022-11-10 03:00:00,2.786 
2022-11-11 03:00:00,507 m
2022-11-12 03:00:00,2.698 
2022-11-13 03:00:00,3 m
2022-11-14 03:00:00,2 m
2022-11-15 03:00:00,0 m
2022-11-16 03:00:00,1 m
2022-11-17 03:00:00,492 m
2022-11-18 03:00:00,2.773 
2022-11-19 03:00:00,1 m
2022-11-20 03:00:00,540 m
2022-11-21 03:00:00,1 m
2022-11-22 03:00:00,2.732 
2022-11-23 03:00:00,2 m
2022-11-24 03:00:00,0 m
2022-11-25 03:00:00,2.811 
2022-11-26 03:00:00,0 m
2022-11-27 03:00:00,2.735 
2022-11-28 03:00:00,38 m
2022-11-29 03:00:00,0 m
2022-11-30 03:00:00,2 m
2022-12-01 03:00:00,1 m
2022-12-02 03:00:00,105 m
2022-12-03 03:00:00,2.701 
2022-12-04 03:00:00,21 m
2022-12-05 03:00:00,2.850 
2022-12-06 03:00:00,492 m
2022-12-07 03:00:00,280 m
2022-12-08 03:00:00,30 m
2022-12-09 03:00:00,2.856 
2022-12-10 03:00:00,468 m
2022-12-11 03:00:00,2.831 
2022-12-12 03:00:00,2.598 
2022-12-13 03:00:00,477 m
