"Time","49016.mode"
ON,OFF
ON,OFF
ON,OFF
ON,OFF
ON,OFF
ON,OFF
ON,OFF
ON,OFF
ON,OFF
ON,OFF
ON,OFF
ON,OFF
ON,OFF
ON,OFF
ON,OFF
ON,OFF
ON,OFF
ON,OFF
ON,OFF
ON,OFF
ON,OFF
ON,OFF
ON,OFF
ON,OFF
ON,OFF
ON,OFF
ON,OFF
ON,OFF
ON,OFF
ON,OFF
ON,OFF
ON,OFF
ON,OFF
ON,OFF
ON,OFF
ON,OFF
ON,OFF
ON,OFF
ON,OFF
ON,OFF
ON,OFF
ON,OFF
ON,OFF
ON,OFF
ON,OFF
ON,OFF
ON,OFF
ON,OFF
ON,OFF
ON,OFF
ON,OFF
ON,OFF
ON,ON
ON,ON
ON,ON
ON,OFF
ON,OFF
ON,OFF
ON,OFF
ON,OFF
ON,OFF
ON,OFF
ON,OFF
ON,OFF
ON,OFF
ON,OFF
ON,OFF
ON,OFF
ON,OFF
ON,OFF
ON,OFF
ON,OFF
ON,OFF
ON,OFF
ON,OFF
ON,OFF
ON,OFF
ON,OFF
ON,OFF
ON,OFF
ON,OFF
ON,OFF
ON,OFF
ON,OFF
ON,OFF
ON,OFF
ON,OFF
ON,OFF
ON,OFF
ON,OFF
ON,OFF
ON,OFF
ON,OFF
ON,OFF
ON,OFF
ON,OFF
ON,OFF
ON,OFF
ON,OFF
ON,OFF
ON,OFF
ON,OFF
ON,OFF
ON,OFF
ON,OFF
ON,OFF
ON,OFF
ON,OFF
ON,OFF
ON,OFF
ON,OFF
ON,OFF
ON,OFF
ON,OFF
ON,OFF
ON,OFF
ON,OFF
ON,OFF

