Time,"53385.offset, kB"
2019-02-14 16:17:38,11.988
2019-02-16 20:50:06,17.98
2019-02-20 02:58:12,10.98
2019-04-12 11:53:40,17.868
2019-06-20 00:59:00,14.116
2019-07-20 03:18:35,21.06
2019-08-16 07:13:03,8.068
2020-02-01 19:39:47,10.196
2020-02-15 10:59:18,20.22
2020-03-15 02:44:45,7.284
2020-05-02 16:54:08,3.644
2021-01-14 14:22:56,8.684
2021-01-22 05:11:39,9.86
2021-01-31 01:34:51,9.132
2021-04-07 05:23:55,7.62
2021-04-10 05:16:26,13.108
2021-04-10 06:46:34,18.428
2021-05-16 02:09:00,5.38
2021-05-17 20:25:08,6.836
2021-09-04 09:28:20,16.972
2021-09-27 10:33:14,14.844
2021-09-28 22:57:20,1.684
2021-10-27 03:15:14,3.924
2022-03-01 23:44:03,6.5
2022-09-06 00:23:53,3.7
2022-12-04 11:08:10,8.068
2022-12-19 22:52:05,4.876
2023-01-13 11:55:41,7.62
2023-02-03 01:07:35,2.916
2023-02-13 13:11:48,9.188
2023-02-17 11:16:52,15.872
2023-02-17 11:16:53,15.872
2023-02-17 11:16:58,16.128
2023-02-17 11:17:02,0.0
2023-02-17 11:17:08,0.0
2023-02-17 11:17:20,0.771
2023-02-17 11:17:30,0.003
2023-02-17 11:17:39,0.005
2023-02-17 11:17:45,0.003
2023-02-17 11:17:53,0.276
2023-02-17 11:17:58,0.0
2023-02-17 11:18:11,0.276
2023-02-17 11:18:15,0.788
2023-02-17 11:18:16,1.516
2023-02-17 11:18:17,2.3
2023-02-17 11:18:18,3.028
2023-02-17 11:18:19,3.812
2023-02-17 11:18:20,4.764
2023-02-17 11:18:21,4.932
2023-02-17 11:18:22,6.276
2023-02-17 11:18:23,7.004
2023-02-17 11:18:24,7.732
2023-02-17 11:18:25,8.572
2023-02-17 11:18:28,10.98
2023-02-17 11:18:29,11.652
2023-02-17 11:18:30,12.436
2023-02-17 11:18:31,13.388
2023-02-17 11:18:32,14.06
2023-02-17 11:18:33,14.9
2023-02-17 11:18:34,15.516
2023-02-17 11:18:35,16.356
2023-02-17 11:18:36,17.284
2023-02-17 11:18:37,18.068
2023-02-17 11:18:38,18.852
2023-02-17 11:18:39,19.58
2023-02-17 11:18:40,20.308
2023-02-17 11:18:41,21.036
2023-02-17 11:18:42,21.988
2023-02-17 11:18:43,22.772
2023-02-17 11:18:44,22.884
2023-02-17 11:19:26,0.276
2023-02-17 11:19:31,2.46
2023-02-17 12:48:19,5.716
2023-02-17 12:48:20,6.444
2023-02-17 12:48:21,7.004
2023-02-17 12:48:22,7.564
2023-02-17 12:48:24,9.3
2023-02-17 12:48:25,10.084
2023-02-17 12:48:27,11.596
2023-02-17 12:48:28,12.324
2023-02-17 12:48:29,13.276
2023-02-17 12:48:30,14.508
2023-02-17 12:48:31,4.428
2023-02-17 12:48:31,0.004
2023-02-17 12:48:32,5.156
2023-02-17 12:48:32,0.396
2023-02-17 12:48:33,17.004
2023-02-17 12:48:33,5.94
2023-02-17 12:48:33,1.124
2023-02-17 12:48:34,17.172
2023-02-17 12:48:34,6.836
2023-02-17 12:48:34,1.852
2023-02-17 12:48:35,17.844
