"Time","batt"
2021-04-23 06:22:41,7.10 V
2021-04-23 06:25:43,7.14 V
2021-04-24 04:46:48,7.02 V
2021-04-24 05:48:41,6.89 V
2021-04-24 06:18:57,7.04 V
2021-04-24 06:20:28,7.01 V
2021-04-24 07:08:47,6.97 V
2021-04-24 08:42:27,6.98 V
2021-04-24 08:43:58,6.97 V
2021-04-24 08:45:28,6.97 V
2021-04-25 04:58:07,7.16 V
2021-04-25 04:59:37,7.10 V
2021-04-25 07:02:23,7.09 V
2021-04-25 15:19:04,7.06 V
2021-04-26 03:18:48,7.15 V
2021-04-26 06:56:48,7.11 V
2021-04-27 04:28:50,7.19 V
2021-04-27 04:30:21,7.18 V
2021-04-27 04:31:51,7.15 V
2021-04-27 04:31:52,7.15 V
2021-04-27 04:33:22,7.18 V
2021-04-27 04:33:23,7.18 V
2021-04-27 04:34:53,7.16 V
2021-04-27 04:36:24,7.18 V
2021-04-27 04:50:01,7.13 V
2021-04-27 04:51:32,6.95 V
2021-04-27 06:02:43,7.18 V
2021-04-27 06:04:14,7.14 V
2021-04-27 06:07:15,7.18 V
2021-04-27 06:08:46,7.16 V
2021-04-27 19:12:50,7.09 V
2021-04-27 19:14:20,7.12 V
2021-04-28 04:44:09,7.12 V
2021-04-28 04:47:10,7.13 V
2021-04-28 08:24:55,7.07 V
2021-04-28 22:46:01,7.08 V
2021-04-29 04:18:38,7.10 V
2021-04-29 04:20:09,7.10 V
2021-04-29 04:21:39,7.09 V
2021-04-29 04:23:10,7.11 V
2021-04-29 04:24:41,7.09 V
2021-04-29 04:26:12,7.11 V
2021-04-29 04:27:42,7.11 V
2021-04-29 04:39:49,7.08 V
2021-04-29 04:41:19,6.92 V
2021-04-29 04:42:50,7.11 V
2021-04-29 16:38:07,6.95 V
2021-04-29 16:39:38,6.95 V
2021-04-30 04:14:52,7.01 V
2021-04-30 04:16:53,7.04 V
2021-04-30 04:17:54,7.02 V
2021-04-30 04:18:54,6.98 V
2021-04-30 04:19:55,7.03 V
2021-04-30 04:20:55,7.02 V
2021-04-30 04:21:56,7.01 V
2021-04-30 04:22:56,7.03 V
2021-04-30 04:34:02,7.04 V
2021-04-30 04:35:02,7.02 V
2021-04-30 04:36:03,6.98 V
2021-04-30 04:37:03,6.98 V
2021-04-30 04:38:04,7.01 V
2021-04-30 05:50:33,6.95 V
2021-04-30 05:51:33,6.95 V
2021-04-30 05:53:34,6.98 V
2021-04-30 05:54:35,6.95 V
2021-04-30 05:57:36,6.96 V
2021-04-30 09:29:36,6.90 V
2021-04-30 18:40:08,6.92 V
2021-04-30 18:42:09,6.95 V
2021-04-30 18:43:10,6.70 V
2021-04-30 18:57:16,6.86 V
2021-04-30 19:00:18,6.80 V
2021-04-30 19:01:18,6.83 V
2021-04-30 20:29:36,6.84 V
2021-04-30 20:31:37,6.93 V
2021-04-30 20:34:38,6.83 V
2021-05-01 00:10:31,6.82 V
2021-05-01 04:28:52,6.93 V
2021-05-01 04:30:53,6.87 V
2021-05-01 04:31:53,6.82 V
2021-05-01 04:32:54,6.90 V
2021-05-01 04:33:54,6.80 V
2021-05-01 17:03:38,7.08 V
2021-05-01 18:52:28,7.09 V
2021-05-01 18:54:29,7.02 V
2021-05-01 18:56:30,7.08 V
2021-05-02 04:06:21,7.27 V
2021-05-02 04:08:22,7.22 V
2021-05-02 04:09:22,7.27 V
2021-05-02 04:10:23,7.23 V
2021-05-02 04:11:23,7.23 V
2021-05-02 04:12:24,7.24 V
2021-05-02 04:13:24,7.23 V
2021-05-02 04:14:25,7.24 V
2021-05-02 04:24:30,7.24 V
2021-05-02 04:26:31,7.20 V
2021-05-02 04:28:32,7.20 V
2021-05-02 04:29:32,7.17 V
2021-05-02 05:41:06,7.24 V
2021-05-02 05:42:06,7.28 V
2021-05-02 05:44:07,7.26 V
2021-05-02 05:45:08,7.26 V
2021-05-02 05:46:08,7.23 V
2021-05-02 16:26:05,7.20 V
2021-05-02 18:49:15,7.36 V
2021-05-02 18:49:15,7.36 V
2021-05-02 18:50:16,7.36 V
2021-05-02 18:51:16,7.40 V
2021-05-02 18:51:17,7.40 V
2021-05-02 18:52:17,7.38 V
2021-05-02 18:52:17,7.38 V
2021-05-02 18:53:17,7.36 V
2021-05-02 18:54:18,7.40 V
2021-05-02 18:55:18,7.42 V
2021-05-03 04:20:02,7.65 V
2021-05-03 04:22:03,7.62 V
2021-05-03 04:23:03,7.62 V
2021-05-03 04:24:04,7.58 V
2021-05-03 04:25:04,7.57 V
2021-05-03 05:36:37,7.62 V
2021-05-03 05:38:38,7.64 V
2021-05-03 05:39:39,7.64 V
2021-05-03 05:40:39,7.66 V
2021-05-03 05:44:41,7.64 V
2021-05-03 06:28:00,7.62 V
2021-05-03 06:29:00,7.62 V
2021-05-03 11:09:28,7.80 V
2021-05-03 13:56:47,7.83 V
2021-05-03 18:43:50,7.96 V
2021-05-03 18:44:51,7.98 V
2021-05-03 18:45:51,7.96 V
2021-05-03 18:48:53,7.99 V
2021-05-04 03:12:05,8.17 V
2021-05-04 03:13:06,8.17 V
2021-05-04 04:00:29,8.23 V
2021-05-04 04:01:30,8.20 V
2021-05-04 04:03:31,8.21 V
2021-05-04 04:04:31,8.22 V
2021-05-04 04:16:39,8.24 V
2021-05-04 04:17:39,8.19 V
2021-05-04 04:18:40,8.21 V
2021-05-04 04:19:40,8.22 V
2021-05-04 05:33:12,8.22 V
2021-05-04 05:34:13,8.22 V
2021-05-04 05:35:13,8.24 V
2021-05-04 05:36:14,8.21 V
2021-05-04 05:37:14,8.24 V
2021-05-04 05:39:15,8.23 V
2021-05-04 05:40:16,8.23 V
2021-05-04 05:41:17,8.24 V
2021-05-04 12:01:36,8.25 V
2021-05-04 12:03:37,8.25 V
2021-05-04 18:39:17,8.23 V
2021-05-04 18:40:18,8.21 V
2021-05-04 18:41:18,8.23 V
2021-05-04 18:42:18,8.25 V
2021-05-05 01:28:31,8.22 V
2021-05-05 01:28:31,8.22 V
2021-05-05 03:59:08,8.24 V
2021-05-05 04:11:14,8.24 V
2021-05-05 04:12:14,8.24 V
2021-05-05 04:12:15,8.24 V
2021-05-05 04:13:15,8.21 V
2021-05-05 04:14:15,8.24 V
2021-05-05 04:15:16,8.25 V
2021-05-05 04:15:16,8.25 V
2021-05-05 04:16:16,8.22 V
2021-05-05 05:27:49,8.24 V
2021-05-05 05:28:49,8.24 V
2021-05-05 05:29:50,8.21 V
2021-05-05 05:30:50,8.25 V
2021-05-05 05:31:51,8.24 V
2021-05-05 05:32:51,8.25 V
2021-05-05 05:33:52,8.25 V
2021-05-05 05:35:53,8.25 V
2021-05-05 06:20:11,8.19 V
2021-05-05 07:53:20,8.20 V
