Time,47959.rf_packets_transmitted
2021-04-23 06:22:41,148468
2021-04-23 06:25:43,148472
2021-04-24 04:46:48,153844
2021-04-24 05:48:41,153942
2021-04-24 06:18:57,153982
2021-04-24 06:20:28,153984
2021-04-24 07:08:47,154048
2021-04-24 08:42:27,154173
2021-04-24 08:43:58,154175
2021-04-24 08:45:28,154177
2021-04-25 04:58:07,158155
2021-04-25 04:59:37,158177
2021-04-25 07:02:23,158330
2021-04-25 15:19:04,159506
2021-04-26 03:18:48,161786
2021-04-26 06:56:48,162117
2021-04-27 04:28:50,167384
2021-04-27 04:30:21,167386
2021-04-27 04:31:51,167388
2021-04-27 04:31:52,167388
2021-04-27 04:33:22,167390
2021-04-27 04:33:23,167390
2021-04-27 04:34:53,167392
2021-04-27 04:36:24,167394
2021-04-27 04:50:01,167412
2021-04-27 04:51:32,167427
2021-04-27 06:02:43,167524
2021-04-27 06:04:14,167526
2021-04-27 06:07:15,167530
2021-04-27 06:08:46,167532
2021-04-27 19:12:50,171060
2021-04-27 19:14:20,171062
2021-04-28 04:44:09,173423
2021-04-28 04:47:10,173434
2021-04-28 08:24:55,173724
2021-04-28 22:46:01,176191
2021-04-29 04:18:38,179298
2021-04-29 04:20:09,179300
2021-04-29 04:21:39,179302
2021-04-29 04:23:10,179304
2021-04-29 04:24:41,179306
2021-04-29 04:26:12,179308
2021-04-29 04:27:42,179310
2021-04-29 04:39:49,179326
2021-04-29 04:41:19,179332
2021-04-29 04:42:50,179345
2021-04-29 16:38:07,181994
2021-04-29 16:39:38,181996
2021-04-30 04:14:52,185037
2021-04-30 04:16:53,185042
2021-04-30 04:17:54,185043
2021-04-30 04:18:54,185046
2021-04-30 04:19:55,185048
2021-04-30 04:20:55,185049
2021-04-30 04:21:56,185052
2021-04-30 04:22:56,185054
2021-04-30 04:34:02,185076
2021-04-30 04:35:02,185078
2021-04-30 04:36:03,185079
2021-04-30 04:37:03,185082
2021-04-30 04:38:04,185093
2021-04-30 05:50:33,185244
2021-04-30 05:51:33,185246
2021-04-30 05:53:34,185250
2021-04-30 05:54:35,185252
2021-04-30 05:57:36,185258
2021-04-30 09:29:36,185680
2021-04-30 18:40:08,188106
2021-04-30 18:42:09,188110
2021-04-30 18:43:10,188113
2021-04-30 18:57:16,188140
2021-04-30 19:00:18,188149
2021-04-30 19:01:18,188152
2021-04-30 20:29:36,188290
2021-04-30 20:31:37,188294
2021-04-30 20:34:38,188300
2021-05-01 00:10:31,188682
2021-05-01 04:28:52,189486
2021-05-01 04:30:53,189489
2021-05-01 04:31:53,189492
2021-05-01 04:32:54,189498
2021-05-01 04:33:54,189507
2021-05-01 17:03:38,191421
2021-05-01 18:52:28,191604
2021-05-01 18:54:29,191607
2021-05-01 18:56:30,191611
2021-05-02 04:06:21,193772
2021-05-02 04:08:22,193775
2021-05-02 04:09:22,193777
2021-05-02 04:10:23,193778
2021-05-02 04:11:23,193780
2021-05-02 04:12:24,193782
2021-05-02 04:13:24,193783
2021-05-02 04:14:25,193785
2021-05-02 04:24:30,193802
2021-05-02 04:26:31,193805
2021-05-02 04:28:32,193820
2021-05-02 04:29:32,193833
2021-05-02 05:41:06,193953
2021-05-02 05:42:06,193955
2021-05-02 05:44:07,193958
2021-05-02 05:45:08,193960
2021-05-02 05:46:08,193961
2021-05-02 16:26:05,195352
2021-05-02 18:49:15,195590
2021-05-02 18:49:15,195590
2021-05-02 18:50:16,195592
2021-05-02 18:51:16,195595
2021-05-02 18:51:17,195595
2021-05-02 18:52:17,195596
2021-05-02 18:52:17,195596
2021-05-02 18:53:17,195598
2021-05-02 18:54:18,195600
2021-05-02 18:55:18,195601
2021-05-03 04:20:02,197247
2021-05-03 04:22:03,197250
2021-05-03 04:23:03,197254
2021-05-03 04:24:04,197259
2021-05-03 04:25:04,197266
2021-05-03 05:36:37,197385
2021-05-03 05:38:38,197388
2021-05-03 05:39:39,197390
2021-05-03 05:40:39,197392
2021-05-03 05:44:41,197398
2021-05-03 06:28:00,197471
2021-05-03 06:29:00,197473
2021-05-03 11:09:28,198298
2021-05-03 13:56:47,199571
2021-05-03 18:43:50,200574
2021-05-03 18:44:51,200575
2021-05-03 18:45:51,200577
2021-05-03 18:48:53,200582
2021-05-04 03:12:05,201700
2021-05-04 03:13:06,201701
2021-05-04 04:00:29,201781
2021-05-04 04:01:30,201782
2021-05-04 04:03:31,201786
2021-05-04 04:04:31,201787
2021-05-04 04:16:39,201808
2021-05-04 04:17:39,201809
2021-05-04 04:18:40,201811
2021-05-04 04:19:40,201813
2021-05-04 05:33:12,201941
2021-05-04 05:34:13,201942
2021-05-04 05:35:13,201944
2021-05-04 05:36:14,201946
2021-05-04 05:37:14,201947
2021-05-04 05:39:15,201951
2021-05-04 05:40:16,201952
2021-05-04 05:41:17,201954
2021-05-04 12:01:36,202906
2021-05-04 12:03:37,202909
2021-05-04 18:39:17,205469
2021-05-04 18:40:18,205471
2021-05-04 18:41:18,205474
2021-05-04 18:42:18,205477
2021-05-05 01:28:31,206841
2021-05-05 01:28:31,206841
2021-05-05 03:59:08,207595
2021-05-05 04:11:14,207615
2021-05-05 04:12:14,207617
2021-05-05 04:12:15,207617
2021-05-05 04:13:15,207618
2021-05-05 04:14:15,207620
2021-05-05 04:15:16,207624
2021-05-05 04:15:16,207624
2021-05-05 04:16:16,207625
2021-05-05 05:27:49,207744
2021-05-05 05:28:49,207746
2021-05-05 05:29:50,207747
2021-05-05 05:30:50,207749
2021-05-05 05:31:51,207751
2021-05-05 05:32:51,207752
2021-05-05 05:33:52,207754
2021-05-05 05:35:53,207757
2021-05-05 06:20:11,207831
2021-05-05 07:53:20,207986
2021-05-05 07:54:20,207988
2021-05-05 07:54:20,207988
2021-05-05 07:55:20,207989
2021-05-05 07:55:20,207989
2021-05-05 07:56:21,207991
2021-05-05 16:44:35,211022
2021-05-05 16:46:36,211026
2021-05-05 16:47:36,211027
2021-05-05 18:35:26,211207
2021-05-05 18:36:26,211210
2021-05-05 18:37:26,211212
2021-05-05 18:38:26,211214
2021-05-06 04:05:54,214090
2021-05-06 04:05:56,214090
2021-05-06 04:06:56,214092
2021-05-06 04:08:57,214095
2021-05-06 04:09:58,214097
2021-05-06 04:10:58,214099
2021-05-06 04:11:59,214100
2021-05-06 04:13:59,214104
2021-05-06 05:24:30,214221
2021-05-06 05:25:31,214222
2021-05-06 05:26:31,214224
2021-05-06 05:27:32,214226
2021-05-06 05:28:32,214227
2021-05-06 05:29:33,214229
2021-05-06 05:30:33,214231
2021-05-06 05:31:34,214232
2021-05-06 06:14:52,214304
2021-05-06 07:47:34,214459
2021-05-06 07:49:34,214463
2021-05-06 07:49:35,214463
2021-05-06 07:50:35,214464
2021-05-06 07:51:35,214466
2021-05-07 03:45:09,219022
2021-05-07 03:46:10,219023
2021-05-07 03:49:12,219028
2021-05-07 03:50:12,219030
2021-05-07 03:51:13,219032
2021-05-07 05:18:52,219177
2021-05-07 05:20:53,219180
2021-05-07 05:21:54,219182
2021-05-07 05:22:54,219184
2021-05-07 05:23:55,219185
2021-05-07 05:24:55,219187
2021-05-07 05:25:56,219189
2021-05-07 05:26:56,219190
2021-05-07 07:43:13,219417
2021-05-07 07:45:14,219421
2021-05-07 07:46:14,219423
2021-05-07 07:46:14,219423
2021-05-07 07:47:14,219426
2021-05-07 18:29:35,223252
2021-05-07 23:35:24,223760
2021-05-08 03:56:58,225431
2021-05-08 03:57:59,225433
2021-05-08 03:58:00,225433
2021-05-08 03:58:59,225435
2021-05-08 03:59:00,225435
2021-05-08 04:00:00,225436
2021-05-08 04:00:00,225436
2021-05-08 04:01:00,225438
2021-05-08 04:01:01,225438
2021-05-08 04:02:01,225440
2021-05-08 04:02:01,225440
2021-05-08 04:03:02,225441
2021-05-08 04:04:02,225443
2021-05-08 07:40:39,225804
2021-05-08 07:41:39,225805
2021-05-08 07:42:40,225807
2021-05-08 08:56:15,225929
2021-05-08 08:57:15,225931
2021-05-08 23:30:21,227683
2021-05-09 03:54:42,230649
2021-05-09 03:55:43,230651
2021-05-09 03:57:44,230654
2021-05-09 03:58:44,230656
2021-05-09 05:29:24,230808
2021-05-09 05:32:26,230813
2021-05-09 05:34:26,230819
2021-05-09 07:34:20,231018
2021-05-09 07:34:20,231018
2021-05-09 07:35:20,231020
2021-05-09 07:36:21,231022
2021-05-09 07:37:21,231026
2021-05-09 07:38:21,231028
2021-05-09 23:29:29,234832
2021-05-09 23:30:30,234834
2021-05-10 02:36:33,235384
2021-05-10 03:49:07,235578
2021-05-10 03:50:08,235580
2021-05-10 03:51:08,235582
2021-05-10 03:52:09,235583
2021-05-10 03:53:09,235585
2021-05-10 07:31:45,235950
2021-05-10 07:32:45,235951
2021-05-10 23:24:55,240606
2021-05-10 23:25:55,240608
2021-05-10 23:26:55,240609
2021-05-10 23:29:56,240614
2021-05-11 02:31:22,241857
2021-05-11 03:45:02,242399
2021-05-11 03:46:02,242401
2021-05-11 05:54:09,242615
2021-05-11 07:25:51,242768
2021-05-11 07:27:52,242771
2021-05-11 07:28:52,242773
2021-05-11 07:28:52,242773
2021-05-11 07:29:52,242774
2021-05-11 10:37:47,243179
2021-05-12 03:40:52,247277
2021-05-12 03:41:52,247278
2021-05-12 04:57:27,247404
2021-05-12 04:58:27,247405
2021-05-12 04:59:28,247407
2021-05-12 05:00:28,247409
2021-05-12 05:01:29,247410
2021-05-12 05:02:29,247412
2021-05-12 05:03:30,247414
2021-05-12 05:04:30,247415
2021-05-12 05:05:31,247417
2021-05-12 05:15:35,247434
2021-05-12 05:20:37,247442
2021-05-12 06:32:35,247562
2021-05-12 06:33:36,247564
2021-05-12 06:34:36,247565
2021-05-12 06:35:37,247567
2021-05-13 00:52:40,251144
2021-05-13 05:15:49,251585
2021-05-13 07:16:44,251705
2021-05-13 07:17:44,251706
2021-05-13 07:17:45,251706
2021-05-13 07:18:45,251707
2021-05-13 07:19:45,251708
2021-05-13 07:19:45,251708
2021-05-13 07:20:46,251709
2021-05-13 07:21:46,251710
2021-05-13 07:21:46,251710
2021-05-14 03:36:11,254534
2021-05-14 03:37:11,254535
2021-05-14 03:38:12,254537
2021-05-14 04:48:43,254655
2021-05-14 04:49:44,254657
2021-05-14 04:50:45,254658
2021-05-14 04:51:45,254660
2021-05-14 04:52:46,254662
2021-05-14 04:53:46,254663
2021-05-14 04:54:47,254665
2021-05-14 04:55:47,254667
2021-05-14 06:22:26,254810
2021-05-14 06:23:26,254812
2021-05-14 06:24:27,254814
2021-05-14 06:25:27,254815
2021-05-14 07:11:47,254892
2021-05-14 07:12:47,254894
2021-05-14 07:13:48,254896
2021-05-14 07:13:48,254896
2021-05-14 18:35:55,256417
2021-05-15 00:41:56,257043
2021-05-15 03:29:17,257451
2021-05-15 03:30:17,257453
2021-05-15 03:31:18,257454
2021-05-15 03:32:18,257456
2021-05-15 07:07:03,257814
2021-05-15 13:10:43,260038
2021-05-16 04:59:17,262972
2021-05-16 05:00:17,262974
2021-05-16 05:01:18,262975
2021-05-16 05:02:18,262980
2021-05-16 07:04:12,263183
2021-05-16 07:05:13,263185
2021-05-16 07:06:13,263187
2021-05-16 08:37:55,263339
2021-05-17 00:35:18,265418
2021-05-17 00:35:18,265418
2021-05-17 00:36:37,265457
2021-05-17 00:37:37,265459
2021-05-17 00:37:37,265459
2021-05-17 00:39:16,265511
2021-05-17 04:33:50,266546
2021-05-17 04:34:50,266548
2021-05-17 04:35:51,266549
2021-05-17 04:36:51,266551
2021-05-17 04:37:52,266553
2021-05-17 04:38:52,266554
2021-05-17 04:39:53,266556
2021-05-17 04:40:53,266558
2021-05-17 04:41:54,266559
2021-05-17 04:42:55,266561
2021-05-17 06:14:35,266714
2021-05-17 06:15:36,266716
2021-05-17 06:16:37,266718
2021-05-17 11:26:57,267716
2021-05-18 00:31:30,270494
2021-05-18 03:39:29,272719
2021-05-18 04:49:04,272835
2021-05-18 04:51:03,272838
2021-05-18 04:52:04,272840
2021-05-18 04:53:04,272842
2021-05-18 06:05:37,272962
2021-05-18 06:06:37,272964
2021-05-18 06:07:38,272966
2021-05-18 06:08:38,272967
2021-05-18 06:09:39,272969
2021-05-18 06:10:39,272971
2021-05-18 06:11:40,272972
2021-05-18 06:54:58,273044
2021-05-19 01:55:29,277423
2021-05-19 01:56:30,277425
2021-05-19 04:27:30,277746
2021-05-19 04:28:30,277747
2021-05-19 04:29:31,277749
2021-05-19 04:30:32,277751
2021-05-19 04:31:32,277752
2021-05-19 04:32:33,277754
2021-05-19 04:33:33,277756
2021-05-19 04:46:40,277778
2021-05-19 04:47:40,277788
2021-05-19 04:48:41,277790
2021-05-19 04:49:41,277792
2021-05-19 06:04:13,277915
2021-05-19 06:05:14,277917
2021-05-19 06:06:14,277919
2021-05-19 06:07:15,277920
2021-05-19 06:08:15,277922
2021-05-19 06:48:32,277989
2021-05-19 09:42:50,278279
2021-05-19 09:43:50,278281
2021-05-19 09:44:51,278282
2021-05-19 12:49:00,279142
2021-05-19 12:52:47,279556
2021-05-20 04:20:30,284244
2021-05-20 04:21:31,284246
2021-05-20 04:23:32,284249
2021-05-20 04:24:32,284251
2021-05-20 04:25:33,284252
2021-05-20 04:26:34,284255
2021-05-20 04:27:34,284257
2021-05-20 04:28:35,284258
2021-05-20 05:56:15,284413
2021-05-20 05:57:15,284415
2021-05-20 06:00:17,284420
2021-05-20 06:01:18,284421
2021-05-20 06:02:18,284423
2021-05-20 06:03:19,284425
2021-05-20 06:47:37,284498
2021-05-20 09:35:52,284778
2021-05-21 04:36:40,291783
2021-05-21 04:37:40,291785
2021-05-21 04:38:41,291791
2021-05-21 04:39:42,291808
2021-05-21 05:51:12,291927
2021-05-21 05:52:13,291928
2021-05-21 05:53:13,291930
2021-05-21 05:55:14,291933
2021-05-21 05:56:15,291935
2021-05-21 05:57:15,291937
2021-05-21 05:58:16,291938
2021-05-21 09:30:51,292292
