Time,47959.obc_uptime_total
2021-04-23 06:23:05,2408025
2021-04-24 05:48:35,2492325
2021-04-24 05:51:35,2492505
2021-04-24 06:18:36,2494125
2021-04-24 06:20:05,2494214
2021-04-24 07:06:34,2497003
2021-04-24 07:08:04,2497093
2021-04-24 08:42:34,2502761
2021-04-24 08:44:04,2502851
2021-04-24 08:45:35,2502941
2021-04-24 08:47:05,2503031
2021-04-24 11:32:04,2512927
2021-04-24 13:06:35,2518595
2021-04-25 00:36:38,2559984
2021-04-25 02:13:42,2565805
2021-04-25 02:13:42,2565805
2021-04-25 04:58:24,2575685
2021-04-25 07:02:34,2583133
2021-04-25 07:05:06,2583285
2021-04-25 13:00:39,2604618
2021-04-25 13:03:39,2604798
2021-04-25 13:03:39,2604798
2021-04-25 15:17:12,2612808
2021-04-25 15:18:42,2612898
2021-04-25 15:21:42,2613078
2021-04-26 00:32:25,2646108
2021-04-26 02:05:27,2651688
2021-04-26 02:08:27,2651868
2021-04-26 02:08:27,2651868
2021-04-26 03:18:15,2656053
2021-04-26 03:19:44,2656142
2021-04-26 11:21:06,2685012
2021-04-26 12:55:38,2690682
2021-04-26 12:59:34,2690918
2021-04-27 00:28:59,2732268
2021-04-27 02:02:56,2737903
2021-04-27 04:29:35,2746698
2021-04-27 04:31:05,2746788
2021-04-27 04:32:34,2746878
2021-04-27 04:32:35,2746878
2021-04-27 04:34:05,2746968
2021-04-27 04:35:35,2747058
2021-04-27 04:37:05,2747148
2021-04-27 04:50:35,2747958
2021-04-27 04:52:06,2748048
2021-04-27 06:02:35,2752276
2021-04-27 06:04:06,2752366
2021-04-27 06:07:06,2752546
2021-04-27 06:08:36,2752636
2021-04-27 11:16:05,2771079
2021-04-27 12:53:35,2776927
2021-04-28 01:59:37,2824071
2021-04-28 03:31:32,2829584
2021-04-28 04:43:32,2833902
2021-04-28 04:46:32,2834082
2021-04-28 04:48:03,2834172
2021-04-28 08:27:02,2847307
2021-04-28 11:13:32,2857293
2021-04-28 11:16:32,2857473
2021-04-28 12:49:31,2863050
2021-04-29 00:22:30,2904620
2021-04-29 01:57:02,2910290
2021-04-29 04:21:03,2918927
2021-04-29 04:22:33,2919017
2021-04-29 04:24:03,2919107
2021-04-29 04:25:33,2919197
2021-04-29 04:27:03,2919287
2021-04-29 04:28:33,2919377
2021-04-29 04:37:34,2919917
2021-04-29 04:40:34,2920097
2021-04-29 04:43:34,2920277
2021-04-29 05:54:03,2924505
2021-04-29 05:55:33,2924595
2021-04-29 06:00:03,2924865
2021-04-29 11:10:32,2943489
2021-04-29 12:43:32,2949068
2021-04-29 12:45:02,2949158
2021-04-29 12:45:02,2949158
2021-04-29 12:46:32,2949248
2021-04-30 00:15:06,2990547
2021-04-30 00:16:36,2990637
2021-04-30 01:48:06,2996125
2021-04-30 01:49:36,2996215
2021-04-30 01:49:36,2996215
2021-04-30 01:51:06,2996305
2021-04-30 01:51:06,2996305
2021-04-30 01:51:06,2996305
2021-04-30 01:52:36,2996395
2021-04-30 03:21:26,3001703
2021-04-30 03:22:36,3001793
2021-04-30 04:15:06,3004941
2021-04-30 04:16:36,3005031
2021-04-30 04:18:06,3005121
2021-04-30 04:19:36,3005211
2021-04-30 04:21:06,3005301
2021-04-30 04:22:36,3005391
2021-04-30 04:34:37,3006111
2021-04-30 04:36:07,3006201
2021-04-30 04:37:38,3006291
2021-04-30 05:54:07,3010880
2021-04-30 11:07:29,3029670
2021-04-30 12:42:49,3035325
2021-04-30 18:38:42,3054513
2021-04-30 18:40:10,3054601
2021-04-30 18:41:38,3054689
2021-04-30 18:43:09,3054777
2021-04-30 20:31:46,3060757
2021-05-01 00:10:17,3072607
2021-05-01 00:11:44,3072695
2021-05-01 04:28:50,3086077
2021-05-01 04:31:53,3086253
2021-05-01 04:33:09,3086341
2021-05-01 12:36:21,3111868
2021-05-01 18:54:39,3134545
2021-05-01 18:56:07,3134633
2021-05-02 01:40:30,3158888
2021-05-02 01:41:59,3158977
2021-05-02 01:43:32,3159070
2021-05-02 03:15:03,3164559
2021-05-02 04:06:04,3167618
2021-05-02 04:07:34,3167708
