"Time","station","count"
2021-03-22 13:00:00,14FRS3034,22
2021-03-22 13:00:00,3B8DU,139
2021-03-22 13:00:00,52HancockSt,1
2021-03-22 13:00:00,9V1KG,149
2021-03-22 13:00:00,AAUSAT GND,7
2021-03-22 13:00:00,AM_nml,2
2021-03-22 13:00:00,AarhusUniversity_UHF Satellite Ground Station,35
2021-03-22 13:00:00,Aarsta,1
2021-03-22 13:00:00,Aistech_Colombia,6
2021-03-22 13:00:00,Amfortas,1
2021-03-22 13:00:00,Apomahon,140
2021-03-22 13:00:00,ArgusNavis,171
2021-03-22 13:00:00,Avia,1
2021-03-22 13:00:00,BV2DQ /WJ2I Beam Ant,5
2021-03-22 13:00:00,BV2DQ /WJ2I Beam Taiwan,5
2021-03-22 13:00:00,BV5PD,1
2021-03-22 13:00:00,BX1AD,45
2021-03-22 13:00:00,BX2ABT,22
2021-03-22 13:00:00,BX6AP station 2,1
2021-03-22 13:00:00,Binar-SatNOGS,17
2021-03-22 13:00:00,Bronco Space Ground Station - Main,2
2021-03-22 13:00:00,"CA,USA-Fixed UHF",8
2021-03-22 13:00:00,CCERES Ground Station,8
2021-03-22 13:00:00,CGBSAT-UHF,26
2021-03-22 13:00:00,CSPD-VA3TZA,7
2021-03-22 13:00:00,CSPDHQ,2
2021-03-22 13:00:00,CWVRPi3uhf,21
2021-03-22 13:00:00,CX8AF,7
2021-03-22 13:00:00,DB0RV,1
2021-03-22 13:00:00,DB1VQ,2
2021-03-22 13:00:00,DEOS_RALF,1
2021-03-22 13:00:00,DEX-ONE,2
2021-03-22 13:00:00,DG9MA,12
2021-03-22 13:00:00,DK0SB-UHF-Omni,22
2021-03-22 13:00:00,DK3WN,91
2021-03-22 13:00:00,DL1UNX RTL SAT,43
2021-03-22 13:00:00,DL4EEC-SAT,3
2021-03-22 13:00:00,DL4PD,3
2021-03-22 13:00:00,DL5FAB VHF/UHF,10
2021-03-22 13:00:00,DL7NDR,184
2021-03-22 13:00:00,Drachten,360
2021-03-22 13:00:00,Dunchurch,15
2021-03-22 13:00:00,EA1IW,66
2021-03-22 13:00:00,EA1JBS - StationPueblu1,6
2021-03-22 13:00:00,EA3AGB,20
2021-03-22 13:00:00,EA3GKP Platja d'Aro. Girona,4
2021-03-22 13:00:00,EA3GKP Taucho-Tenerife,2
2021-03-22 13:00:00,EA4BPN-1,1
2021-03-22 13:00:00,EA4SG,83
2021-03-22 13:00:00,EA5WA,9
2021-03-22 13:00:00,EA5WA Pobla Llarga,242
2021-03-22 13:00:00,EA5WA QFH,2
2021-03-22 13:00:00,EA5WA QFH UHF Albacete,16
2021-03-22 13:00:00,EA6TC,213
2021-03-22 13:00:00,EI0RSI - Radio Scouting Ireland,2
2021-03-22 13:00:00,EI1766,10
2021-03-22 13:00:00,EI1JOTA - 1st Meath Navan Scout Group,1
2021-03-22 13:00:00,EI9HWB,2
2021-03-22 13:00:00,EIRSAT-1 GS - UCD Physics,6440
2021-03-22 13:00:00,ESA Academy @ESTEC,61
2021-03-22 13:00:00,ESL_lab_Brno,2086
2021-03-22 13:00:00,EU1AEM,2224
2021-03-22 13:00:00,EU1XX,5006
2021-03-22 13:00:00,EX-EN90-UHF,1
2021-03-22 13:00:00,F4KLD UNIVERSITE PAUL SABATIER / CSUT,4
2021-03-22 13:00:00,F5WK,764
2021-03-22 13:00:00,F6HDW,107
2021-03-22 13:00:00,F6OBT,201
2021-03-22 13:00:00,FH-1,24
2021-03-22 13:00:00,FHAB GS1,31
2021-03-22 13:00:00,FHWN PEGASUS Test,11
2021-03-22 13:00:00,FHWN Test,42
2021-03-22 13:00:00,FHWN UHF,69
2021-03-22 13:00:00,Feodosia,16
2021-03-22 13:00:00,G7GQW,25
2021-03-22 13:00:00,GAO UHF,1877
2021-03-22 13:00:00,GEOSCAN-X-YAGI-R1BKP,29
2021-03-22 13:00:00,GS 1 Development Tests,1
2021-03-22 13:00:00,GS 2 LKBA,13
2021-03-22 13:00:00,GYM-PU,25
2021-03-22 13:00:00,Goldford,3
2021-03-22 13:00:00,Goldford M0ROJ,3
2021-03-22 13:00:00,Ground Station Alpha-SL,1
2021-03-22 13:00:00,Grove-UHF-01,1
2021-03-22 13:00:00,HA3BT-2.0,9
2021-03-22 13:00:00,HS3LSE,11
2021-03-22 13:00:00,Hackerspace.gr 1,23
2021-03-22 13:00:00,Harwell,1
2021-03-22 13:00:00,IK8OZV,8
2021-03-22 13:00:00,ITR UHF,2704
2021-03-22 13:00:00,ITSDLab SatNOGS,1
2021-03-22 13:00:00,IU2JWG - Oltrepò Space Ground Station OMNI,10
2021-03-22 13:00:00,IU2JWG - San Siro Space Ground Station OMNI,3
2021-03-22 13:00:00,InSight 1 Ground Station,2
2021-03-22 13:00:00,JA0CAW,72
2021-03-22 13:00:00,JA1GDE,1106
2021-03-22 13:00:00,JA1HCB,32
2021-03-22 13:00:00,JA5BLZ,382
2021-03-22 13:00:00,JA6PL,87
2021-03-22 13:00:00,JE6VHE UHF QFH,2
2021-03-22 13:00:00,JH4XSY-pi,18
2021-03-22 13:00:00,JMUW - Raumfahrttechnik - UHF,16
2021-03-22 13:00:00,Jim UHF,75
2021-03-22 13:00:00,Jim UHF 2,1
2021-03-22 13:00:00,K2ZA,1
2021-03-22 13:00:00,K4KDR,79
2021-03-22 13:00:00,KB6LTY,3
2021-03-22 13:00:00,KB9JHU,15
2021-03-22 13:00:00,KD9MSN,1
2021-03-22 13:00:00,KF6RLP,4
2021-03-22 13:00:00,KI6TSF-1,9
2021-03-22 13:00:00,"KK6NOW - Palm Desert, CA, US",1
2021-03-22 13:00:00,KU4YJ,1
2021-03-22 13:00:00,LA4TSA,118
2021-03-22 13:00:00,LU1KCQ Home,11
2021-03-22 13:00:00,LW2DYB,68
2021-03-22 13:00:00,LX2MT,535
2021-03-22 13:00:00,LamaBleu,4
2021-03-22 13:00:00,Leonidio,8
2021-03-22 13:00:00,Lovets,102
2021-03-22 13:00:00,M0EYT / 2E0NOG,11
2021-03-22 13:00:00,M0GKK,6913
2021-03-22 13:00:00,M0GKK-BB,4312
2021-03-22 13:00:00,M0GLU,132
2021-03-22 13:00:00,M0ZJO Ground Station 2 - AHT,15
2021-03-22 13:00:00,M2Mstation,1
2021-03-22 13:00:00,M7CBR - Experimental,1
2021-03-22 13:00:00,M7RED,257
2021-03-22 13:00:00,MAUFOX,28
2021-03-22 13:00:00,MAUSyagi,2916
2021-03-22 13:00:00,MAUSyagi-AK,49
2021-03-22 13:00:00,MAUSyagi-CO,2
2021-03-22 13:00:00,MUT Ground station,1
2021-03-22 13:00:00,MVP Aerospace Highland Ground Station,4
2021-03-22 13:00:00,MXL CSRB Station,234
2021-03-22 13:00:00,MXL-LowCostGS,2
2021-03-22 13:00:00,Malyi UHF,37
2021-03-22 13:00:00,Marathon Library,6
2021-03-22 13:00:00,Mogielnica - UHF,127
2021-03-22 13:00:00,N1ESK-Loudon,33
2021-03-22 13:00:00,N5CNB-UHF,5
2021-03-22 13:00:00,N5ZKK-UHF-HELICAL,558
2021-03-22 13:00:00,N6RFM,61
2021-03-22 13:00:00,"N9CQQ-EN52-Muskego, WI",144
2021-03-22 13:00:00,N9NFB UHF,1
2021-03-22 13:00:00,NU8M QTH,9
2021-03-22 13:00:00,NewUlm-UHF-2,29
2021-03-22 13:00:00,Not Quite ESL,21
2021-03-22 13:00:00,NuSpace SN2,4
2021-03-22 13:00:00,OE6EUR15,136
2021-03-22 13:00:00,OE6ISP,63
2021-03-22 13:00:00,OE6ISP_1,78
2021-03-22 13:00:00,OE6ISP_2,17
2021-03-22 13:00:00,OE6ISP_LimeSDR,34
2021-03-22 13:00:00,OK2KVL,288
2021-03-22 13:00:00,OK2PNQ,2
2021-03-22 13:00:00,OK2PNQ_omni_Letonice,31
2021-03-22 13:00:00,OLIVIER F6OBT,1
2021-03-22 13:00:00,OM7AAK,16374
2021-03-22 13:00:00,ON7IO indoor,5
2021-03-22 13:00:00,OZ7SAT,19
2021-03-22 13:00:00,Ohio University Airport KUNI,20
2021-03-22 13:00:00,PA2DX_uhf,26
2021-03-22 13:00:00,PA2LEN-UHF,1
2021-03-22 13:00:00,PARSEC 1,2
2021-03-22 13:00:00,PB8DX,2
2021-03-22 13:00:00,PE0SAT,591
2021-03-22 13:00:00,PE0SAT-11,793
2021-03-22 13:00:00,PE0SAT-12,177
2021-03-22 13:00:00,PE0SAT-21,423
2021-03-22 13:00:00,PE0SAT-O,42
2021-03-22 13:00:00,PE0SAT-U,15
2021-03-22 13:00:00,PE0SAT-Y,9
2021-03-22 13:00:00,PE1RXU,2
2021-03-22 13:00:00,PE2BZ-firstsetup,4
2021-03-22 13:00:00,PF_DE_PL_ UHF_CROSS_DIPOLE,79
2021-03-22 13:00:00,PF_DE_UHF_CROSS_DIPOLE,14
2021-03-22 13:00:00,PF_DE_UHF_X_DIPOLE,27
2021-03-22 13:00:00,PF_DE_UHF_Yagi,2
2021-03-22 13:00:00,PF_DE_Yagi_UHF,10
2021-03-22 13:00:00,PG-GS1,1
2021-03-22 13:00:00,PI9CAM,6
2021-03-22 13:00:00,PMD-UHF,10
2021-03-22 13:00:00,PV8DX,60
