Time,"49069.mode, V"
2021-08-12 03:00:00,8.31
2021-08-19 03:00:00,8.31
2021-08-26 03:00:00,8.31
2021-09-02 03:00:00,8.31
2021-09-09 03:00:00,8.31
2021-09-16 03:00:00,8.31
2021-09-23 03:00:00,8.31
2021-09-30 03:00:00,8.31
2021-10-07 03:00:00,8.31
2021-10-14 03:00:00,8.31
2021-10-21 03:00:00,8.31
2021-10-28 03:00:00,8.26
2021-11-04 03:00:00,8.31
2021-11-11 03:00:00,8.31
2021-11-18 03:00:00,8.3
2021-11-25 03:00:00,8.31
2021-12-02 03:00:00,8.31
2021-12-09 03:00:00,8.3
2021-12-16 03:00:00,8.31
2021-12-23 03:00:00,8.31
2021-12-30 03:00:00,8.31
2022-01-06 03:00:00,8.31
2022-01-13 03:00:00,8.31
2022-01-20 03:00:00,8.31
2022-01-27 03:00:00,8.31
2022-02-03 03:00:00,8.31
2022-02-10 03:00:00,8.3
2022-02-17 03:00:00,8.31
2022-02-24 03:00:00,8.31
2022-03-03 03:00:00,8.31
2022-03-10 03:00:00,8.31
2022-03-17 03:00:00,8.3
2022-03-24 03:00:00,8.3
2022-03-31 03:00:00,8.3
2022-04-07 03:00:00,8.3
2022-04-14 03:00:00,8.3
2022-04-21 03:00:00,8.3
2022-04-28 03:00:00,8.3
2022-05-05 03:00:00,8.31
2022-05-12 03:00:00,8.31
2022-05-19 03:00:00,8.31
2022-05-26 03:00:00,8.34
2022-06-09 03:00:00,8.23
2022-06-16 03:00:00,8.28
2022-06-23 03:00:00,8.32
2022-06-30 03:00:00,8.29
2022-07-07 03:00:00,8.34
2022-07-21 03:00:00,8.34
2022-07-28 03:00:00,8.34
2022-08-04 03:00:00,8.33
2022-08-25 03:00:00,8.33
2022-09-01 03:00:00,8.33
2022-09-15 03:00:00,8.16
2022-10-06 03:00:00,8.33
2022-10-13 03:00:00,8.29
2022-12-08 03:00:00,8.33
2022-12-15 03:00:00,8.34
2022-12-22 03:00:00,8.34
2022-12-29 03:00:00,8.33
2023-01-05 03:00:00,8.33
2023-03-16 03:00:00,8.34
2023-03-23 03:00:00,8.34
2023-03-30 03:00:00,8.29
2023-07-20 03:00:00,8.28
2023-09-07 03:00:00,8.34
2023-09-28 03:00:00,8.29
2023-10-05 03:00:00,8.29
2023-10-12 03:00:00,8.33
2023-11-02 03:00:00,8.29
2023-11-09 03:00:00,8.34
2023-11-16 03:00:00,8.29
2023-11-23 03:00:00,8.34
2023-11-30 03:00:00,8.29
2023-12-07 03:00:00,8.34
