Time,"MPPT X, where 0 is 0, 1 is °C, 2 is 1, 3 is 4, 4 is 12, 5 is 2, 6 is 5, 7 is 3, 8 is 7, 9 is 13, 10 is 6, 11 is 10, 12 is 9, 13 is 15, 14 is 8"
2021-08-17 03:00:00,0 1
2021-08-18 03:00:00,2 1
2021-08-19 03:00:00,0 1
2021-08-20 03:00:00,3 1
2021-08-21 03:00:00,0 1
2021-08-22 03:00:00,0 1
2021-08-23 03:00:00,0 1
2021-08-25 03:00:00,0 1
2021-08-26 03:00:00,0 1
2021-08-27 03:00:00,0 1
2021-08-28 03:00:00,0 1
2021-08-29 03:00:00,0 1
2021-08-30 03:00:00,0 1
2021-08-31 03:00:00,0 1
2021-09-01 03:00:00,0 1
2021-09-02 03:00:00,0 1
2021-09-03 03:00:00,0 1
2021-09-04 03:00:00,0 1
2021-09-05 03:00:00,0 1
2021-09-06 03:00:00,0 1
2021-09-08 03:00:00,0 1
2021-09-09 03:00:00,0 1
2021-09-10 03:00:00,0 1
2021-09-11 03:00:00,0 1
2021-09-12 03:00:00,0 1
2021-09-13 03:00:00,0 1
2021-09-14 03:00:00,0 1
2021-09-15 03:00:00,0 1
2021-09-16 03:00:00,0 1
2021-09-17 03:00:00,0 1
2021-09-18 03:00:00,0 1
2021-09-19 03:00:00,0 1
2021-09-20 03:00:00,0 1
2021-09-21 03:00:00,0 1
2021-09-22 03:00:00,0 1
2021-09-23 03:00:00,0 1
2021-09-24 03:00:00,0 1
2021-09-25 03:00:00,0 1
2021-09-26 03:00:00,0 1
2021-09-27 03:00:00,0 1
2021-09-28 03:00:00,0 1
2021-09-29 03:00:00,0 1
2021-09-30 03:00:00,0 1
2021-10-01 03:00:00,0 1
2021-10-04 03:00:00,4 1
2021-10-05 03:00:00,0 1
2021-10-06 03:00:00,0 1
2021-10-08 03:00:00,0 1
2021-10-09 03:00:00,2 1
2021-10-10 03:00:00,0 1
2021-10-11 03:00:00,3 1
2021-10-12 03:00:00,0 1
2021-10-13 03:00:00,2 1
2021-10-14 03:00:00,2 1
2021-10-15 03:00:00,0 1
2021-10-16 03:00:00,2 1
2021-10-17 03:00:00,0 1
2021-10-18 03:00:00,0 1
2021-10-19 03:00:00,2 1
2021-10-20 03:00:00,2 1
2021-10-21 03:00:00,3 1
2021-10-22 03:00:00,2 1
2021-10-23 03:00:00,2 1
2021-10-24 03:00:00,2 1
2021-10-25 03:00:00,2 1
2021-10-26 03:00:00,0 1
2021-10-27 03:00:00,2 1
2021-10-28 03:00:00,5 1
2021-10-29 03:00:00,2 1
2021-10-30 03:00:00,5 1
2021-10-31 03:00:00,2 1
2021-11-01 03:00:00,5 1
2021-11-02 03:00:00,2 1
2021-11-03 03:00:00,3 1
2021-11-04 03:00:00,2 1
2021-11-05 03:00:00,2 1
2021-11-06 03:00:00,2 1
2021-11-07 03:00:00,2 1
2021-11-08 03:00:00,5 1
2021-11-09 03:00:00,5 1
2021-11-10 03:00:00,5 1
2021-11-11 03:00:00,2 1
2021-11-12 03:00:00,5 1
2021-11-13 03:00:00,2 1
2021-11-14 03:00:00,2 1
2021-11-15 03:00:00,6 1
2021-11-16 03:00:00,3 1
2021-11-17 03:00:00,2 1
2021-11-18 03:00:00,6 1
2021-11-19 03:00:00,5 1
2021-11-21 03:00:00,7 1
2021-11-30 03:00:00,6 1
2021-12-01 03:00:00,7 1
2021-12-02 03:00:00,5 1
2021-12-03 03:00:00,2 1
2021-12-04 03:00:00,0 1
2021-12-05 03:00:00,5 1
2021-12-06 03:00:00,7 1
2021-12-07 03:00:00,7 1
2021-12-08 03:00:00,7 1
2021-12-09 03:00:00,5 1
2021-12-10 03:00:00,8 1
2021-12-11 03:00:00,7 1
2021-12-12 03:00:00,7 1
2021-12-15 03:00:00,5 1
2021-12-16 03:00:00,5 1
2021-12-17 03:00:00,3 1
2021-12-18 03:00:00,5 1
2021-12-19 03:00:00,5 1
2021-12-20 03:00:00,9 1
2021-12-21 03:00:00,7 1
2021-12-22 03:00:00,7 1
2021-12-23 03:00:00,7 1
2021-12-24 03:00:00,7 1
2021-12-25 03:00:00,7 1
2021-12-26 03:00:00,5 1
2021-12-27 03:00:00,5 1
2021-12-28 03:00:00,7 1
2021-12-29 03:00:00,7 1
2021-12-30 03:00:00,9 1
2021-12-31 03:00:00,5 1
2022-01-01 03:00:00,7 1
2022-01-02 03:00:00,7 1
2022-01-03 03:00:00,7 1
2022-01-04 03:00:00,7 1
2022-01-05 03:00:00,7 1
2022-01-06 03:00:00,5 1
2022-01-16 03:00:00,10 1
2022-01-17 03:00:00,10 1
2022-01-18 03:00:00,7 1
2022-01-19 03:00:00,7 1
2022-01-20 03:00:00,7 1
2022-01-21 03:00:00,7 1
2022-01-22 03:00:00,7 1
2022-01-23 03:00:00,5 1
2022-01-24 03:00:00,5 1
2022-01-25 03:00:00,5 1
2022-01-26 03:00:00,7 1
2022-01-27 03:00:00,10 1
2022-01-28 03:00:00,7 1
2022-01-29 03:00:00,5 1
2022-01-30 03:00:00,7 1
2022-01-31 03:00:00,5 1
2022-02-01 03:00:00,5 1
2022-02-02 03:00:00,7 1
2022-02-03 03:00:00,7 1
2022-02-04 03:00:00,7 1
2022-02-05 03:00:00,7 1
2022-02-06 03:00:00,7 1
2022-02-07 03:00:00,5 1
2022-02-08 03:00:00,5 1
2022-02-09 03:00:00,5 1
2022-02-10 03:00:00,5 1
2022-02-11 03:00:00,5 1
2022-02-12 03:00:00,5 1
2022-02-13 03:00:00,5 1
2022-02-14 03:00:00,5 1
2022-02-15 03:00:00,5 1
2022-02-16 03:00:00,5 1
2022-02-17 03:00:00,5 1
2022-02-18 03:00:00,7 1
2022-02-19 03:00:00,7 1
2022-02-20 03:00:00,7 1
2022-02-21 03:00:00,5 1
2022-02-22 03:00:00,5 1
2022-02-23 03:00:00,5 1
2022-02-24 03:00:00,5 1
2022-02-25 03:00:00,2 1
2022-02-26 03:00:00,5 1
2022-02-27 03:00:00,5 1
2022-02-28 03:00:00,5 1
2022-03-01 03:00:00,10 1
2022-03-02 03:00:00,5 1
