"Time","44878.mode"
2019-12-18 03:00:00,1922
2019-12-19 03:00:00,687
2019-12-20 03:00:00,687
2019-12-21 03:00:00,784
2019-12-22 03:00:00,723
2019-12-23 03:00:00,736
2019-12-24 03:00:00,800
2019-12-25 03:00:00,566
2019-12-26 03:00:00,635
2019-12-27 03:00:00,692
2019-12-28 03:00:00,660
2019-12-29 03:00:00,639
2019-12-30 03:00:00,765
2019-12-31 03:00:00,680
2020-01-01 03:00:00,684
2020-01-02 03:00:00,664
2020-01-03 03:00:00,664
2020-01-04 03:00:00,664
2020-01-05 03:00:00,690
2020-01-06 03:00:00,726
2020-01-07 03:00:00,726
2020-01-08 03:00:00,674
2020-01-09 03:00:00,812
2020-01-10 03:00:00,4810
2020-01-11 03:00:00,744
2020-01-12 03:00:00,677
2020-01-13 03:00:00,9617
2020-01-14 03:00:00,769
2020-01-15 03:00:00,789
2020-01-16 03:00:00,849
2020-01-17 03:00:00,835
2020-01-18 03:00:00,603
2020-01-19 03:00:00,636
2020-01-20 03:00:00,703
2020-01-21 03:00:00,8451
2020-01-22 03:00:00,606
2020-01-23 03:00:00,10266
2020-01-24 03:00:00,650
2020-01-25 03:00:00,650
2020-01-26 03:00:00,683
2020-01-27 03:00:00,683
2020-01-28 03:00:00,395
2020-01-29 03:00:00,725
2020-01-30 03:00:00,745
2020-01-31 03:00:00,550
2020-02-01 03:00:00,668
2020-02-02 03:00:00,675
2020-02-03 03:00:00,675
2020-02-04 03:00:00,306
2020-02-05 03:00:00,692
2020-02-06 03:00:00,-383
2020-02-07 03:00:00,643
2020-02-08 03:00:00,644
2020-02-09 03:00:00,780
2020-02-10 03:00:00,780
2020-02-11 03:00:00,780
2020-02-12 03:00:00,731
2020-02-14 03:00:00,593
2020-02-15 03:00:00,593
2020-02-16 03:00:00,319
2020-02-17 03:00:00,847
2020-02-18 03:00:00,733
2020-02-19 03:00:00,730
2020-02-20 03:00:00,611
2020-02-21 03:00:00,692
2020-02-22 03:00:00,662
2020-02-23 03:00:00,662
2020-02-24 03:00:00,768
2020-02-25 03:00:00,870
2020-02-26 03:00:00,0
2020-02-27 03:00:00,722
2020-02-28 03:00:00,9832
2020-02-29 03:00:00,666
