Time,44878.mode
2019-12-12 03:00:00,1
2019-12-19 03:00:00,1369
2019-12-26 03:00:00,18167
2020-01-02 03:00:00,23502
2020-01-09 03:00:00,26378
2020-01-16 03:00:00,1901
2020-01-23 03:00:00,20158
2020-01-30 03:00:00,49742
2020-02-06 03:00:00,61778
2020-02-13 03:00:00,14871
2020-02-20 03:00:00,35938
2020-02-27 03:00:00,53895
2020-03-05 03:00:00,65004
2020-03-12 03:00:00,102049
2020-03-19 03:00:00,109386
2020-03-26 03:00:00,38999
2020-04-02 03:00:00,60244
2020-04-09 03:00:00,125791
2020-04-16 03:00:00,149397
2020-04-23 03:00:00,6061
2020-04-30 03:00:00,11768
2020-05-07 03:00:00,11933
2020-05-14 03:00:00,272
2020-05-21 03:00:00,2696
2020-05-28 03:00:00,26861
2020-06-04 03:00:00,46081
2020-06-11 03:00:00,9643
2020-06-18 03:00:00,12253
2020-06-25 03:00:00,16899
2020-07-02 03:00:00,4457
2020-07-09 03:00:00,9473
2020-07-16 03:00:00,1880
2020-07-23 03:00:00,9520
2020-07-30 03:00:00,14177
2020-08-06 03:00:00,19665
2020-08-13 03:00:00,6043
2020-08-20 03:00:00,1668
2020-08-27 03:00:00,1056
2020-09-03 03:00:00,340
2020-09-10 03:00:00,340
2020-09-17 03:00:00,0
2020-09-24 03:00:00,2696
2020-10-01 03:00:00,1
2020-10-08 03:00:00,322
2020-10-15 03:00:00,694
2020-10-22 03:00:00,792
2020-10-29 03:00:00,2
2020-11-05 03:00:00,3058
2020-11-12 03:00:00,421
2020-11-19 03:00:00,421
2020-11-26 03:00:00,0
2020-12-03 03:00:00,2646
2020-12-10 03:00:00,2666
2020-12-17 03:00:00,621
2020-12-24 03:00:00,1201
2020-12-31 03:00:00,5528
2021-01-07 03:00:00,763
2021-01-14 03:00:00,0
2021-01-21 03:00:00,818
2021-01-28 03:00:00,1451
2021-02-04 03:00:00,360
2021-02-11 03:00:00,3383
2021-02-18 03:00:00,5009
2021-02-25 03:00:00,361
2021-03-04 03:00:00,474
2021-03-11 03:00:00,0
2021-03-18 03:00:00,0
2021-03-25 03:00:00,0
2021-04-01 03:00:00,0
2021-04-08 03:00:00,0
2021-04-15 03:00:00,0
2021-04-22 03:00:00,0
2021-04-29 03:00:00,0
2021-05-06 03:00:00,0
2021-05-13 03:00:00,0
2021-05-20 03:00:00,0
2021-05-27 03:00:00,0
2021-06-03 03:00:00,0
2021-06-10 03:00:00,0
2021-06-17 03:00:00,0
2021-06-24 03:00:00,0
2021-07-01 03:00:00,0
2021-07-08 03:00:00,173
2021-07-15 03:00:00,0
2021-07-22 03:00:00,561
2021-07-29 03:00:00,465
2021-08-05 03:00:00,2369
2021-08-12 03:00:00,113
2021-08-19 03:00:00,0
2021-08-26 03:00:00,679
2021-09-02 03:00:00,884
2021-09-09 03:00:00,225
2021-09-16 03:00:00,0
2021-09-23 03:00:00,3296
2021-09-30 03:00:00,83
2021-10-07 03:00:00,649
2021-10-14 03:00:00,759
2021-10-21 03:00:00,10
2021-10-28 03:00:00,6050
2021-11-04 03:00:00,30
2021-11-11 03:00:00,1110
