"Time","44878.mode"
2019-12-18 03:00:00,1035
2019-12-19 03:00:00,24
2019-12-20 03:00:00,3326
2019-12-21 03:00:00,3882
2019-12-22 03:00:00,14064
2019-12-23 03:00:00,17939
2019-12-24 03:00:00,8872
2019-12-25 03:00:00,15020
2019-12-26 03:00:00,26041
2019-12-27 03:00:00,34616
2019-12-28 03:00:00,38922
2019-12-29 03:00:00,53331
2019-12-30 03:00:00,56815
2019-12-31 03:00:00,77899
2020-01-01 03:00:00,91413
2020-01-02 03:00:00,138738
2020-01-03 03:00:00,163656
2020-01-04 03:00:00,183068
2020-01-05 03:00:00,194384
2020-01-06 03:00:00,216719
2020-01-07 03:00:00,237347
2020-01-08 03:00:00,259836
2020-01-09 03:00:00,309743
2020-01-10 03:00:00,319074
2020-01-11 03:00:00,329904
2020-01-12 03:00:00,333792
2020-01-13 03:00:00,142
2020-01-14 03:00:00,5018
2020-01-15 03:00:00,6507
2020-01-16 03:00:00,16649
2020-01-17 03:00:00,25556
2020-01-18 03:00:00,7771
2020-01-19 03:00:00,11759
2020-01-20 03:00:00,20500
2020-01-21 03:00:00,3569
2020-01-22 03:00:00,390
2020-01-23 03:00:00,50843
2020-01-24 03:00:00,475918
2020-01-25 03:00:00,479767
2020-01-26 03:00:00,611671
2020-01-27 03:00:00,645627
2020-01-28 03:00:00,1093876
2020-01-29 03:00:00,1102186
2020-01-30 03:00:00,1126044
2020-01-31 03:00:00,1218399
2020-02-01 03:00:00,1254539
2020-02-02 03:00:00,1259685
2020-02-03 03:00:00,1338884
2020-02-04 03:00:00,1347618
2020-02-05 03:00:00,1351814
2020-02-06 03:00:00,1368861
2020-02-07 03:00:00,1380397
2020-02-08 03:00:00,1392669
2020-02-09 03:00:00,1396726
2020-02-10 03:00:00,1410527
2020-02-11 03:00:00,1415204
2020-02-12 03:00:00,1423898
2020-02-14 03:00:00,1425798
2020-02-15 03:00:00,228778
2020-02-16 03:00:00,326904
2020-02-17 03:00:00,401423
2020-02-18 03:00:00,405301
2020-02-19 03:00:00,634343
2020-02-20 03:00:00,655636
2020-02-21 03:00:00,821210
2020-02-22 03:00:00,873764
2020-02-23 03:00:00,926473
2020-02-24 03:00:00,982768
2020-02-25 03:00:00,1034404
2020-02-26 03:00:00,1038359
2020-02-27 03:00:00,51733
2020-02-28 03:00:00,178537
2020-02-29 03:00:00,229090
2020-03-01 03:00:00,272276
2020-03-02 03:00:00,327515
2020-03-03 03:00:00,362749
2020-03-04 03:00:00,468164
2020-03-05 03:00:00,592100
2020-03-06 03:00:00,774313
2020-03-07 03:00:00,847918
2020-03-08 03:00:00,938719
2020-03-09 03:00:00,947924
2020-03-10 03:00:00,1005861
2020-03-11 03:00:00,1113727
2020-03-12 03:00:00,1208768
2020-03-13 03:00:00,1284529
2020-03-14 03:00:00,1358265
2020-03-15 03:00:00,1382040
2020-03-16 03:00:00,1500912
2020-03-17 03:00:00,1593709
2020-03-18 03:00:00,1641538
2020-03-19 03:00:00,1747105
2020-03-20 03:00:00,1852746
2020-03-24 03:00:00,401530
2020-03-25 03:00:00,441968
2020-03-26 03:00:00,604019
2020-03-27 03:00:00,633098
2020-03-28 03:00:00,710485
2020-03-29 03:00:00,794111
2020-03-30 03:00:00,843315
2020-03-31 03:00:00,911081
2020-04-01 03:00:00,988926
2020-04-02 03:00:00,1062200
2020-04-03 03:00:00,1176468
2020-04-04 03:00:00,1209836
2020-04-05 03:00:00,1406419
2020-04-06 03:00:00,1420507
2020-04-07 03:00:00,1432611
2020-04-08 03:00:00,1476620
2020-04-09 03:00:00,1570234
2020-04-10 03:00:00,1629708
2020-04-11 03:00:00,1715956
2020-04-12 03:00:00,1833051
2020-04-13 03:00:00,1905444
2020-04-14 03:00:00,1952090
2020-04-15 03:00:00,2114362
2020-04-16 03:00:00,2186931
2020-04-17 03:00:00,2194632
2020-04-18 03:00:00,2404088
2020-04-19 03:00:00,2438116
2020-04-20 03:00:00,2444732
2020-04-22 03:00:00,16999
2020-04-23 03:00:00,24319
2020-04-24 03:00:00,32832
2020-04-28 03:00:00,365807
2020-04-29 03:00:00,371188
2020-04-30 03:00:00,395243
2020-05-02 03:00:00,55990
2020-05-03 03:00:00,69127
2020-05-04 03:00:00,81133
2020-05-05 03:00:00,86641
2020-05-06 03:00:00,98609
2020-05-07 03:00:00,111122
2020-05-08 03:00:00,131712
2020-05-09 03:00:00,137499
2020-05-10 03:00:00,158991
2020-05-11 03:00:00,172732
2020-05-12 03:00:00,176682
2020-05-13 03:00:00,194299
2020-05-14 03:00:00,211869
2020-05-15 03:00:00,217818
2020-05-16 03:00:00,273114
2020-05-18 03:00:00,26075
2020-05-19 03:00:00,31175
2020-05-20 03:00:00,51857
2020-05-21 03:00:00,70832
2020-05-22 03:00:00,105971
2020-05-23 03:00:00,116555
2020-05-24 03:00:00,160061
2020-05-25 03:00:00,203222
2020-05-26 03:00:00,262617
2020-05-27 03:00:00,343297
2020-05-28 03:00:00,369118
2020-05-29 03:00:00,437860
2020-05-30 03:00:00,664360
2020-05-31 03:00:00,810479
2020-06-01 03:00:00,882566
2020-06-02 03:00:00,900118
2020-06-03 03:00:00,980858
2020-06-04 03:00:00,1000443
2020-06-05 03:00:00,1004593
2020-06-06 03:00:00,1012926
2020-06-07 03:00:00,1030238
2020-06-08 03:00:00,1058598
2020-06-09 03:00:00,1064584
2020-06-11 03:00:00,36489
2020-06-12 03:00:00,60191
2020-06-13 03:00:00,64171
2020-06-14 03:00:00,79105
2020-06-15 03:00:00,87329
2020-06-16 03:00:00,91491
2020-06-17 03:00:00,108635
2020-06-18 03:00:00,113814
2020-06-19 03:00:00,117674
2020-06-20 03:00:00,126782
2020-06-21 03:00:00,146947
2020-06-22 03:00:00,177478
2020-06-23 03:00:00,193253
2020-06-24 03:00:00,208033
2020-06-25 03:00:00,217169
2020-06-26 03:00:00,247692
