Time,44878.mode
2019-12-12 03:00:00,376521
2019-12-19 03:00:00,376879
2019-12-26 03:00:00,392180
2020-01-02 03:00:00,408339
2020-01-09 03:00:00,411215
2020-01-16 03:00:00,416575
2020-01-23 03:00:00,447223
2020-01-30 03:00:00,478047
2020-02-06 03:00:00,488843
2020-02-13 03:00:00,507648
2020-02-20 03:00:00,528843
2020-02-27 03:00:00,611718
2020-03-05 03:00:00,622827
2020-03-12 03:00:00,660310
2020-03-19 03:00:00,666732
2020-03-26 03:00:00,706335
2020-04-02 03:00:00,719938
2020-04-09 03:00:00,793127
2020-04-16 03:00:00,819176
2020-04-23 03:00:00,825877
2020-04-30 03:00:00,847533
2020-05-07 03:00:00,849475
2020-05-14 03:00:00,856339
2020-05-21 03:00:00,858763
2020-05-28 03:00:00,882928
2020-06-04 03:00:00,902148
2020-06-11 03:00:00,913205
2020-06-18 03:00:00,915815
2020-06-25 03:00:00,920461
2020-07-02 03:00:00,927541
2020-07-09 03:00:00,931119
2020-07-16 03:00:00,936031
2020-07-23 03:00:00,943671
2020-07-30 03:00:00,953113
2020-08-06 03:00:00,967327
2020-08-13 03:00:00,975700
2020-08-20 03:00:00,990818
2020-08-27 03:00:00,991912
2020-09-03 03:00:00,1001590
2020-09-10 03:00:00,1001590
2020-09-17 03:00:00,1003041
2020-09-24 03:00:00,1006073
2020-10-01 03:00:00,1008128
2020-10-08 03:00:00,1008800
2020-10-15 03:00:00,1009504
2020-10-22 03:00:00,1009602
2020-10-29 03:00:00,1009604
2020-11-05 03:00:00,1012660
2020-11-12 03:00:00,1013081
2020-11-19 03:00:00,1013081
2020-11-26 03:00:00,1013081
2020-12-03 03:00:00,1015727
2020-12-10 03:00:00,1015747
2020-12-17 03:00:00,1016368
2020-12-24 03:00:00,1016948
2020-12-31 03:00:00,1021275
2021-01-07 03:00:00,1029836
2021-01-14 03:00:00,1029836
2021-01-21 03:00:00,1032349
2021-01-28 03:00:00,1034252
2021-02-04 03:00:00,1036816
2021-02-11 03:00:00,1041307
2021-02-18 03:00:00,1042584
2021-02-25 03:00:00,1043275
2021-03-04 03:00:00,1045985
2021-03-11 03:00:00,1045987
2021-03-18 03:00:00,1048743
2021-03-25 03:00:00,1051047
2021-04-01 03:00:00,1051947
2021-04-08 03:00:00,1052687
2021-04-15 03:00:00,1054474
2021-04-22 03:00:00,1054474
2021-04-29 03:00:00,1054900
2021-05-06 03:00:00,1055716
2021-05-13 03:00:00,1056922
2021-05-20 03:00:00,1056922
2021-05-27 03:00:00,1058397
2021-06-03 03:00:00,1058928
2021-06-10 03:00:00,1060206
2021-06-17 03:00:00,1060739
2021-06-24 03:00:00,1060739
2021-07-01 03:00:00,1061271
2021-07-08 03:00:00,1062871
2021-07-15 03:00:00,1064831
2021-07-22 03:00:00,1065837
2021-07-29 03:00:00,1067510
2021-08-05 03:00:00,1072100
2021-08-12 03:00:00,1072213
2021-08-19 03:00:00,1072377
2021-08-26 03:00:00,1073056
2021-09-02 03:00:00,1073261
2021-09-09 03:00:00,1074325
2021-09-16 03:00:00,1083417
2021-09-23 03:00:00,1086713
