Time,44878.mode
2019-12-12 03:00:00,4344
2019-12-19 03:00:00,4710
2019-12-26 03:00:00,5129
2020-01-02 03:00:00,5276
2020-01-09 03:00:00,5367
2020-01-16 03:00:00,5735
2020-01-23 03:00:00,6397
2020-01-30 03:00:00,6965
2020-02-06 03:00:00,7284
2020-02-13 03:00:00,7907
2020-02-20 03:00:00,8419
2020-02-27 03:00:00,10156
2020-03-05 03:00:00,10349
2020-03-12 03:00:00,11165
2020-03-19 03:00:00,11360
2020-03-26 03:00:00,12105
2020-04-02 03:00:00,12446
2020-04-09 03:00:00,13587
2020-04-16 03:00:00,13794
2020-04-23 03:00:00,13991
2020-04-30 03:00:00,14486
2020-05-07 03:00:00,14491
2020-05-14 03:00:00,14688
2020-05-21 03:00:00,14793
2020-05-28 03:00:00,15324
2020-06-04 03:00:00,15755
2020-06-11 03:00:00,16279
2020-06-18 03:00:00,16337
2020-06-25 03:00:00,16476
2020-07-02 03:00:00,16681
2020-07-09 03:00:00,16802
2020-07-16 03:00:00,16927
2020-07-23 03:00:00,17064
2020-07-30 03:00:00,17393
2020-08-06 03:00:00,17508
2020-08-13 03:00:00,18046
2020-08-20 03:00:00,18378
2020-08-27 03:00:00,18485
2020-09-03 03:00:00,18762
2020-09-10 03:00:00,18762
2020-09-17 03:00:00,18855
2020-09-24 03:00:00,18984
2020-10-01 03:00:00,19100
2020-10-08 03:00:00,19176
2020-10-15 03:00:00,19191
2020-10-22 03:00:00,19199
2020-10-29 03:00:00,19201
2020-11-05 03:00:00,19318
2020-11-12 03:00:00,19328
2020-11-19 03:00:00,19328
2020-11-26 03:00:00,19328
2020-12-03 03:00:00,19356
2020-12-10 03:00:00,19358
2020-12-17 03:00:00,19376
2020-12-24 03:00:00,19412
2020-12-31 03:00:00,19545
2021-01-07 03:00:00,19630
2021-01-14 03:00:00,19630
2021-01-21 03:00:00,19770
2021-01-28 03:00:00,19885
2021-02-04 03:00:00,19960
2021-02-11 03:00:00,20205
2021-02-18 03:00:00,20246
2021-02-25 03:00:00,20272
2021-03-04 03:00:00,20359
2021-03-11 03:00:00,20361
2021-03-18 03:00:00,20456
2021-03-25 03:00:00,20531
2021-04-01 03:00:00,20557
2021-04-08 03:00:00,20577
2021-04-15 03:00:00,20602
2021-04-22 03:00:00,20602
2021-04-29 03:00:00,20622
2021-05-06 03:00:00,20680
2021-05-13 03:00:00,20726
2021-05-20 03:00:00,20726
2021-05-27 03:00:00,20767
2021-06-03 03:00:00,20787
2021-06-10 03:00:00,20823
2021-06-17 03:00:00,20840
2021-06-24 03:00:00,20840
2021-07-01 03:00:00,20854
2021-07-08 03:00:00,20872
2021-07-15 03:00:00,20921
2021-07-22 03:00:00,20966
2021-07-29 03:00:00,21014
2021-08-05 03:00:00,21115
2021-08-12 03:00:00,21118
2021-08-19 03:00:00,21122
2021-08-26 03:00:00,21139
2021-09-02 03:00:00,21144
2021-09-09 03:00:00,21173
2021-09-16 03:00:00,21397
2021-09-23 03:00:00,21425
2021-09-30 03:00:00,21429
2021-10-07 03:00:00,21458
2021-10-14 03:00:00,21588
2021-10-21 03:00:00,21595
2021-10-28 03:00:00,21768
2021-11-04 03:00:00,21815
2021-11-11 03:00:00,21841
2021-11-18 03:00:00,21862
2021-11-25 03:00:00,21921
2021-12-02 03:00:00,21967
2021-12-09 03:00:00,21967
2021-12-16 03:00:00,21967
2021-12-23 03:00:00,22004
2021-12-30 03:00:00,22024
2022-01-06 03:00:00,22024
2022-01-13 03:00:00,22024
2022-01-20 03:00:00,22024
2022-01-27 03:00:00,22035
2022-02-03 03:00:00,22062
2022-02-10 03:00:00,22062
2022-02-17 03:00:00,22062
2022-02-24 03:00:00,22072
2022-03-03 03:00:00,22077
2022-03-10 03:00:00,22103
2022-03-17 03:00:00,22110
2022-03-24 03:00:00,22126
2022-03-31 03:00:00,22126
2022-04-07 03:00:00,22126
2022-04-14 03:00:00,22126
2022-04-21 03:00:00,22126
2022-04-28 03:00:00,22131
2022-05-05 03:00:00,22139
2022-05-12 03:00:00,22283
2022-05-19 03:00:00,22291
2022-05-26 03:00:00,22291
2022-06-02 03:00:00,22291
2022-06-09 03:00:00,22291
2022-06-16 03:00:00,22498
2022-06-23 03:00:00,22570
2022-06-30 03:00:00,22598
2022-07-07 03:00:00,22615
2022-07-14 03:00:00,22615
2022-07-21 03:00:00,22639
2022-07-28 03:00:00,22667
2022-08-04 03:00:00,22781
2022-08-11 03:00:00,22782
2022-08-18 03:00:00,22788
2022-08-25 03:00:00,22788
2022-09-01 03:00:00,22798
2022-09-08 03:00:00,22799
2022-09-15 03:00:00,22799
2022-09-22 03:00:00,22811
2022-09-29 03:00:00,22811
2022-10-06 03:00:00,22818
2022-10-13 03:00:00,22818
2022-10-20 03:00:00,22824
2022-10-27 03:00:00,22824
2022-11-03 03:00:00,22824
2022-11-10 03:00:00,22827
2022-11-17 03:00:00,22900
2022-11-24 03:00:00,22992
2022-12-01 03:00:00,22992
2022-12-08 03:00:00,22992
2022-12-15 03:00:00,23065
2022-12-22 03:00:00,23074
2022-12-29 03:00:00,23074
2023-01-05 03:00:00,23074
2023-01-12 03:00:00,23074
2023-01-19 03:00:00,23082
2023-01-26 03:00:00,23094
2023-02-02 03:00:00,23094
2023-02-09 03:00:00,23095
2023-02-16 03:00:00,23095
2023-02-23 03:00:00,23095
2023-03-02 03:00:00,23095
2023-03-09 03:00:00,23118
2023-03-16 03:00:00,23118
2023-03-23 03:00:00,23118
2023-03-30 03:00:00,23118
2023-04-06 03:00:00,23118
2023-04-13 03:00:00,23118
2023-04-20 03:00:00,23118
2023-04-27 03:00:00,23118
2023-05-04 03:00:00,23136
2023-05-11 03:00:00,23169
2023-05-18 03:00:00,23398
2023-05-25 03:00:00,23400
2023-06-01 03:00:00,23418
2023-06-08 03:00:00,23454
2023-06-15 03:00:00,23464
2023-06-22 03:00:00,23510
2023-06-29 03:00:00,23523
2023-07-06 03:00:00,23556
2023-07-13 03:00:00,23741
2023-07-20 03:00:00,23804
2023-07-27 03:00:00,23845
2023-08-03 03:00:00,23907
2023-08-10 03:00:00,23910
2023-08-17 03:00:00,23925
2023-08-24 03:00:00,24117
2023-08-31 03:00:00,24132
2023-09-07 03:00:00,24141
2023-09-14 03:00:00,24189
2023-09-21 03:00:00,24196
2023-09-28 03:00:00,24196
2023-10-05 03:00:00,24302
2023-10-12 03:00:00,24383
2023-10-19 03:00:00,24558
2023-10-26 03:00:00,24558
2023-11-02 03:00:00,24558
2023-11-09 03:00:00,24558
2023-11-16 03:00:00,24558
2023-11-23 03:00:00,24558
2023-11-30 03:00:00,24561
2023-12-07 03:00:00,24565
2023-12-14 03:00:00,24565
2023-12-21 03:00:00,24565
2023-12-28 03:00:00,24565
2024-01-04 03:00:00,24565
2024-01-11 03:00:00,24583
2024-01-18 03:00:00,24585
2024-01-25 03:00:00,24596
2024-02-01 03:00:00,24600
