"Time","Digipeater Message","Observer","Station","Source"
2023-12-07 00:25:55,CQ fm Daniel DL7NDR@JN48ap via Digipeater of SanoSat-1,DL7NDR-JN48ap,DL7NDR,sids
2023-12-07 19:20:43,"K4KDR>CQ, K4KDR FM17 via SanoSat-1 digipeater!",K4KDR-FM17es,K4KDR,sids
2023-12-08 13:45:23,"2M0SQL>ALL,CQ 2M0SQL IO87",EU1XX-KO33ru,EU1XX,sids
2023-12-08 13:59:05,DL7NDR thanks SanoSat-1 team for activating digipeater!,DL7NDR-JN48ap,DL7NDR,sids
2023-12-10 04:20:18,"JA1GDE>ALL,CQ Via SANOSAT-1 Tokyo Japan",JA1GDE-PM95ws,JA1GDE,sids
2023-12-10 13:27:31,DL7NDR: CW beacon is back - alternating with RTTY,DL7NDR-JN48ap,DL7NDR,sids
2023-12-15 04:17:52,"JA1GDE>ALL,Digi Testing 436.2347MHz USB Via Sanosat-1",JA1GDE-PM95ws,JA1GDE,sids
2023-12-23 00:44:51,DL7NDR: Dashboard now shows also CW and RTTY beacons!,DL7NDR-JN48ap,DL7NDR,sids
2023-12-25 00:25:16,Merry Christmas and a Happy new Year from DL7NDR,DL7NDR-JN48ap,DL7NDR,sids
2024-01-16 23:48:35,"DG9MA>CQ,JN58",Piszkesteto UHF-JN97ww,Piszkesteto UHF,network
2024-01-18 00:07:34,Happy 2nd Birthday SanoSat-1 (NO-116) fm DL7NDR!,DL7NDR-JN48ap,DL7NDR,sids
2024-01-20 00:36:04,"DG9MA>DL7NDR,JN58 QSL?",DG9MA-JN58di,DG9MA,sids
2024-01-20 00:41:38,"DG9MA>DL7NDR,Hi Daniel (:",DG9MA-JN58di,DG9MA,sids
2024-01-26 23:29:15,"DL6MI>DG9MA,TEST (not via Digipeater)",DG9MA-JN58di,DG9MA,sids

