"Time","Beacon Type","Observer","Station","Source","Root"
2022-01-19 05:42:05,GFSK,K4KDR-FM17es,K4KDR,sids,AM9NPQ
2022-01-19 05:42:54,GFSK,K4KDR-FM17es,K4KDR,sids,AM9NPQ
2022-01-24 01:17:55,GFSK,DK3WN-JN49lr,DK3WN,sids,AM9NPQ
2022-01-24 13:02:22,GFSK,DK3WN-JN49lr,DK3WN,sids,AM9NPQ
2022-01-24 13:02:37,GFSK,DK3WN-JN49lr,DK3WN,sids,AM9NPQ
2022-01-24 13:02:52,GFSK,DK3WN-JN49lr,DK3WN,sids,AM9NPQ
2022-01-24 13:03:21,GFSK,DK3WN-JN49lr,DK3WN,sids,AM9NPQ
2022-01-24 13:03:36,GFSK,DK3WN-JN49lr,DK3WN,sids,AM9NPQ
2022-01-24 13:03:51,GFSK,DK3WN-JN49lr,DK3WN,sids,AM9NPQ
2022-01-24 13:03:54,GFSK,DK3WN-JN49lr,DK3WN,sids,AM9NPQ
2022-01-24 13:04:09,GFSK,DK3WN-JN49lr,DK3WN,sids,AM9NPQ
2022-01-24 13:04:21,GFSK,DK3WN-JN49lr,DK3WN,sids,AM9NPQ
2022-01-24 13:04:33,GFSK,DK3WN-JN49lr,DK3WN,sids,AM9NPQ
2022-01-24 13:04:39,GFSK,DK3WN-JN49lr,DK3WN,sids,AM9NPQ
2022-01-24 13:04:45,GFSK,DK3WN-JN49lr,DK3WN,sids,AM9NPQ
2022-01-24 13:04:53,GFSK,DK3WN-JN49lr,DK3WN,sids,AM9NPQ
2022-01-25 11:17:40,GFSK,EU1XX-KO33ru,EU1XX,sids,AM9NPQ
2022-01-27 12:29:56,GFSK,DK3WN-JN49lr,DK3WN,sids,AM9NPQ
2022-01-27 12:30:00,GFSK,DK3WN-JN49lr,DK3WN,sids,AM9NPQ
2022-01-27 12:30:23,GFSK,DK3WN-JN49lr,DK3WN,sids,AM9NPQ
2022-01-27 12:30:26,GFSK,DK3WN-JN49lr,DK3WN,sids,AM9NPQ
2022-01-27 12:30:39,GFSK,DK3WN-JN49lr,DK3WN,sids,AM9NPQ
2022-01-27 12:30:41,GFSK,DK3WN-JN49lr,DK3WN,sids,AM9NPQ
2022-01-27 12:30:47,GFSK,DK3WN-JN49lr,DK3WN,sids,AM9NPQ
2022-01-27 12:30:56,GFSK,DK3WN-JN49lr,DK3WN,sids,AM9NPQ
2022-01-27 12:31:00,GFSK,DK3WN-JN49lr,DK3WN,sids,AM9NPQ
2022-01-27 12:31:20,GFSK,DK3WN-JN49lr,DK3WN,sids,AM9NPQ
2022-01-27 12:31:27,GFSK,DK3WN-JN49lr,DK3WN,sids,AM9NPQ
2022-01-27 12:31:36,GFSK,DK3WN-JN49lr,DK3WN,sids,AM9NPQ
2022-01-27 12:32:03,GFSK,DK3WN-JN49lr,DK3WN,sids,AM9NPQ
2022-01-27 12:32:06,GFSK,DK3WN-JN49lr,DK3WN,sids,AM9NPQ
2022-01-27 12:32:25,GFSK,DK3WN-JN49lr,DK3WN,sids,AM9NPQ
2022-01-27 12:32:45,GFSK,DK3WN-JN49lr,DK3WN,sids,AM9NPQ
2022-01-27 14:05:54,GFSK,DK3WN-JN49lr,DK3WN,sids,AM9NPQ
2022-01-27 14:06:01,GFSK,DK3WN-JN49lr,DK3WN,sids,AM9NPQ
2022-01-28 12:19:23,GFSK,DK3WN-JN49lr,DK3WN,sids,AM9NPQ
2022-01-28 12:19:27,GFSK,DK3WN-JN49lr,DK3WN,sids,AM9NPQ
2022-01-28 12:19:44,GFSK,DK3WN-JN49lr,DK3WN,sids,AM9NPQ
2022-01-28 12:19:50,GFSK,DK3WN-JN49lr,DK3WN,sids,AM9NPQ
2022-01-28 12:19:52,GFSK,DK3WN-JN49lr,DK3WN,sids,AM9NPQ
2022-01-28 12:20:07,GFSK,DK3WN-JN49lr,DK3WN,sids,AM9NPQ
2022-01-28 12:20:54,GFSK,DK3WN-JN49lr,DK3WN,sids,AM9NPQ
2022-01-28 13:53:43,GFSK,DK3WN-JN49lr,DK3WN,sids,AM9NPQ
2022-01-28 13:53:45,GFSK,DK3WN-JN49lr,DK3WN,sids,AM9NPQ
2022-01-28 13:55:19,GFSK,DK3WN-JN49lr,DK3WN,sids,AM9NPQ
2022-02-04 15:17:37,GFSK,JA5BLZ-PM63uo,JA5BLZ,sids,AM9NPQ
2022-02-05 07:27:54,GFSK,N6RFM-EM12jw,N6RFM,sids,AM9NPQ
2022-02-05 07:28:01,GFSK,N6RFM-EM12jw,N6RFM,sids,AM9NPQ
2022-02-05 07:28:26,GFSK,N6RFM-EM12jw,N6RFM,sids,AM9NPQ
2022-02-05 12:20:38,GFSK,DK3WN-JN49lr,DK3WN,sids,AM9NPQ
2022-02-05 12:20:40,GFSK,DK3WN-JN49lr,DK3WN,sids,AM9NPQ
2022-02-05 12:21:15,GFSK,DK3WN-JN49lr,DK3WN,sids,AM9NPQ
2022-02-05 12:21:21,GFSK,DK3WN-JN49lr,DK3WN,sids,AM9NPQ
2022-02-05 12:21:31,GFSK,DK3WN-JN49lr,DK3WN,sids,AM9NPQ
2022-02-05 12:22:13,GFSK,DK3WN-JN49lr,DK3WN,sids,AM9NPQ
2022-02-06 12:07:04,GFSK,EU1XX-KO33ru,EU1XX,sids,AM9NPQ
2022-02-06 12:07:26,GFSK,EU1XX-KO33ru,EU1XX,sids,AM9NPQ
2022-02-06 12:07:33,GFSK,EU1XX-KO33ru,EU1XX,sids,AM9NPQ
2022-02-06 12:07:45,GFSK,EU1XX-KO33ru,EU1XX,sids,AM9NPQ
2022-02-06 12:08:24,GFSK,EU1XX-KO33ru,EU1XX,sids,AM9NPQ
2022-02-07 11:55:46,GFSK,DK3WN-JN49lr,DK3WN,sids,AM9NPQ
2022-02-07 11:58:24,GFSK,DK3WN-JN49lr,DK3WN,sids,AM9NPQ
2022-02-07 13:30:13,GFSK,DK3WN-JN49lr,DK3WN,sids,AM9NPQ
2022-02-07 13:30:14,GFSK,DK3WN-JN49lr,DK3WN,sids,AM9NPQ
2022-02-07 13:30:16,GFSK,DK3WN-JN49lr,DK3WN,sids,AM9NPQ
2022-02-07 13:30:50,GFSK,DK3WN-JN49lr,DK3WN,sids,AM9NPQ
2022-02-07 13:30:57,GFSK,DK3WN-JN49lr,DK3WN,sids,AM9NPQ
2022-02-07 13:31:15,GFSK,DK3WN-JN49lr,DK3WN,sids,AM9NPQ
2022-02-07 13:31:59,GFSK,DK3WN-JN49lr,DK3WN,sids,AM9NPQ
2022-02-08 22:32:16,GFSK,EU1XX-KO33ru,EU1XX,sids,AM9NPQ
2022-02-09 13:08:33,GFSK,DK3WN-JN49lr,DK3WN,sids,AM9NPQ
2022-02-11 12:44:44,GFSK,DK3WN-JN49lr,DK3WN,sids,AM9NPQ
2022-02-12 03:23:32,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-12 03:23:40,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-12 03:23:48,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-12 03:23:57,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-12 03:24:00,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-12 03:24:04,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-12 03:24:07,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-12 03:24:14,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-12 03:24:16,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-12 03:24:19,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-12 03:24:22,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-12 03:24:26,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
2022-02-12 03:24:28,GFSK,VK5HI-PF95hf,VK5HI,sids,AM9NPQ
