"Time","41460.mode"
2016-10-31 03:00:00,10432275
2016-11-01 03:00:00,10560374
2016-11-02 03:00:00,10604670
2016-11-03 03:00:00,10690898
2016-11-04 03:00:00,10819595
2016-11-05 03:00:00,10829179
2016-11-06 03:00:00,10949850
2016-11-07 03:00:00,11078427
2016-11-08 03:00:00,11122544
2016-11-09 03:00:00,11170644
2016-11-10 03:00:00,11295059
2016-11-11 03:00:00,11381466
2016-11-12 03:00:00,11470509
2016-11-13 03:00:00,11553981
2016-11-14 03:00:00,11602621
2016-11-15 03:00:00,11774507
2016-11-16 03:00:00,11803019
2016-11-17 03:00:00,11947022
2016-11-18 03:00:00,12033339
2016-11-19 03:00:00,12071795
2016-11-20 03:00:00,12193065
2016-11-21 03:00:00,12244400
2016-11-22 03:00:00,12330777
2016-11-23 03:00:00,12464955
2016-11-24 03:00:00,12467770
2016-11-25 03:00:00,12595359
2016-11-26 03:00:00,12676076
2016-11-27 03:00:00,12767544
2016-11-28 03:00:00,12838504
2016-11-29 03:00:00,12933774
2016-11-30 03:00:00,13020118
2016-12-01 03:00:00,13107690
2016-12-02 03:00:00,13241745
2016-12-03 03:00:00,13280321
2016-12-04 03:00:00,13366366
2016-12-05 03:00:00,13451603
2016-12-06 03:00:00,13506948
2016-12-07 03:00:00,13625340
2016-12-08 03:00:00,13711594
2016-12-09 03:00:00,13796890
2016-12-10 03:00:00,13883085
2016-12-11 03:00:00,13970537
2016-12-12 03:00:00,14056761
2016-12-13 03:00:00,14191026
2016-12-14 03:00:00,14277341
2016-12-15 03:00:00,14299923
2016-12-16 03:00:00,14397978
2016-12-17 03:00:00,14536014
2016-12-18 03:00:00,14622541
2016-12-19 03:00:00,14629098
2016-12-20 03:00:00,14715145
2016-12-21 03:00:00,14801459
2016-12-22 03:00:00,14967768
2016-12-23 03:00:00,15011643
2016-12-24 03:00:00,15140248
2016-12-25 03:00:00,15148724
2016-12-26 03:00:00,15263790
2016-12-27 03:00:00,15399071
2016-12-28 03:00:00,15404822
2016-12-29 03:00:00,15529413
2016-12-30 03:00:00,15577421
2016-12-31 03:00:00,15663558
2017-01-01 03:00:00,15781647
2017-01-02 03:00:00,15874580
2017-01-03 03:00:00,15990276
2017-01-04 03:00:00,16076441
2017-01-05 03:00:00,16133466
2017-01-06 03:00:00,16254790
2017-01-07 03:00:00,16306065
2017-01-08 03:00:00,16421731
2017-01-09 03:00:00,16478635
2017-01-10 03:00:00,16560786
2017-01-11 03:00:00,16651234
2017-01-12 03:00:00,16766872
2017-01-13 03:00:00,16871639
2017-01-14 03:00:00,16908897
2017-01-15 03:00:00,16995215
2017-01-16 03:00:00,17117532
2017-01-17 03:00:00,2618
2017-01-18 03:00:00,41194
2017-01-19 03:00:00,91810
2017-01-20 03:00:00,212481
2017-01-21 03:00:00,264684
2017-01-22 03:00:00,353547
2017-01-23 03:00:00,468438
2017-01-24 03:00:00,569730
2017-01-25 03:00:00,656048
2017-01-26 03:00:00,779384
2017-01-27 03:00:00,782079
2017-01-28 03:00:00,938990
2017-01-29 03:00:00,1038186
2017-01-30 03:00:00,1041211
2017-01-31 03:00:00,1140257
2017-02-01 03:00:00,1226424
2017-02-02 03:00:00,1302708
2017-02-03 03:00:00,1417328
2017-02-04 03:00:00,1542790
2017-02-05 03:00:00,1628958
2017-02-06 03:00:00,1664749
