"Time","41460.mode"
2016-10-31 03:00:00,2
2016-11-01 03:00:00,2
2016-11-02 03:00:00,2
2016-11-03 03:00:00,2
2016-11-04 03:00:00,2
2016-11-05 03:00:00,2
2016-11-06 03:00:00,2
2016-11-07 03:00:00,2
2016-11-08 03:00:00,2
2016-11-09 03:00:00,2
2016-11-10 03:00:00,2
2016-11-11 03:00:00,2
2016-11-12 03:00:00,2
2016-11-13 03:00:00,2
2016-11-14 03:00:00,2
2016-11-15 03:00:00,2
2016-11-16 03:00:00,2
2016-11-17 03:00:00,2
2016-11-18 03:00:00,2
2016-11-19 03:00:00,2
2016-11-20 03:00:00,2
2016-11-21 03:00:00,2
2016-11-22 03:00:00,2
2016-11-23 03:00:00,2
2016-11-24 03:00:00,2
2016-11-25 03:00:00,2
2016-11-26 03:00:00,135
2016-11-27 03:00:00,138
2016-11-28 03:00:00,2
2016-11-29 03:00:00,2
2016-11-30 03:00:00,2
2016-12-01 03:00:00,2
2016-12-02 03:00:00,2
2016-12-03 03:00:00,2
2016-12-04 03:00:00,2
2016-12-05 03:00:00,2
2016-12-06 03:00:00,2
2016-12-07 03:00:00,2
2016-12-08 03:00:00,2
2016-12-09 03:00:00,2
2016-12-10 03:00:00,2
2016-12-11 03:00:00,2
2016-12-12 03:00:00,2
2016-12-13 03:00:00,2
2016-12-14 03:00:00,2
2016-12-15 03:00:00,2
2016-12-16 03:00:00,2
2016-12-17 03:00:00,2
2016-12-18 03:00:00,2
2016-12-19 03:00:00,2
2016-12-20 03:00:00,2
2016-12-21 03:00:00,2
2016-12-22 03:00:00,2
2016-12-23 03:00:00,2
2016-12-24 03:00:00,2
2016-12-25 03:00:00,2
2016-12-26 03:00:00,2
2016-12-27 03:00:00,2
2016-12-28 03:00:00,2
2016-12-29 03:00:00,2
2016-12-30 03:00:00,2
2016-12-31 03:00:00,2
2017-01-01 03:00:00,2
2017-01-02 03:00:00,2
2017-01-03 03:00:00,113
2017-01-04 03:00:00,52
2017-01-05 03:00:00,2
2017-01-06 03:00:00,2
2017-01-07 03:00:00,2
2017-01-08 03:00:00,2
2017-01-09 03:00:00,2
2017-01-10 03:00:00,2
2017-01-11 03:00:00,2
2017-01-12 03:00:00,2
2017-01-13 03:00:00,2
2017-01-14 03:00:00,2
2017-01-15 03:00:00,2
2017-01-16 03:00:00,2
2017-01-17 03:00:00,2
2017-01-18 03:00:00,2
2017-01-19 03:00:00,2
2017-01-20 03:00:00,2
2017-01-21 03:00:00,2
2017-01-22 03:00:00,2
2017-01-23 03:00:00,2
2017-01-24 03:00:00,2
2017-01-25 03:00:00,2
2017-01-26 03:00:00,2
2017-01-27 03:00:00,2
2017-01-28 03:00:00,2
2017-01-29 03:00:00,148
2017-01-30 03:00:00,149
2017-01-31 03:00:00,154
2017-02-01 03:00:00,174
2017-02-02 03:00:00,168
2017-02-03 03:00:00,145
2017-02-04 03:00:00,172
2017-02-05 03:00:00,133
2017-02-06 03:00:00,158
2017-02-07 03:00:00,154
2017-02-08 03:00:00,168
2017-02-09 03:00:00,149
2017-02-10 03:00:00,137
2017-02-11 03:00:00,141
2017-02-12 03:00:00,160
2017-02-13 03:00:00,180
2017-02-14 03:00:00,155
2017-02-15 03:00:00,167
2017-02-16 03:00:00,2
2017-02-17 03:00:00,2
2017-02-18 03:00:00,2
2017-02-19 03:00:00,2
2017-02-20 03:00:00,2
2017-02-21 03:00:00,2
2017-02-22 03:00:00,2
2017-02-23 03:00:00,2
2017-02-24 03:00:00,2
2017-02-25 03:00:00,2
2017-02-26 03:00:00,2
2017-02-27 03:00:00,2
2017-02-28 03:00:00,2
2017-03-01 03:00:00,2
2017-03-02 03:00:00,2
2017-03-03 03:00:00,2
2017-03-04 03:00:00,2
2017-03-05 03:00:00,2
2017-03-06 03:00:00,2
2017-03-07 03:00:00,2
2017-03-08 03:00:00,2
2017-03-09 03:00:00,2
2017-03-10 03:00:00,2
2017-03-11 03:00:00,2
2017-03-12 03:00:00,2
2017-03-27 03:00:00,135
2017-03-28 03:00:00,1
2017-03-29 03:00:00,2
2017-03-30 03:00:00,2
2017-03-31 03:00:00,2
2017-04-01 03:00:00,2
2017-04-02 03:00:00,2
2017-04-03 03:00:00,0
2017-04-04 03:00:00,0
2017-04-05 03:00:00,0
2017-04-06 03:00:00,0
2017-04-07 03:00:00,2
2017-04-08 03:00:00,0
2017-04-09 03:00:00,0
2017-04-10 03:00:00,2
2017-04-11 03:00:00,0
2017-04-12 03:00:00,0
2017-04-13 03:00:00,2
2017-04-14 03:00:00,2
2017-04-15 03:00:00,2
2017-04-16 03:00:00,0
2017-04-17 03:00:00,0
2017-04-18 03:00:00,2
2017-04-19 03:00:00,0
2017-04-20 03:00:00,140
2017-04-21 03:00:00,2
2017-04-22 03:00:00,0
2017-04-23 03:00:00,2
2017-04-24 03:00:00,2
2017-04-25 03:00:00,0
2017-04-26 03:00:00,160
2017-04-27 03:00:00,0
2017-04-28 03:00:00,2
2017-04-29 03:00:00,0
2017-04-30 03:00:00,0
2017-05-01 03:00:00,0
2017-05-02 03:00:00,0
2017-05-03 03:00:00,0
2017-05-04 03:00:00,0
2017-05-05 03:00:00,0
2017-05-06 03:00:00,0
2017-05-07 03:00:00,0
2017-05-08 03:00:00,0
2017-05-09 03:00:00,140
2017-05-10 03:00:00,0
2017-05-11 03:00:00,0
2017-05-12 03:00:00,0
2017-05-13 03:00:00,2
2017-05-14 03:00:00,2
2017-05-15 03:00:00,2
2017-05-16 03:00:00,0
2017-05-17 03:00:00,2
