"Time","Detumbling Status 00:Success 01:started 10:fault 11:timeout","Detumbling enabled yes/no","ADCS automatic mode yes/no","Magnetorquers enabled yes/no","ADCS manual mode yes/no","Mag fault yes/no","Gyro acc fault yes/no"
2020-09-01 03:00:00,0,0,1,0,0,0,0
2020-09-03 03:00:00,0,0,0,0,1,0,0
2020-09-04 03:00:00,0,0,0,0,1,0,0
2020-09-05 03:00:00,0,0,0,0,1,0,0
2020-09-06 03:00:00,0,0,0,0,1,0,0
2020-09-07 03:00:00,0,0,0,0,1,0,0
2020-09-08 03:00:00,0,0,1,0,0,0,0
2020-09-09 03:00:00,0,0,1,0,0,0,0
2020-09-10 03:00:00,0,0,0,0,1,0,0
2020-09-11 03:00:00,0,0,1,0,0,0,0
2020-09-12 03:00:00,0,0,0,0,0,0,0
2020-09-13 03:00:00,0,0,0,0,0,0,0
2020-09-14 03:00:00,0,0,1,0,0,0,0
2020-09-15 03:00:00,0,0,1,0,0,0,0
2020-09-16 03:00:00,0,0,1,0,0,0,0
2020-09-17 03:00:00,0,0,0,0,1,1,0
2021-02-08 03:00:00,0,0,1,0,0,0,0

