"Time","boot count"
2014-10-09 03:00:00,
2014-10-16 03:00:00,
2014-10-23 03:00:00,
2014-10-30 03:00:00,
2014-11-06 03:00:00,
2014-11-13 03:00:00,
2014-11-20 03:00:00,
2014-11-27 03:00:00,
2014-12-04 03:00:00,
2014-12-11 03:00:00,
2014-12-18 03:00:00,
2014-12-25 03:00:00,
2015-01-01 03:00:00,
2015-01-08 03:00:00,
2015-01-15 03:00:00,
2015-01-22 03:00:00,
2015-01-29 03:00:00,
2015-02-05 03:00:00,
2015-02-12 03:00:00,
2015-02-19 03:00:00,
2015-02-26 03:00:00,
2015-03-05 03:00:00,
2015-03-12 03:00:00,
2015-03-19 03:00:00,
2015-03-26 03:00:00,
2015-04-02 03:00:00,
2015-04-09 03:00:00,
2015-04-16 03:00:00,
2015-04-23 03:00:00,
2015-04-30 03:00:00,
2015-05-07 03:00:00,
2015-05-14 03:00:00,
2015-05-21 03:00:00,
2015-05-28 03:00:00,
2015-06-04 03:00:00,
2015-06-11 03:00:00,
2015-06-18 03:00:00,
2015-06-25 03:00:00,
2015-07-02 03:00:00,
2015-07-09 03:00:00,
2015-07-16 03:00:00,
2015-07-23 03:00:00,
2015-07-30 03:00:00,
2015-08-06 03:00:00,
2015-08-13 03:00:00,
2015-08-20 03:00:00,
2015-08-27 03:00:00,
2015-09-03 03:00:00,
2015-09-10 03:00:00,
2015-09-17 03:00:00,
2015-09-24 03:00:00,
2015-10-01 03:00:00,
2015-10-08 03:00:00,
2015-10-15 03:00:00,
2015-10-22 03:00:00,
2015-10-29 03:00:00,
2015-11-05 03:00:00,
2015-11-12 03:00:00,
2015-11-19 03:00:00,
2015-11-26 03:00:00,
2015-12-03 03:00:00,
2015-12-10 03:00:00,
2015-12-17 03:00:00,
2015-12-24 03:00:00,
2015-12-31 03:00:00,
2016-01-07 03:00:00,
2016-01-14 03:00:00,
2016-01-21 03:00:00,
2016-01-28 03:00:00,
2016-02-04 03:00:00,
2016-02-11 03:00:00,
2016-02-18 03:00:00,
2016-02-25 03:00:00,
2016-03-03 03:00:00,
2016-03-10 03:00:00,
2016-03-17 03:00:00,
2016-03-24 03:00:00,
2016-03-31 03:00:00,
2016-04-07 03:00:00,
2016-04-14 03:00:00,
2016-04-21 03:00:00,
2016-04-28 03:00:00,
2016-05-05 03:00:00,
2016-05-12 03:00:00,
2016-05-19 03:00:00,
2016-05-26 03:00:00,
2016-06-02 03:00:00,
2016-06-09 03:00:00,
2016-06-16 03:00:00,
2016-06-23 03:00:00,
2016-06-30 03:00:00,
2016-07-07 03:00:00,
2016-07-14 03:00:00,
2016-07-21 03:00:00,
2016-07-28 03:00:00,
2016-08-04 03:00:00,
2016-08-11 03:00:00,
2016-08-18 03:00:00,
2016-08-25 03:00:00,
2016-09-01 03:00:00,
2016-09-08 03:00:00,
2016-09-15 03:00:00,
2016-09-22 03:00:00,
2016-09-29 03:00:00,
2016-10-06 03:00:00,
2016-10-13 03:00:00,
2016-10-20 03:00:00,
2016-10-27 03:00:00,
2016-11-03 03:00:00,
2016-11-10 03:00:00,
2016-11-17 03:00:00,
2016-11-24 03:00:00,
2016-12-01 03:00:00,
2016-12-08 03:00:00,
2016-12-15 03:00:00,
2016-12-22 03:00:00,
2016-12-29 03:00:00,
2017-01-05 03:00:00,
