"Time","I In (main EPS)","Input Current (main EPS)","I In (redundant EPS)","Input Current (redundant EPS)"
2020-09-01 03:00:00,41,40,42,40
2020-09-03 03:00:00,53,58,40,40
2020-09-04 03:00:00,46,60,41,40
2020-09-05 03:00:00,44,38,41,40
2020-09-06 03:00:00,43,54,42,40
2020-09-07 03:00:00,44,39,41,40
2020-09-08 03:00:00,43,40,41,40
2020-09-09 03:00:00,43,40,42,40
2020-09-10 03:00:00,68,58,44,40
2020-09-11 03:00:00,69,62,42,40
2020-09-12 03:00:00,47,62,39,40
2020-09-13 03:00:00,47,61,39,40
2020-09-14 03:00:00,47,59,39,40
2020-09-15 03:00:00,47,60,39,40
2020-09-16 03:00:00,47,60,39,40
2020-09-17 03:00:00,40,60,39,40
2020-09-18 03:00:00,40,60,39,40
2020-09-19 03:00:00,40,61,39,40
2020-09-20 03:00:00,40,60,39,40
2020-09-21 03:00:00,40,62,39,40
2020-09-22 03:00:00,40,60,39,40
2020-09-23 03:00:00,40,60,39,40
2020-09-24 03:00:00,47,60,39,40
2020-09-25 03:00:00,40,60,39,40
2020-09-26 03:00:00,40,60,39,40
2020-09-27 03:00:00,40,60,39,40
2020-09-28 03:00:00,40,61,39,40
2020-09-29 03:00:00,40,60,39,40
2020-09-30 03:00:00,53,58,39,40
2020-10-01 03:00:00,40,59,39,40
2020-10-02 03:00:00,40,62,39,40
2020-10-03 03:00:00,40,62,39,40
2020-10-04 03:00:00,40,58,39,40
2020-10-05 03:00:00,40,60,39,40
2020-10-06 03:00:00,47,60,39,40
2020-10-07 03:00:00,40,59,39,40
2020-10-08 03:00:00,40,60,39,40
2020-10-09 03:00:00,40,61,39,40
2020-10-10 03:00:00,40,58,39,40
2020-10-11 03:00:00,40,60,39,40
2020-10-12 03:00:00,40,60,39,40
2020-10-13 03:00:00,46,63,39,40
2020-10-14 03:00:00,40,60,39,40
2020-10-15 03:00:00,40,60,39,40
2020-10-16 03:00:00,47,62,39,40
2020-10-17 03:00:00,47,60,39,40
2020-10-18 03:00:00,40,61,39,40
2020-10-19 03:00:00,40,57,39,40
2020-10-20 03:00:00,40,61,39,40
2020-10-21 03:00:00,40,60,39,40
2020-10-22 03:00:00,40,59,39,40
2020-10-23 03:00:00,43,60,39,40
2020-10-24 03:00:00,40,60,39,40
2020-10-25 03:00:00,40,60,39,40
2020-10-26 03:00:00,40,62,39,40
2020-10-27 03:00:00,43,60,39,40
2020-10-28 03:00:00,40,58,39,40
2020-10-29 03:00:00,43,62,39,40
2020-10-30 03:00:00,40,62,39,40
2020-10-31 03:00:00,40,60,39,40
2020-11-01 03:00:00,40,59,39,40
2020-11-02 03:00:00,40,59,39,40
2020-11-03 03:00:00,40,60,39,40
2020-11-04 03:00:00,40,60,39,40
2020-11-05 03:00:00,40,62,39,40
2020-11-06 03:00:00,40,60,39,40
2020-11-07 03:00:00,40,60,39,40
2020-11-08 03:00:00,40,60,39,40
2020-11-09 03:00:00,40,62,39,40
2020-11-10 03:00:00,40,60,39,40
2020-11-11 03:00:00,40,62,39,40
2020-11-12 03:00:00,40,60,39,40
2020-11-13 03:00:00,40,60,39,40
2020-11-14 03:00:00,40,60,39,40
2020-11-15 03:00:00,40,54,39,40
2020-11-16 03:00:00,43,61,39,40
2020-11-17 03:00:00,40,60,39,40
2020-11-18 03:00:00,43,61,39,40
2020-11-19 03:00:00,40,62,39,40
2020-11-20 03:00:00,40,60,39,40
2020-11-21 03:00:00,40,61,39,40
2020-11-22 03:00:00,40,62,39,40
2020-11-23 03:00:00,40,62,39,40
2020-11-24 03:00:00,40,60,39,40
2020-11-25 03:00:00,40,61,39,40
2020-11-26 03:00:00,40,60,39,40
2020-11-27 03:00:00,40,60,39,40
2020-11-28 03:00:00,40,60,39,40
2020-11-29 03:00:00,40,51,39,40
2020-11-30 03:00:00,40,61,39,40
2020-12-01 03:00:00,43,60,39,40
2020-12-02 03:00:00,40,61,39,40
2020-12-03 03:00:00,40,61,39,40
2020-12-04 03:00:00,40,62,39,40
2020-12-05 03:00:00,40,60,39,40
2020-12-15 03:00:00,43,57,39,40
2020-12-16 03:00:00,40,62,39,40
2020-12-17 03:00:00,40,60,39,40
2020-12-18 03:00:00,40,67,39,40
2020-12-19 03:00:00,40,49,39,40
2020-12-20 03:00:00,40,60,39,40
2020-12-21 03:00:00,43,73,39,40
2020-12-22 03:00:00,40,60,39,40
2020-12-23 03:00:00,40,61,39,40
2020-12-24 03:00:00,40,60,39,40
2020-12-25 03:00:00,40,60,39,40
2020-12-26 03:00:00,40,60,39,40
2020-12-27 03:00:00,40,62,39,40
2020-12-28 03:00:00,40,62,39,40
2020-12-29 03:00:00,40,60,39,40
2020-12-30 03:00:00,43,60,39,40
2020-12-31 03:00:00,40,60,39,40
2021-01-01 03:00:00,40,60,39,40
2021-01-02 03:00:00,40,61,39,40
2021-01-03 03:00:00,58,79,40,40
2021-01-04 03:00:00,43,63,39,40
2021-01-05 03:00:00,47,64,39,40
2021-01-06 03:00:00,44,63,39,40
2021-01-07 03:00:00,43,60,39,40
2021-01-08 03:00:00,40,63,40,40
2021-01-09 03:00:00,40,60,39,40
2021-01-10 03:00:00,40,54,39,40
2021-01-11 03:00:00,40,63,39,40
2021-01-12 03:00:00,40,60,39,40
2021-01-13 03:00:00,41,60,39,40
2021-01-14 03:00:00,40,62,39,40
2021-01-15 03:00:00,40,62,40,40
2021-01-16 03:00:00,40,62,39,40
2021-01-17 03:00:00,43,62,39,40
2021-01-18 03:00:00,43,61,39,40
2021-01-19 03:00:00,40,62,39,40
2021-01-20 03:00:00,40,62,39,40
2021-01-21 03:00:00,40,60,40,40
2021-01-22 03:00:00,40,62,39,40
2021-01-23 03:00:00,40,65,39,40
2021-01-24 03:00:00,40,51,39,40
2021-02-01 03:00:00,43,60,39,40
2021-02-02 03:00:00,43,62,39,40
2021-02-03 03:00:00,40,60,39,40
2021-02-04 03:00:00,40,60,39,40
2021-02-05 03:00:00,40,64,39,40
2021-02-06 03:00:00,40,61,39,40
2021-02-07 03:00:00,40,60,39,40
2021-02-08 03:00:00,40,40,39,40
2021-02-09 03:00:00,39,60,39,40
2021-02-10 03:00:00,40,62,39,40
2021-02-11 03:00:00,40,60,39,40
2021-02-12 03:00:00,40,51,39,40
2021-02-13 03:00:00,40,61,39,40
2021-02-14 03:00:00,40,62,39,40
2021-02-15 03:00:00,40,61,39,40
2021-02-16 03:00:00,40,61,39,40
2021-02-17 03:00:00,40,62,40,40
2021-02-18 03:00:00,40,54,39,40
2021-02-19 03:00:00,40,62,39,40
2021-02-20 03:00:00,40,61,39,40
2021-02-21 03:00:00,40,62,39,40
2021-02-22 03:00:00,40,60,39,40
2021-02-23 03:00:00,40,62,39,40
2021-02-24 03:00:00,43,65,39,40
2021-02-25 03:00:00,40,65,39,40
2021-02-26 03:00:00,41,62,41,40
2021-02-27 03:00:00,40,60,40,40
2021-02-28 03:00:00,40,60,39,40
