"Time","Input Power (main EPS)","P In (main EPS)","P Peak (main EPS)","Peak Power (main EPS)","Input Power (redundant EPS)","P In (redundant EPS)","P Peak (redundant EPS)"
2020-09-01 03:00:00,5,30,1234,584,28,57,1417
2020-09-03 03:00:00,232,181,2013,1304,36,51,628
2020-09-04 03:00:00,223,99,1899,1317,38,59,679
2020-09-05 03:00:00,-12,68,1768,1358,34,47,649
2020-09-06 03:00:00,192,49,1653,991,33,62,737
2020-09-07 03:00:00,1,63,1447,883,31,50,773
2020-09-08 03:00:00,61,48,1563,910,32,62,778
2020-09-09 03:00:00,233,48,1563,3532,32,62,766
2020-09-10 03:00:00,239,361,3375,1154,39,87,767
2020-09-11 03:00:00,272,374,3166,1331,47,84,842
2020-09-12 03:00:00,290,113,2020,1358,63,64,472
2020-09-13 03:00:00,273,106,2051,1331,72,73,472
2020-09-14 03:00:00,246,104,2196,1331,74,76,472
2020-09-15 03:00:00,267,105,2039,1331,75,77,472
2020-09-16 03:00:00,266,108,2078,1345,76,76,471
2020-09-17 03:00:00,167,16,1947,1358,72,73,472
2020-09-18 03:00:00,273,17,1943,1345,75,76,472
2020-09-19 03:00:00,268,17,1944,1358,76,78,472
2020-09-20 03:00:00,254,16,1932,1331,76,78,472
2020-09-21 03:00:00,294,16,1963,1331,75,77,472
2020-09-22 03:00:00,246,14,1968,1385,75,75,472
2020-09-23 03:00:00,260,99,2312,1358,72,73,472
2020-09-24 03:00:00,246,16,1976,1385,70,72,472
2020-09-25 03:00:00,261,15,1972,1385,70,71,472
2020-09-26 03:00:00,233,19,1957,1358,70,71,472
2020-09-27 03:00:00,250,19,2206,1358,71,72,472
2020-09-28 03:00:00,232,18,1967,1385,72,74,472
2020-09-29 03:00:00,261,18,1962,1358,76,78,472
2020-09-30 03:00:00,235,177,2230,1358,78,79,472
2020-10-01 03:00:00,273,56,2194,1345,82,83,472
2020-10-02 03:00:00,137,15,2005,1358,82,84,472
2020-10-03 03:00:00,287,17,1973,1345,82,84,472
2020-10-04 03:00:00,235,15,1965,1358,83,84,472
2020-10-05 03:00:00,267,17,1968,1358,83,85,473
2020-10-06 03:00:00,253,104,2183,1345,84,86,472
2020-10-07 03:00:00,172,17,1971,1358,85,87,472
2020-10-08 03:00:00,172,19,1971,1358,86,88,472
2020-10-09 03:00:00,267,17,1968,1358,86,88,472
2020-10-10 03:00:00,273,19,1968,1372,86,88,472
2020-10-11 03:00:00,232,17,1966,1358,86,88,473
2020-10-12 03:00:00,267,17,1968,1372,87,89,472
2020-10-13 03:00:00,302,97,1969,1372,87,83,472
2020-10-14 03:00:00,301,18,1967,1372,82,84,473
2020-10-15 03:00:00,137,16,1967,1358,82,84,472
2020-10-16 03:00:00,301,105,2194,1345,83,85,472
2020-10-17 03:00:00,267,99,2199,1358,85,87,472
2020-10-18 03:00:00,300,17,2208,1358,86,88,472
2020-10-19 03:00:00,267,17,1981,1385,87,89,472
2020-10-20 03:00:00,294,19,1977,1372,88,90,472
2020-10-21 03:00:00,260,22,1777,1372,88,90,473
2020-10-22 03:00:00,321,17,2002,1385,88,90,473
2020-10-23 03:00:00,246,63,2034,1385,89,91,473
2020-10-24 03:00:00,248,16,1776,1399,89,91,473
2020-10-25 03:00:00,246,18,1781,1358,88,90,472
2020-10-26 03:00:00,293,18,1861,1385,88,90,473
2020-10-27 03:00:00,234,58,1768,1372,88,89,473
2020-10-28 03:00:00,104,59,1852,1372,88,90,473
2020-10-29 03:00:00,294,99,2087,1372,88,90,473
2020-10-30 03:00:00,294,19,1771,1358,88,89,473
2020-10-31 03:00:00,280,16,1769,1385,86,88,473
2020-11-01 03:00:00,251,66,1985,1385,86,87,473
2020-11-02 03:00:00,172,65,1857,1372,86,88,472
2020-11-03 03:00:00,251,16,1772,1358,85,88,473
2020-11-04 03:00:00,239,60,1857,1399,85,87,473
2020-11-05 03:00:00,273,17,1776,1358,85,87,473
2020-11-06 03:00:00,248,15,1773,1345,83,85,473
2020-11-07 03:00:00,246,17,1775,1331,82,84,473
2020-11-08 03:00:00,165,17,1776,1345,82,84,473
2020-11-09 03:00:00,-12,19,1775,1385,82,83,474
2020-11-10 03:00:00,267,56,1855,1372,82,83,473
2020-11-11 03:00:00,303,19,1772,1345,81,84,473
2020-11-12 03:00:00,246,17,1768,1372,80,81,473
2020-11-13 03:00:00,279,18,1772,1345,80,82,473
2020-11-14 03:00:00,137,64,2128,1385,78,81,473
2020-11-15 03:00:00,279,16,1772,1372,79,80,473
2020-11-16 03:00:00,277,61,2171,1345,78,80,473
2020-11-17 03:00:00,266,19,1777,1399,79,79,473
2020-11-18 03:00:00,267,62,2034,1385,79,81,473
2020-11-19 03:00:00,288,61,1858,1385,80,82,473
2020-11-20 03:00:00,279,18,1777,1372,79,82,473
2020-11-21 03:00:00,279,18,1773,1385,79,80,473
2020-11-22 03:00:00,232,17,1775,1372,77,79,473
2020-11-23 03:00:00,279,19,1776,1372,75,77,474
2020-11-24 03:00:00,247,59,1874,1385,75,76,474
2020-11-25 03:00:00,278,21,1822,1385,74,76,473
2020-11-26 03:00:00,251,18,1777,1385,75,76,473
2020-11-27 03:00:00,266,59,1784,1358,73,75,474
