"Time","VHF Current RSSI","VHF Latch RSSI","UHF Current RSSI","UHF Latch RSSI"
2020-09-01 03:00:00,-39,-120,-84,-81
2020-09-03 03:00:00,-85,-120,-72,-74
2020-09-04 03:00:00,-79,-120,-78,-78
2020-09-05 03:00:00,-60,-120,-74,-74
2020-09-06 03:00:00,-79,-120,-78,-78
2020-09-07 03:00:00,-89,-120,-77,-77
2020-09-08 03:00:00,-61,-120,-79,-80
2020-09-09 03:00:00,-79,-120,-77,-78
2020-09-10 03:00:00,-66,-120,-81,-76
2020-09-11 03:00:00,-68,-120,-83,-78
2020-09-12 03:00:00,-79,-120,-77,-83
2020-09-13 03:00:00,-73,-120,-77,-78
2020-09-14 03:00:00,-78,-120,-83,-77
2020-09-15 03:00:00,-72,-120,-81,-77
2020-09-16 03:00:00,-46,-120,-71,-84
2020-09-17 03:00:00,-68,-120,-75,-76
2020-09-18 03:00:00,-58,-120,-84,-79
2020-09-19 03:00:00,-69,-120,-79,-78
2020-09-20 03:00:00,-77,-120,-83,-77
2020-09-21 03:00:00,-83,-120,-81,-75
2020-09-22 03:00:00,-74,-120,-81,-82
2020-09-23 03:00:00,-77,-120,-68,-78
2020-09-24 03:00:00,-79,-120,-80,-74
2020-09-25 03:00:00,-68,-120,-83,-78
2020-09-26 03:00:00,-83,-120,-82,-76
2020-09-27 03:00:00,-75,-120,-77,-81
2020-09-28 03:00:00,-81,-120,-84,-74
2020-09-29 03:00:00,-72,-120,-80,-78
2020-09-30 03:00:00,-69,-120,-77,-78
2020-10-01 03:00:00,-65,-120,-80,-72
2020-10-02 03:00:00,-72,-120,-76,-82
2020-10-03 03:00:00,-71,-120,-79,-76
2020-10-04 03:00:00,-63,-120,-79,-73
2020-10-05 03:00:00,-70,-120,-79,-80
2020-10-06 03:00:00,-65,-120,-79,-80
2020-10-07 03:00:00,-68,-120,-78,-79
2020-10-08 03:00:00,-74,-120,-83,-78
2020-10-09 03:00:00,-85,-120,-82,-77
2020-10-10 03:00:00,-82,-120,-75,-80
2020-10-11 03:00:00,-81,-120,-80,-73
2020-10-12 03:00:00,-77,-120,-75,-75
2020-10-13 03:00:00,-56,-120,-83,-78
2020-10-14 03:00:00,-72,-120,-84,-79
2020-10-15 03:00:00,-71,-120,-77,-75
2020-10-16 03:00:00,-65,-120,-79,-78
2020-10-17 03:00:00,-63,-120,-84,-82
2020-10-18 03:00:00,-65,-120,-77,-76
2020-10-19 03:00:00,-72,-120,-79,-75
2020-10-20 03:00:00,-53,-120,-83,-80
