"Time","Bat0 Current","Bat1 Current","Bat2 Current","Bat3 Current","Bat4 Current","Bat5 Current","Bat6 Current","Bat7 Current"
2019-07-02 03:00:00,0,0,0,0,0,0,0,0
2019-07-03 03:00:00,0,0,0,0,0,0,0,0
2019-07-04 03:00:00,0,0,0,0,0,0,0,0
2019-07-05 03:00:00,0.014,0.011,0.014,0.011,0.023,0.023,0.028,0.025
2019-07-06 03:00:00,0,0,0,0,0,0,0,0
2019-07-07 03:00:00,0,0,0,0,0,0,0,0
2019-07-08 03:00:00,0.024,0.021,0.019,0.017,0.037,0.037,0.047,0
2019-07-09 03:00:00,0.062,0.064,0.067,0.070,0.13,0.11,0.11,0
2019-07-10 03:00:00,0.015,0.016,0.017,0.018,0.041,0.029,0.028,0
2019-07-11 03:00:00,0.024,0.025,0.027,0.029,0.063,0.041,0.040,0
2019-07-12 03:00:00,0.068,0.068,0.076,0.076,0.15,0.13,0.13,0
2019-07-13 03:00:00,0.013,0.015,0.015,0.017,0.054,0.013,0.0100,0
2019-07-14 03:00:00,0,0,0,0,0,0,0,0
2019-07-15 03:00:00,0.050,0.054,0.054,0.061,0.13,0.12,0.12,0
2019-07-16 03:00:00,0,0,0,0,0,0,0,0
2019-07-17 03:00:00,0,0,0,0,0,0,0,0
2019-07-18 03:00:00,0,0,0,0,0,0,0,0
2019-07-19 03:00:00,0,0,0,0.00061,0.017,0,0,0
2019-07-20 03:00:00,0,0,0,0,0,0,0,0
2019-07-21 03:00:00,0,0,0,0,0,0,0,0
2019-07-22 03:00:00,0,0,0,0,0,0,0,0
2019-07-23 03:00:00,0,0,0,0,0,0,0,0
2019-07-24 03:00:00,0.030,0.025,0.025,0.025,0.041,0.042,0.046,0.045
2019-07-25 03:00:00,0,0,0,0,0,0,0,0
2019-07-26 03:00:00,0.065,0.059,0.058,0,0.074,0.093,0.093,0
2019-07-27 03:00:00,0.012,0.012,0,0.0090,0.0026,0,0,0
2019-07-28 03:00:00,0,0,0,0,0,0,0,0
2019-07-29 03:00:00,0,0,0,0,0,0,0,0
2019-07-30 03:00:00,0.038,0.036,0,0,0.0042,0,0,0
2019-08-02 03:00:00,0.091,0.094,0.083,0.083,0.19,0.16,0.16,0
2019-08-03 03:00:00,0,0,0,0.000094,0,0,0,0
2019-08-04 03:00:00,0.14,0.14,0.13,0,0.19,0.20,0,0.18
2019-08-05 03:00:00,0.11,0.11,0.10,0.093,0.13,0.19,0.18,0.19
2019-08-06 03:00:00,0.16,0.15,0.042,0.087,0.089,0.22,0.22,0.070
2019-08-08 03:00:00,0.062,0.064,0.043,0.060,0,0.038,0.055,0.048
2019-08-09 03:00:00,0,0,0,0,0,0,0,0
2019-08-10 03:00:00,0.0061,0.0073,0,0,0.016,0.0067,0,0
2019-08-11 03:00:00,0,0,0,0,0.021,0.021,0.021,0.020
2019-08-12 03:00:00,0,0,0,0,0,0,0,0
2019-08-13 03:00:00,0,0,0,0,0,0,0,0
2019-08-14 03:00:00,0,0,0,0,0,0,0,0
2019-08-15 03:00:00,0.058,0.083,0.0065,0.067,0.13,0.090,0.089,0
2019-08-16 03:00:00,0,0.015,0.015,0,0.010,0,0,0
2019-08-17 03:00:00,0,0,0,0,0,0,0,0
2019-08-18 03:00:00,0,0,0,0,0,0,0,0
2019-08-19 03:00:00,0,0,0,0,0,0,0,0
2019-08-20 03:00:00,0,0.0056,0.0041,0.0026,0,0.0036,0,0.0064
2019-08-21 03:00:00,0.046,0,0.047,0,0.093,0,0,0
2019-08-22 03:00:00,0,0,0,0,0,0,0,0
2019-08-23 03:00:00,0.11,0.11,0,0,0.15,0.025,0.15,0.16
2019-08-24 03:00:00,0.063,0.078,0.022,0.022,0.073,0.0051,0.094,0
2019-08-25 03:00:00,0.047,0.050,0.053,0.064,0,0.10,0.090,0.089
2019-08-26 03:00:00,0,0.28,0.26,0.30,0.32,0.44,0.45,0.44
2019-08-27 03:00:00,0,0.22,0.067,0.22,0.25,0.28,0.29,0
2019-08-28 03:00:00,0,0.029,0,0.041,0,0.023,0.010,0
2019-08-29 03:00:00,0.074,0.081,0.081,0.093,0.17,0.14,0.12,0.088
2019-08-30 03:00:00,0,0,0,0,0,0,0,0
2019-08-31 03:00:00,0,0,0,0,0,0,0,0
2019-09-01 03:00:00,0,0,0,0,0,0,0,0
2019-09-02 03:00:00,0,0,0,0,0,0,0,0
2019-09-03 03:00:00,0,0,0,0,0,0,0,0
2019-09-04 03:00:00,0,0,0,0,0,0,0,0
2019-09-05 03:00:00,0,0,0,0,0,0,0,0
2019-09-06 03:00:00,0,0,0,0,0,0,0,0
2019-09-07 03:00:00,0,0,0,0,0,0,0,0
2019-09-08 03:00:00,0.17,0.17,0.14,0.16,0.18,0.22,0.25,0.24
2019-09-09 03:00:00,0,0,0,0,0,0,0,0
2019-09-10 03:00:00,0.074,0.074,0.064,0.071,0.071,0.11,0.13,0.12
2019-09-11 03:00:00,0.024,0.018,0.014,0.015,0.019,0.018,0.026,0
2019-09-12 03:00:00,0,0,0.0012,0,0,0.037,0.029,0
2019-09-13 03:00:00,0,0,0,0,0,0,0,0
2019-09-14 03:00:00,0,0,0,0,0,0,0,0
2019-09-16 03:00:00,0,0,0,0,0,0,0,0
2019-09-17 03:00:00,0.0057,0.0018,0,0,0.032,0.012,0.0063,0
