"Time","Bat0 Voltage","Bat1 Voltage","Bat2 Voltage","Bat3 Voltage","Bat4 Voltage","Bat5 Voltage","Bat6 Voltage","Bat7 Voltage"
2019-07-02 03:00:00,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
2019-07-03 03:00:00,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
2019-07-04 03:00:00,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
2019-07-05 03:00:00,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
2019-07-06 03:00:00,3.9,4.0,3.9,4.0,4.0,4.0,4.0,4.0
2019-07-07 03:00:00,3.8,3.9,3.8,3.9,3.8,3.8,3.8,3.9
2019-07-08 03:00:00,3.9,3.9,3.9,3.9,3.9,3.9,3.8,3.9
2019-07-09 03:00:00,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9
2019-07-10 03:00:00,3.8,3.9,3.8,3.9,3.8,3.8,3.8,3.9
2019-07-11 03:00:00,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.9
2019-07-12 03:00:00,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9
2019-07-13 03:00:00,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.9
2019-07-14 03:00:00,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.9
2019-07-15 03:00:00,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9
2019-07-16 03:00:00,3.8,3.8,3.8,3.8,3.8,3.9,3.8,3.9
2019-07-17 03:00:00,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.9
2019-07-18 03:00:00,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.9
2019-07-19 03:00:00,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.9
2019-07-20 03:00:00,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8
2019-07-21 03:00:00,3.8,3.8,3.8,3.8,3.9,3.9,3.8,3.9
2019-07-22 03:00:00,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8
2019-07-23 03:00:00,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9
2019-07-24 03:00:00,3.8,3.9,3.8,3.9,3.8,3.9,3.8,3.8
2019-07-25 03:00:00,3.6,3.6,3.6,3.9,3.6,3.6,3.6,3.9
2019-07-26 03:00:00,3.8,3.8,3.7,3.9,3.8,3.8,3.8,3.8
2019-07-27 03:00:00,3.8,3.8,3.7,3.8,3.9,3.9,3.8,3.9
2019-07-28 03:00:00,3.8,3.8,3.7,3.8,3.8,3.9,3.8,3.8
2019-07-29 03:00:00,3.7,3.7,3.7,3.8,3.7,3.7,3.9,3.9
2019-07-30 03:00:00,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7
2019-08-02 03:00:00,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.9
2019-08-03 03:00:00,3.7,3.8,3.7,3.8,3.8,3.8,3.8,3.9
2019-08-04 03:00:00,3.9,3.9,3.9,3.8,3.9,3.9,3.8,3.9
2019-08-05 03:00:00,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8
2019-08-06 03:00:00,3.9,3.9,3.9,3.9,3.9,3.9,3.9,4.0
2019-08-08 03:00:00,3.7,3.7,3.7,3.7,3.9,3.7,3.7,3.7
2019-08-09 03:00:00,3.6,3.6,3.6,3.6,3.9,3.6,3.6,3.6
2019-08-10 03:00:00,3.3,3.4,3.4,3.4,3.4,3.4,3.4,3.4
2019-08-11 03:00:00,3.8,3.8,3.7,3.6,3.8,3.8,3.8,3.8
2019-08-12 03:00:00,3.6,3.7,3.6,3.6,3.7,3.7,3.7,3.7
2019-08-13 03:00:00,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8
2019-08-14 03:00:00,3.7,3.7,3.8,3.7,3.7,3.7,3.7,3.8
2019-08-15 03:00:00,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8
2019-08-16 03:00:00,3.6,3.7,3.7,3.7,3.7,3.7,3.7,3.7
2019-08-17 03:00:00,3.7,3.8,3.7,3.7,3.7,3.7,3.7,3.8
2019-08-18 03:00:00,2.9,2.9,2.9,2.9,2.9,3.0,3.0,3.2
2019-08-19 03:00:00,3.1,3.3,3.3,3.3,3.3,3.2,3.1,3.2
2019-08-20 03:00:00,3.7,3.9,3.9,3.9,3.9,3.9,3.7,3.9
2019-08-21 03:00:00,3.7,3.8,3.8,3.7,3.8,3.8,3.7,3.8
2019-08-22 03:00:00,3.6,3.6,3.6,3.6,3.6,3.8,3.7,3.7
2019-08-23 03:00:00,3.8,3.8,3.7,3.7,3.7,3.8,3.8,3.8
