"Time","Bat0 Temperature","Bat1 Temperature","Bat2 Temperature","Bat3 Temperature","Bat4 Temperature","Bat5 Temperature","Bat6 Temperature","Bat7 Temperature"
2019-07-02 03:00:00,0.040,0,0.24,0,0.24,0.24,0.24,0.74
2019-07-03 03:00:00,3.3,3.3,3.4,3.2,3.3,3.5,3.4,3.8
2019-07-04 03:00:00,3.3,3.3,3.3,3.2,3.3,3.6,3.3,3.7
2019-07-05 03:00:00,0.98,1.1,1.1,1,1,1.2,1.1,1.5
2019-07-06 03:00:00,5.8,5.8,5.8,5.6,5.7,5.8,6.1,6.3
2019-07-07 03:00:00,1.2,1.2,1.2,1.1,1.2,1.5,1.4,1.7
2019-07-08 03:00:00,4.4,4.4,4.2,4.0,4.3,4.3,4.5,4.7
2019-07-09 03:00:00,4.2,4.3,4.2,4.2,4.4,4.5,4.3,4.8
2019-07-10 03:00:00,1.6,1.7,1.7,1.8,1.9,2.0,1.7,2.2
2019-07-11 03:00:00,1.4,1.5,1.5,1.4,1.5,1.7,1.5,1.9
2019-07-12 03:00:00,0.93,1.0,1.1,0.96,1.0,1.2,0.92,1.4
2019-07-13 03:00:00,1.5,1.6,1.8,1.9,2.1,2.2,1.8,2.3
2019-07-14 03:00:00,3.0,3.0,3.1,3.0,3.1,3.3,3.1,3.5
2019-07-15 03:00:00,5.9,6.1,6.0,6.1,6.6,6.7,6.2,6.9
2019-07-16 03:00:00,7.9,8.0,8.0,8.0,8.1,8.2,8.0,8.5
2019-07-17 03:00:00,5.4,5.5,5.6,5.6,5.4,5.5,5.3,5.8
2019-07-18 03:00:00,2.8,2.9,3.0,2.9,3.2,3.3,3.1,3.6
2019-07-19 03:00:00,2.0,2.0,2.1,2.1,2.2,2.4,2.2,2.6
2019-07-20 03:00:00,2.5,2.5,2.6,2.5,2.7,2.8,2.6,3.1
2019-07-21 03:00:00,6.0,6.1,6.0,6.0,5.7,5.8,5.8,6.3
2019-07-22 03:00:00,6.1,6.2,6.3,6.3,6.4,6.6,6.3,6.9
2019-07-23 03:00:00,10,10,10,10,10,10,10,11
2019-07-24 03:00:00,13,13,13,13,13,13,13,14
2019-07-25 03:00:00,-4,-4,-4,-5,-4,-4,-4,-3
2019-07-26 03:00:00,18,18,18,18,19,19,19,19
2019-07-27 03:00:00,24,24,24,24,24,24,24,25
2019-07-28 03:00:00,16,16,16,15,16,16,16,17
2019-07-29 03:00:00,10,10,10,9.9,10,11,11,11
2019-07-30 03:00:00,12,12,12,12,14,14,14,14
2019-08-02 03:00:00,9.5,9.7,9.5,9.5,10,10,9.8,11
2019-08-03 03:00:00,25,25,25,25,25,25,25,25
2019-08-04 03:00:00,23,23,23,23,24,24,24,24
2019-08-05 03:00:00,15,14,14,14,15,15,15,15
2019-08-06 03:00:00,8.3,8.2,8.0,7.8,8.1,8.1,8.3,8.6
2019-08-08 03:00:00,10.0,10,10,10,10,10,10,11
2019-08-09 03:00:00,14,15,14,15,14,15,14,15
2019-08-10 03:00:00,2,2.0,1.7,1.8,2.5,2.6,2.4,3.0
2019-08-11 03:00:00,15,15,15,15,16,16,16,16
2019-08-12 03:00:00,14,14,14,14,15,15,15,16
2019-08-13 03:00:00,15,15,15,15,15,15,15,16
2019-08-14 03:00:00,19,19,19,19,20,20,20,20
2019-08-15 03:00:00,10,10,10,10,11,11,11,11
2019-08-16 03:00:00,11,11,10,10,11,11,9.7,10
2019-08-17 03:00:00,16,16,16,16,16,16,16,17
2019-08-18 03:00:00,-12,-12,-12,-12,-11,-11,-11,-11
2019-08-19 03:00:00,3.3,3.5,3.5,3.8,3.5,1.9,1.3,2
2019-08-20 03:00:00,29,29,29,29,29,29,29,30
2019-08-21 03:00:00,21,21,21,21,22,22,21,22
2019-08-22 03:00:00,7.7,7.8,7.6,7.6,7.0,7.2,7.2,7.7
2019-08-23 03:00:00,20,20,19,19,19,19,19,20
2019-08-24 03:00:00,14,14,14,14,14,14,14,14
2019-08-25 03:00:00,8.2,8.2,8.5,8.5,8.1,8.3,7.9,8.6
2019-08-26 03:00:00,18,17,17,17,17,17,18,18
2019-08-27 03:00:00,18,18,18,18,18,18,17,18
2019-08-28 03:00:00,13,13,12,12,12,13,13,13
2019-08-29 03:00:00,-1,0,0,0,0.34,0.56,0,0.69
2019-08-30 03:00:00,19,20,20,20,20,20,20,21
2019-08-31 03:00:00,21,21,20,20,21,21,22,22
2019-09-01 03:00:00,19,19,19,19,18,19,19,19
2019-09-02 03:00:00,22,22,22,22,22,22,22,23
2019-09-03 03:00:00,16,17,16,16,17,17,17,17
2019-09-04 03:00:00,-20,-20,-20,-21,-20,-20,-20,-20
2019-09-05 03:00:00,-7,-7,-7,-7,-7,-7,-7,-6
2019-09-06 03:00:00,18,17,17,16,16,16,17,16
2019-09-07 03:00:00,14,15,14,14,14,15,15,15
2019-09-08 03:00:00,12,12,12,12,12,12,12,13
2019-09-09 03:00:00,15,15,15,15,15,15,15,15
2019-09-10 03:00:00,19,19,19,19,19,19,19,19
2019-09-11 03:00:00,19,19,19,19,19,19,19,19
2019-09-12 03:00:00,21,21,21,21,21,21,21,21
2019-09-13 03:00:00,-9,-9,-9,-9,-10,-9,-10,-9
2019-09-14 03:00:00,-9,-9,-9,-9,-10,-9,-10,-9
2019-09-16 03:00:00,5.8,5.8,5.7,5.7,5.3,5.4,5.4,5.9
2019-09-17 03:00:00,6.3,6.4,6.1,6.1,6.9,7.1,6.4,7.0
2019-09-19 03:00:00,-39,-39,-39,-39,-39,-39,-39,-39
2019-09-20 03:00:00,-33,-33,-33,-33,-33,-33,-33,-35
2019-09-22 03:00:00,-26,-26,-26,-26,-26,-26,-26,-26
2019-09-23 03:00:00,8.9,9.0,8.9,8.9,9.1,9.3,9.1,9.5
2019-09-24 03:00:00,18,18,18,18,18,18,18,19
2019-09-25 03:00:00,11,11,11,11,12,12,11,12
2019-09-26 03:00:00,22,22,22,22,23,23,23,23
2019-09-27 03:00:00,21,21,21,20,21,21,21,22
2019-09-28 03:00:00,8.0,8.1,7.9,8.0,8.0,8.3,7.9,8.6
2019-09-29 03:00:00,6.3,6.5,6.3,6.4,6.9,7.2,6.6,7.3
2019-09-30 03:00:00,28,28,28,28,28,28,28,28
2019-10-01 03:00:00,-7,-7,-7,-7,-7,-6,-7,-6
2019-10-02 03:00:00,0,0,-1,-1,0,0,0,0.16
2019-10-03 03:00:00,6.2,6.2,6.1,6.0,5.8,6.0,6.0,6.4
2019-10-04 03:00:00,3.3,3.3,3.0,2.7,3.1,3.2,3.5,3.7
2019-10-06 03:00:00,9.5,9.6,9.5,9.5,10,10,10,11
2019-10-07 03:00:00,15,15,15,15,14,15,14,15
2019-10-08 03:00:00,13,13,13,13,13,13,13,14
2019-10-14 03:00:00,4.5,4.5,4.6,4.7,4.9,5.2,4.6,5.2
2019-10-15 03:00:00,7.5,7.4,7.4,7.3,7.4,7.6,7.4,7.8
2019-10-16 03:00:00,17,17,17,17,17,17,17,17
2019-10-18 03:00:00,-14,-13,-14,-13,-13,-13,-13,-13
2019-10-19 03:00:00,-19,-19,-19,-19,-20,-19,-20,-19
2019-10-21 03:00:00,-26,-26,-26,-26,-25,-25,-25,-25
2019-10-22 03:00:00,22,23,23,23,23,23,22,23
2019-10-23 03:00:00,-11,-10,-11,-11,-10,-10,-11,-10
2019-10-24 03:00:00,-14,-14,-14,-14,-14,-14,-14,-14
2019-10-25 03:00:00,8.6,8.7,8.5,8.5,9.3,9.4,9.1,9.7
2019-10-26 03:00:00,13,14,13,14,14,14,14,14
2019-10-27 03:00:00,-17,-17,-17,-17,-17,-17,-17,-17
2019-10-30 03:00:00,-51,-51,-51,-51,-51,-51,-67,-67
2019-10-31 03:00:00,-42,-42,-42,-42,-42,-42,-42,-42
2019-11-01 03:00:00,20,20,20,20,20,20,20,20
2019-11-02 03:00:00,16,16,16,16,17,17,17,17
2019-11-03 03:00:00,-38,-38,-38,-38,-38,-38,-38,-38
2019-11-04 03:00:00,20,20,19,19,19,19,19,20
2019-11-05 03:00:00,20,20,20,20,20,21,21,21
2019-11-09 03:00:00,21,21,21,21,23,23,23,23
2019-11-10 03:00:00,6.5,6.6,6.5,6.6,7.6,7.8,7.1,7.9
2019-11-12 03:00:00,21,22,21,21,22,22,21,22
2019-11-13 03:00:00,14,14,14,13,14,14,13,14
2019-11-14 03:00:00,25,25,25,26,27,27,26,27
2019-11-15 03:00:00,13,13,13,14,13,14,13,14
2019-11-16 03:00:00,18,18,18,18,18,18,18,19
2019-11-17 03:00:00,18,18,18,18,18,18,18,18
2019-11-18 03:00:00,19,19,19,19,19,19,19,20
2019-11-19 03:00:00,13,13,13,13,13,13,13,14
2019-11-20 03:00:00,19,19,19,19,19,19,19,19
2019-11-21 03:00:00,13,13,13,13,14,14,14,14
2019-11-22 03:00:00,18,18,18,18,19,19,18,19
2019-11-23 03:00:00,13,14,13,13,14,14,14,14
2019-11-24 03:00:00,8.4,8.5,8.4,8.0,8.5,8.5,8.3,8.8
2019-11-25 03:00:00,8.4,8.4,8.5,8.5,8.7,8.8,8.4,9.0
2019-11-26 03:00:00,16,16,16,16,17,17,16,17
2019-11-29 03:00:00,17,17,16,16,17,17,17,17
2019-11-30 03:00:00,15,15,15,15,16,16,16,16
2019-12-01 03:00:00,22,22,22,22,22,22,22,23
2019-12-02 03:00:00,19,19,19,19,19,19,19,19
2019-12-03 03:00:00,-6,-6,-6,-6,-6,-6,-6,-5
2019-12-18 03:00:00,19,19,18,19,19,19,19,19
2019-12-19 03:00:00,18,18,18,18,19,19,19,20
2019-12-20 03:00:00,9.8,9.8,9.3,9.1,10,10,10,11
2019-12-23 03:00:00,21,21,21,21,21,21,21,22
2019-12-24 03:00:00,-12,-12,-12,-12,-12,-11,-12,-11
2019-12-29 03:00:00,18,18,18,19,19,19,18,19
2019-12-30 03:00:00,10,10,10,10,11,11,10,11
2020-01-03 03:00:00,25,25,25,25,25,25,25,25
2020-01-04 03:00:00,-15,-15,-15,-15,-15,-15,-16,-15
2020-01-05 03:00:00,19,19,19,19,19,19,19,19
2020-01-06 03:00:00,17,17,17,17,17,17,17,18
2020-01-07 03:00:00,23,23,23,23,24,24,24,24
2020-01-08 03:00:00,21,21,21,21,21,21,21,21
2020-01-09 03:00:00,15,15,15,15,15,15,15,15
2020-01-11 03:00:00,19,19,19,19,20,20,20,20
2020-01-12 03:00:00,20,19,19,19,20,20,20,20
