"Time","ATMEL Power Bus Current","3V Power Bus Current","3V PL Power Bus Current","5V PL Power Bus Current","Daughter A Power Bus Current","Daughter B Power Bus Current","Motor Power Bus Current"
2019-07-02 03:00:00,0.032,0.020,0.026,0.040,0,0,0.48
2019-07-03 03:00:00,0.030,0.020,0.025,0.035,0,0,0.37
2019-07-04 03:00:00,0.029,0.020,0.024,0.065,0,0,1.8
2019-07-05 03:00:00,0.027,0.020,0.025,0.046,0,0,0.66
2019-07-06 03:00:00,0.029,0.019,0.026,0.033,0,0,0
2019-07-07 03:00:00,0.029,0.020,0.025,0.032,0,0,0.40
2019-07-08 03:00:00,0.028,0.020,0.026,0.070,0.087,0,0.52
2019-07-09 03:00:00,0.032,0.020,0.026,0.19,0,0,1.0
2019-07-10 03:00:00,0.031,0.020,0.025,0.096,0,0,1.2
2019-07-11 03:00:00,0.031,0.020,0.025,0.075,0,0,0.96
2019-07-12 03:00:00,0.032,0.020,0.026,0.062,0.015,0,1.4
2019-07-13 03:00:00,0.033,0.020,0.026,0.32,0.070,0,1.5
2019-07-14 03:00:00,0.031,0.020,0.027,0.35,0.025,0,1.5
2019-07-15 03:00:00,0.036,0.020,0.026,0.36,0.0071,0,1.7
2019-07-16 03:00:00,0.038,0.020,0.026,0.31,0.0055,0,1.0
2019-07-17 03:00:00,0.038,0.020,0.025,0.29,0,0,1.0
2019-07-18 03:00:00,0.031,0.020,0.026,0.27,0,0,1.4
2019-07-19 03:00:00,0.031,0.020,0.026,0.27,0.13,0,1.7
2019-07-20 03:00:00,0.033,0.020,0.026,0.29,0.0065,0,1.1
2019-07-21 03:00:00,0.032,0.020,0.027,0.29,0.13,0,0.61
2019-07-22 03:00:00,0.034,0.020,0.026,0.30,0.014,0,0.92
2019-07-23 03:00:00,0.033,0.021,0.026,0.33,0,0,0.36
2019-07-24 03:00:00,0.035,0.021,0.026,0.51,0.024,0,0
2019-07-25 03:00:00,0.038,0.021,0.025,0.34,0,0,1.8
2019-07-26 03:00:00,0.037,0.020,0.026,0.48,0.012,0,0.058
2019-07-27 03:00:00,0.036,0.020,0.045,0.42,0.024,0,0.18
2019-07-28 03:00:00,0.038,0.020,0.027,0.52,0.16,0,0.19
2019-07-29 03:00:00,0.038,0.020,0.026,0.34,0,0,0.70
2019-07-30 03:00:00,0.046,0.020,0.026,0.42,0.054,0,0.53
2019-08-02 03:00:00,0.029,0.020,0.031,0.61,0,0,0
2019-08-03 03:00:00,0.036,0.021,0.027,0.66,0.031,0,0.53
2019-08-04 03:00:00,0.034,0.020,0.027,0.61,0.015,0,0.072
2019-08-05 03:00:00,0.036,0.020,0.026,0.52,0.082,0,0.64
2019-08-06 03:00:00,0.037,0.020,0.036,0.42,0,0,0.47
2019-08-08 03:00:00,0.034,0.021,0.029,0.64,0.0018,0,0.58
2019-08-09 03:00:00,0.041,0.021,0.027,0.64,0.0011,0,0.74
2019-08-10 03:00:00,0.034,0.019,0.032,0.62,0,0,0.57
2019-08-11 03:00:00,0.036,0.021,0.029,0.65,0.0049,0,0.66
2019-08-12 03:00:00,0.034,0.021,0.035,0.64,0,0,1.00
2019-08-13 03:00:00,0.045,0.021,0.026,0.63,0.00059,0,0.40
2019-08-14 03:00:00,0.041,0.020,0.025,0.56,0.0045,0,0.045
2019-08-15 03:00:00,0.037,0.021,0.026,0.47,0.014,0,1.3
2019-08-16 03:00:00,0.035,0.020,0.025,0.34,0,0,0.062
2019-08-17 03:00:00,0.038,0.021,0.026,0.58,0.0052,0,0.18
2019-08-18 03:00:00,0.031,0.016,0.020,0.46,0,0,0.40
2019-08-19 03:00:00,0.042,0.018,0.023,0.48,0,0,0.30
2019-08-20 03:00:00,0.041,0.020,0.025,0.55,0.10,0,0.33
2019-08-21 03:00:00,0.037,0.020,0.026,0.64,0.12,0,0.88
2019-08-22 03:00:00,0.040,0.021,0.026,0.64,0.014,0,1.1
2019-08-23 03:00:00,0.039,0.020,0.026,0.60,0,0,0
2019-08-24 03:00:00,0.035,0.021,0.025,0.50,0,0,0.20
2019-08-25 03:00:00,0.033,0.021,0.026,0.67,0.058,0,1.2
2019-08-26 03:00:00,0.040,0.021,0.026,0.60,0.18,0,0.83
2019-08-27 03:00:00,0.034,0.020,0.026,0.58,0.011,0,0
2019-08-28 03:00:00,0.037,0.020,0.028,0.56,0.018,0,0
2019-08-29 03:00:00,0.033,0.021,0.026,0.47,0.055,0,3.5
2019-08-30 03:00:00,0.035,0.021,0.025,0.65,0.086,0,0.53
2019-08-31 03:00:00,0.026,0.020,0.027,0.34,0.85,0,4.0
2019-09-01 03:00:00,0.037,0.021,0.026,0.55,0.18,0,1.1
2019-09-02 03:00:00,0.031,0.020,0.025,0.61,0.036,0,0.30
2019-09-03 03:00:00,0.036,0.021,0.026,0.60,0.036,0,0.28
2019-09-04 03:00:00,0.042,0.019,0.024,0.37,0,0,2.1
2019-09-05 03:00:00,0.037,0.021,0.026,0.39,0.22,0,2.7
2019-09-06 03:00:00,0.032,0.020,0.025,0.34,0.50,0,0
2019-09-07 03:00:00,0.034,0.020,0.027,0.59,0.084,0,0.23
2019-09-08 03:00:00,0.036,0.021,0.027,0.56,0.083,0,0.67
2019-09-09 03:00:00,0.038,0.020,0.026,0.58,0.21,0,1.0
2019-09-10 03:00:00,0.036,0.021,0.036,0.60,0.011,0,0
2019-09-11 03:00:00,0.037,0.021,0.037,0.62,0.055,0,0.30
2019-09-12 03:00:00,0.038,0.020,0.026,0.62,0.029,0,0.18
2019-09-13 03:00:00,0.040,0.021,0.026,0.49,0.14,0,3.3
2019-09-14 03:00:00,0.039,0.021,0.026,0.42,0.48,0,3.8
2019-09-16 03:00:00,0.038,0.021,0.027,0.46,0.27,0,2.8
2019-09-17 03:00:00,0.034,0.020,0.026,0.40,0.18,0,1.2
2019-09-19 03:00:00,0.029,0.014,0.021,0.33,0,0,2.7
2019-09-20 03:00:00,0.027,0.016,0.022,0.25,0,0,3.1
2019-09-22 03:00:00,0.035,0.031,0.025,0.25,0.060,0,0.21
2019-09-23 03:00:00,0.041,0.021,0.026,0.41,0.17,0,2.2
2019-09-24 03:00:00,0.038,0.020,0.025,0.54,0.046,0,0.35
2019-09-25 03:00:00,0.039,0.021,0.028,0.64,0.040,0,1.7
2019-09-26 03:00:00,0.036,0.021,0.025,0.63,0.0045,0,0.085
2019-09-27 03:00:00,0.039,0.020,0.025,0.56,0.017,0,0.12
2019-09-28 03:00:00,0.040,0.021,0.027,0.51,0.031,0,1.6
2019-09-29 03:00:00,0.036,0.021,0.026,0.44,0,0,1.7
2019-09-30 03:00:00,0.031,0.020,0.027,0.35,0,0,0
2019-10-01 03:00:00,0.038,0.021,0.025,0.35,0,0,3.0
2019-10-02 03:00:00,0.030,0.020,0.026,0.37,0.010,0,0.87
2019-10-03 03:00:00,0.042,0.020,0.026,0.41,0.022,0,1.9
2019-10-04 03:00:00,0.034,0.021,0.027,0.50,0.20,0,1.0
2019-10-06 03:00:00,0.051,0.021,0.029,0.65,0,0,1.5
2019-10-07 03:00:00,0.044,0.021,0.026,0.63,0.13,0,0.83
2019-10-08 03:00:00,0.041,0.020,0.026,0.48,0.18,0,0.86
2019-10-14 03:00:00,0.032,0.020,0.027,0.051,0,0,1.9
2019-10-15 03:00:00,0.033,0.020,0.027,0.14,0,0,1.2
2019-10-16 03:00:00,0.038,0.020,0.028,0.29,0.37,0,1.7
2019-10-18 03:00:00,0.035,0.022,0.025,0.18,0.0084,0,3.9
2019-10-19 03:00:00,0.040,0.022,0.027,0.083,0,0,3.8
2019-10-21 03:00:00,0.032,0.020,0.022,0.20,0,0,3.7
2019-10-22 03:00:00,0.035,0.020,0.026,0.057,0,0,0
2019-10-23 03:00:00,0.041,0.021,0.027,0.23,0,0,3.4
2019-10-24 03:00:00,0.032,0.020,0.026,0.52,0.072,0,3.5
2019-10-25 03:00:00,0.035,0.021,0.027,0.64,0.013,0,1.4
2019-10-26 03:00:00,0.037,0.021,0.026,0.47,0.0015,0,0.25
2019-10-27 03:00:00,0.032,0.021,0.026,0.45,0,0,3.0
