"Time","OS Processes","Memory Cached (kB)","Memory Free (kB)"
2019-07-02 03:00:00,5935,11845,95598
2019-07-03 03:00:00,6208,13018,93787
2019-07-04 03:00:00,15678,19347,86712
2019-07-05 03:00:00,24868,22060,83496
2019-07-06 03:00:00,31168,24677,80532
2019-07-07 03:00:00,39627,28405,76292
2019-07-08 03:00:00,53286,34013,69804
2019-07-09 03:00:00,11100,30880,75378
2019-07-10 03:00:00,15421,34714,71213
2019-07-11 03:00:00,24603,37399,68018
2019-07-12 03:00:00,32631,40126,64819
2019-07-13 03:00:00,44457,45193,59106
2019-07-14 03:00:00,11720,44266,61769
2019-07-15 03:00:00,5931,50210,56192
2019-07-16 03:00:00,15670,53057,53026
2019-07-17 03:00:00,24102,55814,49732
2019-07-18 03:00:00,8537,59310,47164
2019-07-19 03:00:00,18756,64642,40860
2019-07-20 03:00:00,1448,63940,43426
2019-07-21 03:00:00,7009,49396,56895
2019-07-22 03:00:00,14052,31441,74574
2019-07-23 03:00:00,7062,34962,71239
2019-07-24 03:00:00,3634,37541,68986
2019-07-25 03:00:00,4965,40123,66295
2019-07-26 03:00:00,3766,42757,63808
2019-07-27 03:00:00,7798,45302,60967
2019-07-28 03:00:00,3652,47928,58546
2019-07-29 03:00:00,9740,50676,55976
2019-07-30 03:00:00,1706,52741,53785
2019-08-02 03:00:00,15399,20544,86096
2019-08-03 03:00:00,15389,22504,82985
2019-08-04 03:00:00,13556,26055,79361
2019-08-05 03:00:00,3678,28397,77513
2019-08-06 03:00:00,7407,31430,74252
2019-08-08 03:00:00,1584,41274,65179
2019-08-09 03:00:00,3478,44450,61295
2019-08-10 03:00:00,883,44014,54631
2019-08-11 03:00:00,2268,51188,54876
2019-08-12 03:00:00,5582,55060,50888
2019-08-13 03:00:00,1922,60198,46417
2019-08-14 03:00:00,1680,60808,43378
2019-08-15 03:00:00,1453,66293,40500
2019-08-16 03:00:00,1322,65254,38024
2019-08-17 03:00:00,1686,72196,34327
2019-08-18 03:00:00,889,55726,29675
2019-08-19 03:00:00,1021,63511,26609
2019-08-20 03:00:00,2348,65902,40013
2019-08-21 03:00:00,4243,15137,90582
2019-08-22 03:00:00,3073,18200,87613
2019-08-23 03:00:00,2054,21884,83928
2019-08-24 03:00:00,3058,24426,81369
2019-08-25 03:00:00,3432,30305,75475
2019-08-26 03:00:00,4298,34578,70965
2019-08-27 03:00:00,4132,39981,65832
2019-08-28 03:00:00,4917,40598,65751
2019-08-29 03:00:00,1474,44625,61045
2019-08-30 03:00:00,11618,48899,56373
2019-08-31 03:00:00,14599,49888,54572
2019-09-01 03:00:00,4248,55153,50669
2019-09-02 03:00:00,14488,58435,46529
2019-09-03 03:00:00,2538,59647,46614
2019-09-04 03:00:00,918,50732,45652
2019-09-05 03:00:00,1698,12451,93882
2019-09-06 03:00:00,1192,14979,90634
2019-09-07 03:00:00,7492,17738,87536
2019-09-08 03:00:00,5351,20373,85035
2019-09-09 03:00:00,5335,23125,82215
2019-09-10 03:00:00,7385,25663,79506
2019-09-11 03:00:00,18852,29151,75499
2019-09-12 03:00:00,5135,31151,74152
2019-09-13 03:00:00,1925,33260,72465
2019-09-14 03:00:00,1133,35485,70226
2019-09-16 03:00:00,3275,40109,65482
2019-09-17 03:00:00,1571,44559,59848
2019-09-19 03:00:00,561,31114,39509
2019-09-20 03:00:00,656,37822,44013
2019-09-22 03:00:00,6257,58373,48425
2019-09-23 03:00:00,1362,61429,44589
2019-09-24 03:00:00,2167,64101,42395
