"Time","X Rate","Y Rate","Z Rate"
2019-07-02 03:00:00,12,0,0
2019-07-03 03:00:00,4.2,0,0
2019-07-04 03:00:00,-1,0.0090,2.9
2019-07-05 03:00:00,-1,0.32,3.3
2019-07-06 03:00:00,0.95,-1,-1
2019-07-07 03:00:00,9.0,-1,-2
2019-07-08 03:00:00,-3,0,-3
2019-07-09 03:00:00,1.4,0,-2
2019-07-10 03:00:00,0.88,0,-3
2019-07-11 03:00:00,0,-1,-3
2019-07-12 03:00:00,0.38,-1,-3
2019-07-13 03:00:00,1.1,0,2.4
2019-07-14 03:00:00,0.25,0,2.0
2019-07-15 03:00:00,0.31,0,3.5
2019-07-16 03:00:00,0.041,0,2.1
2019-07-17 03:00:00,0.041,0,2.7
2019-07-18 03:00:00,0.29,0,3.1
2019-07-19 03:00:00,0.053,0,2.7
2019-07-20 03:00:00,0.19,0,2.7
2019-07-21 03:00:00,0.13,0,1.9
2019-07-22 03:00:00,0.17,0,3.2
2019-07-23 03:00:00,0.044,0,2.9
2019-07-24 03:00:00,0,0,0
2019-07-25 03:00:00,0.34,0,3.2
2019-07-26 03:00:00,0,0,0.11
2019-07-27 03:00:00,0,-1,0
2019-07-28 03:00:00,0,0,0
2019-07-29 03:00:00,0.053,0,1.4
2019-07-30 03:00:00,0,-1,0.13
2019-08-02 03:00:00,0.15,0,0
2019-08-03 03:00:00,0,0,0
2019-08-04 03:00:00,0,0,0
2019-08-05 03:00:00,0,0,0
2019-08-06 03:00:00,0.38,-1,0.71
2019-08-08 03:00:00,0,0,0
2019-08-09 03:00:00,0,0,0
2019-08-10 03:00:00,0,0,0
2019-08-11 03:00:00,0,0,0
2019-08-12 03:00:00,0,0.028,0
2019-08-13 03:00:00,0,0,0
2019-08-14 03:00:00,0,0,0
2019-08-15 03:00:00,0.19,0,2.0
2019-08-16 03:00:00,0.12,0,1.7
2019-08-17 03:00:00,0,0,0.17
2019-08-18 03:00:00,0,0,0
2019-08-19 03:00:00,0,0,0
2019-08-20 03:00:00,0.0091,0,0
