"Time","-XX","-XY","-YX","-YY","-ZX","-ZY","+XX","+XY","+YX","+YY"
2019-07-02 03:00:00,7334,34,33,28,28,28,23,25,25,30
2019-07-03 03:00:00,8372,34,35,28,26,27,25,24,22,27
2019-07-04 03:00:00,6556,30,28,25,28,30,24,26,27,30
2019-07-05 03:00:00,5472,30,28,26,29,25,24,27,28,29
2019-07-06 03:00:00,13071,28,20,18,25,35,28,24,34,33
2019-07-07 03:00:00,10907,24,28,26,23,25,28,29,34,32
2019-07-08 03:00:00,8740,27,26,25,26,28,28,26,27,25
2019-07-09 03:00:00,8149,2.8,2.4,2.1,2.3,2.7,3.0,2.2,2.5,2.6
2019-07-10 03:00:00,9110,0,0,0,0,0,0,0,0,0
2019-07-11 03:00:00,10133,0,0,0,0,0,0,0,0,0
2019-07-12 03:00:00,3672,0,0,0,0,0,50,77,69,71
2019-07-13 03:00:00,2.0,68,82,67,65,84,94,92,71,77
2019-07-14 03:00:00,44,85,65,51,53,90,101,64,80,67
2019-07-15 03:00:00,90,78,101,85,85,82,88,115,65,90
2019-07-16 03:00:00,61,77,78,69,61,76,89,87,71,75
2019-07-17 03:00:00,88,96,52,83,78,82,82,77,52,86
2019-07-18 03:00:00,85,91,68,79,69,78,79,98,77,89
2019-07-19 03:00:00,90,96,69,81,70,75,84,91,63,90
2019-07-20 03:00:00,82,74,86,65,72,85,86,84,93,78
2019-07-21 03:00:00,89,107,61,79,85,114,96,99,65,64
2019-07-22 03:00:00,116,107,58,109,125,114,31,46,45,98
2019-07-23 03:00:00,64,90,42,64,64,95,75,57,65,78
2019-07-24 03:00:00,88,105,71,76,74,94,89,71,94,85
2019-07-25 03:00:00,54,96,75,75,47,87,107,89,93,76
2019-07-26 03:00:00,94,105,94,105,97,106,106,104,103,99
2019-07-27 03:00:00,86,116,76,106,110,135,120,116,99,102
2019-07-28 03:00:00,85,107,76,100,72,101,88,101,94,87
2019-07-29 03:00:00,83,126,74,123,57,70,85,134,81,97
2019-07-30 03:00:00,94,99,73,87,81,97,92,76,91,84
2019-08-02 03:00:00,147,137,42,140,45,50,132,136,68,94
2019-08-03 03:00:00,75,121,62,91,69,93,94,100,95,106
2019-08-04 03:00:00,92,83,105,61,86,84,110,107,73,87
2019-08-05 03:00:00,70,89,89,79,75,90,98,89,87,95
2019-08-06 03:00:00,90,75,99,85,78,72,109,104,79,87
2019-08-08 03:00:00,67,111,79,102,64,98,84,131,88,95
2019-08-09 03:00:00,88,98,63,98,69,81,58,81,73,109
2019-08-10 03:00:00,86,131,42,96,68,46,87,127,59,88
2019-08-11 03:00:00,59,78,72,57,77,98,91,81,82,73
2019-08-12 03:00:00,72,60,82,76,74,68,72,95,78,91
2019-08-13 03:00:00,60,83,61,90,59,89,88,72,85,82
2019-08-14 03:00:00,62,61,75,69,55,67,87,73,70,72
2019-08-15 03:00:00,69,85,72,80,57,59,69,87,66,79
2019-08-16 03:00:00,103,96,88,90,93,98,76,77,96,105
