"Time","-X Panel Temperature","+X Panel Temperature","-Y Panel Temperature","+Y Panel Temperature","-Z Panel Temperature","+Z Panel Temperature"
2019-07-02 03:00:00,-3,3.2,-3,2.6,13,-3
2019-07-03 03:00:00,3.2,1.6,2.9,0,11,-4
2019-07-04 03:00:00,-1,0.025,-3,1.8,3.3,-2
2019-07-05 03:00:00,4.9,3.2,0.81,4.6,8.6,8.0
2019-07-06 03:00:00,12,15,15,10,17,-4
2019-07-07 03:00:00,8.9,8.8,10,7.6,8.9,-5
2019-07-08 03:00:00,20,20,21,15,17,5.4
2019-07-09 03:00:00,-15,-15,-16,-15,0.041,-6
2019-07-10 03:00:00,-15,-14,-15,-14,4.1,-13
2019-07-11 03:00:00,-6,-5,-7,-6,8.0,-8
2019-07-12 03:00:00,-7,-6,-8,-7,-6,5.4
2019-07-13 03:00:00,-34,-27,-30,-26,-5,-18
2019-07-14 03:00:00,-24,-14,-6,-9,7.1,-13
2019-07-15 03:00:00,-32,-21,-35,-31,-6,-22
2019-07-16 03:00:00,-22,-25,-26,-17,9.2,-19
2019-07-17 03:00:00,-25,-23,-22,-19,3.8,-15
2019-07-18 03:00:00,-16,-13,-29,-18,-3,-12
2019-07-19 03:00:00,-14,-16,-21,-9,6.1,-12
2019-07-20 03:00:00,-27,-19,-19,-14,5.6,-16
2019-07-21 03:00:00,-6,-10,-9,-6,6.6,-7
2019-07-22 03:00:00,-37,-30,-30,-34,-7,-19
2019-07-23 03:00:00,-19,-12,-16,-25,2.5,-9
2019-07-24 03:00:00,14,12,0.13,13,19,14
2019-07-25 03:00:00,-25,-26,-22,-30,-12,-17
2019-07-26 03:00:00,-1,2.5,6.6,-1,13,-21
2019-07-27 03:00:00,-3,0.0074,-8,0,16,11
2019-07-28 03:00:00,8.4,12,-1,7.9,17,6.4
2019-07-29 03:00:00,-18,-19,-19,-20,-1,18
2019-07-30 03:00:00,26,24,5.8,23,20,-1
2019-08-02 03:00:00,37,22,30,27,24,-3
2019-08-03 03:00:00,-14,-18,-22,-19,7.0,13
2019-08-04 03:00:00,28,25,24,28,36,-11
2019-08-05 03:00:00,6.3,10,16,11,22,0.56
2019-08-06 03:00:00,12,17,17,19,20,14
2019-08-08 03:00:00,-28,-26,-38,-31,-9,14
2019-08-09 03:00:00,-31,-32,-36,-32,-6,-5
2019-08-10 03:00:00,-20,-31,-31,-40,-15,16
2019-08-11 03:00:00,-27,-29,-30,-30,-3,-14
2019-08-12 03:00:00,-23,-24,-28,-24,1.3,3.1
2019-08-13 03:00:00,-26,-22,-15,-23,3.8,-11
2019-08-14 03:00:00,-7,-7,-5,-6,16,-14
2019-08-15 03:00:00,-17,-19,-16,-21,0.33,-8
2019-08-16 03:00:00,2.1,2.3,2.4,0.44,15,-1
2019-08-17 03:00:00,-19,-25,-17,-21,1.6,-6
2019-08-18 03:00:00,18,18,16,19,14,-11
2019-08-19 03:00:00,-37,-34,-50,-47,-21,0.59
2019-08-20 03:00:00,11,15,9.1,15,27,0.087
2019-08-21 03:00:00,-26,-24,-21,-25,5.5,6.3
2019-08-22 03:00:00,-8,-9,-6,-11,-1,-6
2019-08-23 03:00:00,22,16,14,24,29,-11
2019-08-24 03:00:00,-2,-13,-20,-24,-3,21
2019-08-25 03:00:00,-15,-13,-16,-7,4.2,9.9
2019-08-26 03:00:00,22,19,35,17,24,-1
2019-08-27 03:00:00,5.6,-4,4.8,6.3,14,0
2019-08-28 03:00:00,-4,-5,3.4,0.55,11,25
2019-08-29 03:00:00,-43,-44,-39,-52,-21,-6
2019-08-30 03:00:00,-22,-25,-28,-26,0.96,-15
2019-08-31 03:00:00,11,13,21,10,22,14
2019-09-01 03:00:00,-5,-15,-1,-14,6.2,-6
2019-09-02 03:00:00,-12,-12,-6,-9,15,-12
2019-09-03 03:00:00,-18,-19,-18,-17,5.8,-12
2019-09-04 03:00:00,-23,-20,-22,-15,-18,32
2019-09-05 03:00:00,-20,-23,-24,-27,-12,3.5
2019-09-06 03:00:00,50,47,53,39,40,-16
2019-09-07 03:00:00,-5,-6,-9,-10,8.1,-9
2019-09-08 03:00:00,-2,-4,-17,-17,1.0,-5
2019-09-09 03:00:00,-11,-12,-10,-13,6.8,9.1
2019-09-10 03:00:00,19,16,16,15,18,-1
2019-09-11 03:00:00,0.39,0.76,-4,-2,14,-3
2019-09-12 03:00:00,11,16,15,18,26,-15
2019-09-13 03:00:00,-35,-32,-16,-37,-22,21
2019-09-14 03:00:00,-34,-34,-33,-44,-22,-5
2019-09-16 03:00:00,-19,-20,-22,-27,-5,0.095
2019-09-17 03:00:00,-8,-9,-6,-11,1.2,3.4
2019-09-19 03:00:00,-68,-67,-67,-66,-75,9.4
2019-09-20 03:00:00,-29,-33,-37,-61,-47,-12
2019-09-22 03:00:00,-28,-27,-27,-26,-20,-36
2019-09-23 03:00:00,-8,-6,-6,-18,1.2,2.7
2019-09-24 03:00:00,14,21,7.0,19,26,0.75
2019-09-25 03:00:00,-24,-24,-26,-24,-1,3.0
2019-09-26 03:00:00,-1,5.1,4.6,3.9,23,-7
2019-09-27 03:00:00,13,14,13,13,28,6.0
2019-09-28 03:00:00,-22,-17,-27,-35,-9,7.4
2019-09-29 03:00:00,-34,-33,-39,-42,-14,-14
2019-09-30 03:00:00,-18,-21,-23,-21,13,-25
2019-10-01 03:00:00,-26,-24,-23,-21,-15,13
