"Time","Z Torquer Voltage (V)","Z Torquer Current (A)"
2019-07-02 03:00:00,0,1.6
2019-07-03 03:00:00,0,1.6
2019-07-04 03:00:00,-1,3.6
2019-07-05 03:00:00,0,2.3
2019-07-06 03:00:00,0,1.6
2019-07-07 03:00:00,0,1.6
2019-07-08 03:00:00,-1,2.4
2019-07-09 03:00:00,1.7,1.7
2019-07-10 03:00:00,0.15,1.6
2019-07-11 03:00:00,0,1.6
2019-07-12 03:00:00,0,1.3
2019-07-13 03:00:00,0,1.00
2019-07-14 03:00:00,0,1.8
2019-07-15 03:00:00,3.2,0.12
2019-07-16 03:00:00,2.2,0.63
2019-07-17 03:00:00,0.22,1.6
2019-07-18 03:00:00,0,2.0
2019-07-19 03:00:00,0,2.3
2019-07-20 03:00:00,0,1.2
2019-07-21 03:00:00,0,2.1
2019-07-22 03:00:00,0.25,1.7
2019-07-23 03:00:00,2.6,0.51
2019-07-24 03:00:00,0.26,1.7
2019-07-25 03:00:00,0.33,1.1
2019-07-26 03:00:00,0.50,0.71
2019-07-27 03:00:00,0,0
2019-07-28 03:00:00,0.98,1.1
2019-07-29 03:00:00,0.25,1.4
2019-07-30 03:00:00,0,0
2019-08-02 03:00:00,3,0.11
2019-08-03 03:00:00,1.6,1.0
2019-08-04 03:00:00,1.2,1.3
2019-08-05 03:00:00,0.0042,0.034
2019-08-06 03:00:00,0.80,0.62
2019-08-08 03:00:00,0,1.5
2019-08-09 03:00:00,0,0.94
2019-08-10 03:00:00,2.5,0.38
2019-08-11 03:00:00,0.40,1.7
2019-08-12 03:00:00,-1,1.7
2019-08-13 03:00:00,0.80,1.1
2019-08-14 03:00:00,0,0.48
2019-08-15 03:00:00,0.20,1.8
2019-08-16 03:00:00,-1,2.3
2019-08-17 03:00:00,0,1.4
2019-08-18 03:00:00,-1,2.4
2019-08-19 03:00:00,0.12,0.0041
2019-08-20 03:00:00,0,0.080
2019-08-21 03:00:00,0.10,1.8
2019-08-22 03:00:00,0.50,1.7
2019-08-23 03:00:00,0.32,1.8
2019-08-24 03:00:00,0.15,0.60
