Time,Text ()
2022-01-26 18:26:55,1970-01-19 23:17:10
2022-01-26 18:29:55,1970-01-19 23:17:10
2022-01-26 18:30:17,1970-01-19 23:17:10
2022-01-26 18:36:47,1970-01-19 23:17:10
2022-01-26 18:37:01,1970-01-19 23:17:10
2022-01-26 18:37:10,1970-01-19 23:17:11
2022-01-26 18:38:33,1970-01-19 23:17:11
2022-01-26 18:39:02,1970-01-19 23:17:11
2022-01-26 18:39:44,1970-01-19 23:17:11
2022-01-26 18:40:12,1970-01-19 23:17:12
2022-01-26 18:40:44,1970-01-19 23:17:12
2022-01-26 18:40:44,1970-01-19 23:17:12
2022-01-26 18:40:44,1970-01-19 23:17:12
2022-01-26 18:41:03,1970-01-19 23:17:12
2022-01-26 18:41:13,1970-01-19 23:17:12
2022-01-26 18:41:13,1970-01-19 23:17:12
2022-01-26 18:41:13,1970-01-19 23:17:12
2022-01-26 18:41:34,1970-01-19 23:17:12
2022-01-26 18:41:44,1970-01-19 23:17:12
2022-01-26 18:41:44,1970-01-19 23:17:12
2022-01-26 18:42:08,1970-01-19 23:17:12
2022-01-26 18:42:17,1970-01-19 23:17:12
2022-01-26 18:42:17,1970-01-19 23:17:12
2022-01-26 18:42:17,1970-01-19 23:17:12
2022-01-26 18:42:18,1970-01-19 23:17:12
2022-01-26 18:42:45,1970-01-19 23:17:12
2022-01-26 18:42:45,1970-01-19 23:17:12
2022-01-26 18:42:45,1970-01-19 23:17:12
2022-01-26 18:42:45,1970-01-19 23:17:12
2022-01-26 18:43:16,1970-01-19 23:17:12
2022-01-26 18:43:16,1970-01-19 23:17:12
2022-01-26 18:43:16,1970-01-19 23:17:12
2022-01-26 18:43:16,1970-01-19 23:17:12
2022-01-26 18:43:16,1970-01-19 23:17:12
2022-01-26 18:43:16,1970-01-19 23:17:12
2022-01-26 18:43:36,1970-01-19 23:17:12
2022-01-26 18:43:46,1970-01-19 23:17:12
2022-01-26 18:43:46,1970-01-19 23:17:12
2022-01-26 18:43:46,1970-01-19 23:17:12
2022-01-26 18:43:46,1970-01-19 23:17:12
2022-01-26 18:44:06,1970-01-19 23:17:12
2022-01-26 18:44:15,1970-01-19 23:17:12
2022-01-26 18:44:15,1970-01-19 23:17:12
2022-01-26 18:44:35,1970-01-19 23:17:12
2022-01-26 18:44:44,1970-01-19 23:17:12
2022-01-26 18:44:44,1970-01-19 23:17:12
2022-01-26 18:44:45,1970-01-19 23:17:12
2022-01-26 18:45:15,1970-01-19 23:17:12
2022-01-26 18:45:15,1970-01-19 23:17:12
2022-01-26 18:45:15,1970-01-19 23:17:12
2022-01-26 18:45:43,1970-01-19 23:17:12
2022-01-26 18:45:43,1970-01-19 23:17:12
2022-01-26 18:45:43,1970-01-19 23:17:12
2022-01-26 18:45:43,1970-01-19 23:17:12
2022-01-26 18:46:13,1970-01-19 23:17:12
2022-01-26 18:49:11,1970-01-19 23:17:12
2022-01-26 18:49:41,1970-01-19 23:17:12
2022-01-26 18:50:42,1970-01-19 23:17:12
2022-01-26 18:51:13,1970-01-19 23:17:12
2022-01-26 19:20:14,1970-01-19 23:17:14
2022-01-26 20:13:42,1970-01-19 23:17:17
2022-01-26 20:14:12,1970-01-19 23:17:17
2022-01-26 20:14:43,1970-01-19 23:17:17
2022-01-26 20:15:12,1970-01-19 23:17:17
2022-01-26 20:17:45,1970-01-19 23:17:17
